Title,Description,Keywords,sentence1,sentence2,sentence3,sentence4,sentence5
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to have your urine tested for drugs when applying for a job. 
","people need to eat good food to stay healthy 
","Viewing beautiful things makes people happier. 
","a mutt is a dog of mixed breed 
","The statement ""the main thing people drink when they are thirsty is water"" is true because water is free in most places 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""The fence was falling down."", it is important to know that fences are a type of boundary 
","You are likely to find a car in a junkyard 
","You would send e-mail because you want to talk 
","The feeling a woman gets suckling a baby at her breast is like non other. 
","The story ""Going Out to Dinner"" has the step ""I decided which resturaunt I would like to visit."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","A caliper can measure body fat. 
","Sometimes the batter in an on deck circle is the go-ahead runner 
","To understand the event ""Elaine rode the bus to school."", it is important to know that Many young humans ride a bus to school in the morning 
","You are likely to find an album in a record store 
","The story ""Washing Your Clothes"" has the step ""Finally, I found a drugstore with a plate which said the laundromat wasn't there."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","We're not ruled by fascists -- anyone who says so is taking a simple-minded approach 
","a bowl can be made from clay 
","To understand the event ""Bob was stung by a bee."", it is important to know that bob most probably was outside 
","Sometimes going to the mall causes money to be spent 
","To understand the event ""Joe bought a new stereo."", it is important to know that joe has somewhere to put the stereo 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you might do while examining a thing is look underneath. 
","To understand the event ""Joe drove his car across the border."", it is important to know that Joe passed from one country or state into another. 
","The statement ""people need money to pay their bills."" is true because In the old days you could pay your debts with your goods or services, but now-a-days you need money. 
","One of the things you do when you take a phone call is hear it ringing. 
","Something you find at a shop is pen and pencil sets. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Acupuncture is an ancient form of medical therapy that originated in China. 
","The story ""Eating A Cookie"" has the step ""Sadly though, I was greedy and ate it all."" 
","A coach can list the line up for a baseball team. 
","Wasps live in colonies. 
","The amount of a liquid can be measured. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""A guy stopped and asked me for directions."", it is important to know that Directions tell someone how to get somewhere. 
","catching mumps is for getting sick 
","You would use a computer because surfing the net is fun 
","The last thing you do when you work the box office is count the money 
","getting a good grade is for pursuing your education further. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find an aircraft roadway around in an airport 
","To understand the event ""John's birthday is coming soon. John would like to have a birthday party."", it is important to know that john probably likes presents 
","To understand the event ""Jeff smoked a cigar."", it is important to know that When people smoke people are sucking on a cigar, cigarette, or smoking pipe. 
","The statement ""seeing exhibits is for getting culture."" helps answer the question ""Why would I go to a museum?"" 
","To understand the event ""mary is tom's mother."", it is important to know that Tom is probably male. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a person wants water. 
","Another way to say ""a person wants to be generous"" is ""Generosity is a virtue"" 
","Something you find at a fair is a hot dog 
","Something that might happen while winning a baseball game is joy 
","If you want to set a cup on a table then you should hold the cup by the handle and gently place it on the table. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Prison for most people is a stressful, depriving and frequently fearful or traumatic experience. 
","To understand the event ""mary is tom's mother."", it is important to know that Mary is alive. 
","You are likely to find a love seat in a house. 
","playing frisbee is for entertaintment. 
","You are likely to find a steel cable in a bridge 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""geese fly north in the summer"" is ""In summertime, geese migrate northward"" 
","A butcher is a person who prepares meat for people 
","The effect of going to another place in the same city cheaply is you can walk 
","To understand the event ""Leroy is tall. Leroy plays basketball."", it is important to know that It's good to be Canadian 
","The last thing you do when you surf the web is log off. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a person wants to look over the edge. 
","someone can be at a dog show. 
","People can build a house 
","To understand the event ""Jim read a book."", it is important to know that Books can be read 
","You are likely to find a rehearsing room in a theater 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""items can be stored on a plane"" is ""things can be put in a plane. "" 
","Needing information for a report would make you want to go on the internet 
","has lots of calories 
","Another way to say ""heroin is an illegal drug."" is ""Heroin is a forbidden drug."" 
","An abacus can count that transaction. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","The statement ""a spring can be wound tight to make things move when the spring is released"" is true because Winding a spring creates mechanical tension which exerts force when released. 
","A Buddhist can live mindfully. 
","Something you might do while knowing how the stock market performed is jump out a window 
","curiosity would make you want to see artifacts 
","In the event ""Ricky is a white supremicist. Ricky shot Amit, a Jew."", something that changed was Amit was wounded 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","If you spray a wasp nest with the hose you better be prepared to run. 
","Things that are often found together are: snow, grass, mountain, cattle, cow 
","To understand the event ""Ron wore a new sweater to work today. Ron's colleagues all complimented him on his new sweater."", it is important to know that he is a friendly guy 
","To understand the event ""Bob painted a wall."", it is important to know that painting something changes its color 
","The story ""Buying Christmas Presents"" has the step ""John crossed Tina's name off his list, but he still had several more people to shop for."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","The statement ""You would howl with laughter because i read something funny."" is true because Sometimes people laugh as a result of reading something they consider funny. 
","High society usually refers to financially stable or cultured persons. 
","To understand the event ""Lauren met Sarah and her daughter in Kingston today. Sarah said that her parking meter was running out."", it is important to know that Sarah has a driver's license 
","Situation: See the innocence. 
","Sometimes committing suicide causes legal problems for surviving family members 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","if a child has a sharp knife, hte child will get hurt 
","A penis is part of the body. 
","someone can be at the console of a computer 
","returning to work is for wage slaves 
","The statement ""a parking ticket is for getting cars off the street"" is true because Municipalities use parking tickets to control traffic flow. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""John dropped an egg on the floor."", it is important to know that When a person drops something, they usually don't have time to catch it before it hits the ground. 
","The last thing you do when you debate politics is win or lose the debate 
","A bass cannot travel upstream if it is blocked by a dam 
","Baby dogs are usually weak. 
","humans can enjoy sex 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Situation: Do people share a common path? 
","committing to memory is for being able to remember things 
","What would you say if I asked if I could kiss you? 
","You are likely to find a mouse in a hole in the ground around in the field 
","To understand the event ""Jim woke up Jim got out of bed"", it is important to know that it is probably morning 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You may find a carbeurator on a car. 
","a yo-yo is a toy that stores and releases energy 
","person does not want to have a negative balance in their bank account 
","One million microseconds is a second. 
","To understand the event ""The geese crossed the road."", it is important to know that It was alot greener than the grass in their yard 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","carpet covers the floor 
","going to a performance is for enjoying a recital 
","To understand the event ""Rose bought a sewing machine. She wants to make a quilt for her bed."", it is important to know that Rose plans to use the sewing machine to make her quilt 
","Fish live in the ocean 
","Kids is an informal word for children. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","weasels are small 
","Hoboken is a city in New Jersey just west of New York City. 
","Something you might do while watering a plant is trim off the dead leaves 
","Sometimes going to market causes bankruptcy 
","You are likely to find a lemur in Madagasger 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","fire can hurt people 
","One of the things you do when you hit the bottle is smile 
","Something that might happen as a consequence of buying something for a loved one is making a loved one happy 
","An activity someone can do is do chores 
","pork and tomatoes can both be used in cooking 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You would stab to death because you were insane 
","Another way to say ""A rotation of the Earth is called a day"" is ""the Earth rotates in a day"" 
","punching someone is for waking up someone who is dozing off 
","a ball is for dancing at. 
","To understand the event ""The river flooded."", it is important to know that Streets may have to be closed 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","If you want to fight war then you should join the military 
","Situation: Let the glue dry 
","To understand the event ""Mike is a stagehand. Mike moves scenery."", it is important to know that mike works in the TV or film industry. 
","Situation: Give coupons to do ""yucky"" household chores. 
","I have seen schwarzenegger in a movie 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","One thing you can do to be more successful is to follow your conscience. 
","One of the things you do when you punish someone is explain the mistake 
","Something you see in tennis is a break point. 
","One can turn on the radio for news coverage 
","The first thing you do when you take a phone call is say hello 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Exercise has both physical and psychological benefits 
","You would be involved in an accident because you made a mistake. 
","To understand the event ""Jeff stole a painting."", it is important to know that A painting is a work of art. 
","You say bye before you hang up a phone 
","The last thing you do when you use a VCR is turn it off 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""John saw a meteor shower."", it is important to know that John was watching the sky. 
","helping someone is for doing a good deed 
","Sometimes surfing causes accidental drowning 
","Gardening is easier with gardening tools. 
","getting clean is for cleanliness 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a milling cutter can machine metal 
","Something you need to do before you go to the hairdresser is look at styles. 
","An uncle is a brother of a parent. 
","To understand the event ""Lisa loves Joe. Joe loves Janice."", it is important to know that Love does not need to be mutual 
","baby cats are called kittens 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","buying something for a loved one requires knowledge about his desires 
","The effect of hearing singing is discover who or what is the source 
","you find a bed in a hotel room 
","a snowflake is for sledding 
","Another way to say ""spitting is for removing rotten food"" is ""rotten food can be spit out."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a person wants family 
","a wall can stop trespassing 
","Situation: People put peanut butter on bread. 
","A zoo is a place to view animals in cages. 
","You would go to another place in the same city cheaply because you get the same thing for less cost. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you might do while surfing is anticipating the wave 
","To understand the event ""Fred broke his tooth."", it is important to know that The tooth was probably in Fred's mouth when he broke it. 
","due to anger, sometimes wars occur 
","The statement ""Badminton originated in India."" is true because Badminton was first played in India. 
","The story ""Talking"" has the step ""She asked me about my family"" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","An activity someone can do is fish 
","You are likely to find a barbershop in a nice part of town. 
","People celebrate and throw confetti when the opposition makes an oath to surrender. 
","Dogs can guide blind people 
","You are likely to find a planet in the sollar system 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","an acoustic guitar has strings 
","The effect of jumping at the chance is good 
","Cyprinella formosa, a member of the group Fishes, is endangered 
","person does not want to work all the time 
","To understand the event ""Ralph was elected to be a senator."", it is important to know that Ralph's opponent lost the election to Ralph 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","rationality can middle extremes 
","Things that are often found together are: street light, on-ramp, cars , bridge, highway 
","water is used to make coffee. 
","One of the things you do when you pass a class is pay off the teacher 
","surfing the waves requires a surfboard 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","children are smaller than grown-ups 
","Something you might do while having a nervous breakdown is hurt yourself 
","The first thing you do when you run twenty-six miles is running 
","A letter is a piece of paper which has a destination written on it. 
","To understand the event ""Carrot juice makes Tina sick."", it is important to know that Many people dislike carrot juice 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Molly flew on a plane to California."", it is important to know that Planes travel in the air, thousands of feet above earth.. 
","horses are large living things 
","When steam and ice are mixed, the result is usually liquid water. 
","If you want to think then you should apply the process to your brain 
","Bocci is an Italian bowling game. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Usually people wear clothes when others can see them. 
","Rice is a staple food in the Orient. 
","Ben Leduc is a qualified mechanical engineer. 
","It can be made of rattan or plastic. 
","Another way to say ""A person's age increases with time."" is ""As time passes, a person gets older."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You would listen to music because it is joyful 
","The statement ""people relax on a porch"" is true because they relax becuase its comfertable 
","Watering flowers with a watering can can look like rain. 
","Another way to say ""Accidents can happen anytime."" is ""An accident can occur anytime"" 
","The statement ""Something you might do while getting a divorce is hire a lawyer."" is true because When people divorce, they are incapable of splitting up the CD's without litigation. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","In the event ""Rhonda went to work for the first time today."", something that changed was Rhonda and the man had sex really quietly so no one would hear them 
","queens can sometimes wear crowns on their heads 
","students get education at schools 
","Situation: I am fluent in application software. 
","You are likely to find a shelf around in a pantry 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You would go fishing because it is enjoyable game 
","buying something is for need of a new dress to wear. 
","an entranceway can be used for entering a property 
","singing is for having fun 
","A cat spends a lot of time sleeping. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You can use a radio to hear from around the world. 
","a brownstone is used for living in 
","Situation: Chair is a part of furniture. 
","The effect of stabbing to death is a pool of blood 
","composition is a way to invent music 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","complaining about the state of the world is for Making you feel better 
","a classroom is for experimenting 
","If you want to buy presents for others then you should get a job 
","freinds would make you want to debate politics 
","A sign can sign the way 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Libraries also have movies inside. 
","dogs are good companions 
","An activity someone can do is eat a cracker 
","An alcoholic can drink a lot of booze. 
","The statement ""lawyers are sharks in human form"" is true because lawyers can be mean like sharks 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Execution is a penalty which is often unfairly applied. 
","To understand the event ""Jim and Tiffany are in a relationship. Jim asks Tiffany to marry him."", it is important to know that Jim probably hopes that Tiffany will say yes. 
","To understand the event ""Helen braided her hair."", it is important to know that hair can get tangled 
","To understand the event ""The boy scout lit a fire."", it is important to know that A boy scout is a male 
","Something that might happen when you post a message is you receive many replies 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""We use our teeth to chew food"" is ""teeth are used to masticate food"" 
","an enemy can side against you 
","picture description: A picture or a model of a couple on their wedding day. The couple consists of the bride and the bridegroom, also known as the groom. The groom is dressed in black and the bride is dressed in white. 
","Things that are often found together are: green leaves, stems 
","tdepression can winter your years 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Bob drank."", it is important to know that Bob is quenching his thirst. 
","A Great Dane is a large breed of dog. 
","To understand the event ""Lisa went to the museum. The gallery was closed."", it is important to know that a museum usually has a gallery 
","Something you find on the shelf is books 
","Situation: They both were adept. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","The last thing you do when you awake is open your eyes 
","learning that a good movie has opened would make you want to go to a movie 
","The statement ""Dried plums are called prunes"" helps answer the question ""What are dried plums called?"" 
","to play music can mean to replay a recording of music 
","The common name for Nemorhaedus goral is goral 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","The statement ""If you want to hang out at the bar then you should rethink your priorities."" helps answer the question ""Why wouldn't you want to get drunk?"" 
","Stalin ruthlessly oppressed and killed his own people 
","pearls are found in a oyster 
","If you want to sit on a chair then you should take one from the dinning room. 
","You are likely to find a weasel in an animated film 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","mary likes cookies 
","To understand the event ""My lemon tree grew taller."", it is important to know that I probably own the piece of property on which the lemon tree is ther. 
","The effect of loving someone else is happiness 
","a back yard is for swimming pools 
","The archaea are more closely related to the eukaryotes than to bacteria. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you need to do before you reach an advantage is cheat 
","Pollen is a mass of microspores in a seed plant appearing usually as a fine dust. 
","the biggest bedroom in the house 
","Bush's war on terrorism is a crusade against Islam. 
","Situation: A child whose communications aren't appreciated and responded to eventually gives up and turns inward. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a person doesn't want to be overcharged because he is white. 
","Situation: I am swimming in a lake 
","castanets can be used for making music 
","a pub is for an english bar 
","The statement ""The space is expanding."" is true because Some people believe that the force of the original ""big bang"" makes it so space is ""growing."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find a television around in a bedroom 
","Candles and incense are burned on altars. 
","Somewhere something can be is under the table 
","The effect of producing an image or text on paper is you have a copy 
","The last thing you do when you do housework is put your cleaning supplies away. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","going to school requires you to give up some of your free time in order to learn 
","person does not want to feel emptyness 
","Something you find at a movie is screen 
","Another way to say ""A person might get drunk at a party"" is ""People may get drunk at parties."" 
","Raptors eat meat, not vegetables. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Roxanne doesn't have any insurance. Roxanne just caused an accident."", it is important to know that Insurance must be purchased with money. 
","Something you might do while examining a thing is road test it. 
","The last thing you do when you go for a swim is get out of the water 
","rivet is made of metal. 
","chuck is pouting 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","one is often given frothy white stuff (a flower called gypsophila) when one buys roses 
","People would change if they could get off of the consumerism bandwagon 
","To understand the event ""Jane taught a class on the history of america."", it is important to know that A class happens in a school where students go to learn. 
","Old houses look so nice when keep neat 
","To understand the event ""A cat stalked a mouse."", it is important to know that To stalk is to follow and hunt. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a university is for degree 
","Something you find in a bedroom is a window. 
","Tweed is a fabric 
","People like things which make them feel secure 
","going to a film is for a way to pass the time 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","If before you attend a rock concert you are bored, then afterwards you are not bored 
","People starting a new job often feel that they need to learn more. 
","To understand the event ""Sam is drunk. Sam punched Bob."", it is important to know that A drunk person has less judgment. 
","To understand the event ""Jane went on vacation."", it is important to know that Most people are allowed one or two weeks, perhaps more, of paid vacation time each year. 
","You can use a necklace to to wear a good luck charm 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you might do while writing is grasp a writing instrument between thumb and index finger. 
","To understand the event ""George went to a concert."", it is important to know that George probably used money to buy a ticket 
","You are likely to find an address label in an office. 
","I poured milk in my cereal. 
","Situation: I ate cheese. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""James gives the taxi driver a tip."", it is important to know that James does not have to give the taxi driver a tip. 
","mascotof linux penguin 
","a beautiful violin is a work of art as well as a functional instrument 
","Pete entered a contest. 
","Another way to say ""a cellar is for storing wines."" is ""Wines may be stored in a cellar."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Clouds on venus contain sulpheric acid. 
","PC is an acronym for personal computer. 
","You would hear music because you want to relax 
","communicating is for expressing concepts. 
","A person can walk 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","picture description: a glass of water 
","musicians can fine tune their instruments 
","Another way to say ""Songs are melodic."" is ""A song contains a melody."" 
","Playing music means making music. 
","Situation: I am rarely dispaired. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","going to the mall is for to get groceries 
","To understand the event ""A cat stalked a mouse."", it is important to know that The cat stalked the mouse in order to eat it. 
","Something you might do while writing a poem is write words 
","To understand the event ""Jill sent a letter to her teacher."", it is important to know that Jill is in school 
","Situation: GIVE ME MY BALL 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","boats should not sink 
","Philosophers have struggled to discover the nature of the mind 
","You would visit a museum because you want to see things from the past 
","Something that might happen when you start a fire is is i burn my finger 
","To understand the event ""Alex drove the van to the lake."", it is important to know that family 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a person wants what they do not have. 
","Pushing masticated food to the pharynx is under voluntary control. 
","One impairment a person might have is a duodenal ulcer. 
","the sun is for gravity 
","Kenai Fjords is a national park in Alaska near Seward with mountain goats, marine mammals, and birdlife. 
"
