Title,Description,Keywords,id,sample_number_of_best_expl,premise,hypothesis,gold_label,which_gold,explanation_1,explanation_2
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_196,greedy,A man in khakis sitting at a table with a sign that reads 'poet for hire.',The guy is looking for a job.,neither,0,"Poetry is not always a job. However it would be proper to infer by his sign that he is looking for employment due to the ""hire"" statement","A man sitting at a table with a sign that reads 'poet for hire' is not necessarily looking for a job. He could be a poet who is looking for a job, but he could also be a poet who is not looking for a"
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_132,greedy,A brown dog sniffing at the fence of a brown bull.,The brown dog was looking intently at the bull on the other side.,neither,0,Just because the dog is sniffing at the fence does not mean it is looking at the bull.,Just because a brown dog is sniffing at the fence does not mean it is looking intently at the bull on the other side.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_235,2,Two men in orange uniforms stand before a train and do some work.,Humans working.,true,1,Humans working goes hand-in-hand with humans as a whole.,Two men are humans and someone who is doing work is working.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_207,greedy,A short-haired man is jumping while on top of a huge boulder.,The man is jumping to another boulder.,neither,1,"The man is jumping, but he is not jumping to another boulder.",A man jumping on a boulder is not assumed to be jumping to another boulder.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_108,3,"There are two kilted men, one of them older and is holding bagpipes with the other one with a drum.",Two kiled men hold bagpipes,false,0,either one is holding bagpipes or two hold bagpipes,Just because there are kilted men does not necessarily mean that they are holding bagpipes. This can be seen from the older kilted man is holding the bagpipes rather than the kilder one.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_38,greedy,Workers are scattered among the scaffolding on an older building.,Some workers are digging at a construction site.,false,0,Workers cannot be scattered among scaffolding on an older building while digging at a construction site simultaneously.,"Scaffolding is used for construction, so if workers are scattered among the scaffolding, they are not necessarily digging."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_210,greedy,GEntleman sketching on brown paper at Christmas.,The man sketched on paper.,true,0,A gentleman is a man.,"If the man is sketching on paper, he is sketching on paper."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_142,2,A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A man wearing a bathing suit is bent over in a cornfield while looking at the camera.,false,1,"If a woman is wearing a wrap, she is not wearing a bathing suit, and if a man is swimming, he is not bent over.","A WOMAN CANNOT BE A MAN, REGARDLESS OF WHETHER THEY ARE WEARING A STRIPED WRAP OR BATHING SUIT."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_90,greedy,Children play in a shallow pool next to a large image of a girl's face.,The children are in a very deep pool.,false,1,"The children are not in a very deep pool, they are in a shallow pool.",He refers to a shallow pool not a deep pool.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_157,greedy,A girl in a costume is performing a dance as other girls in costumes watch.,A girl is dancing.,true,0,A girl performing a dance is dancing.,Dancers are people who dance.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_44,2,Two girls feeding a horse an apple.,A horse is eating a banana.,false,1,The horse cannot be both eating a banana and apples.,The horse can't eat a banana while eating an apple.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_56,greedy,a brown dog standing in the middle of a huge field.,There is a dog outside.,true,1,"A dog is an animal, and if it is outside, it is outside.","If the dog is in a field, then he is outside."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_154,greedy,A speaker is talking with a TV in the background.,The tv volume is turned on low.,neither,0,The TV is in the background but this does not necessarily imply that the volume is turned on low.,A speaker talking with a TV in the background does not indicate the volume of the TV is turned on low.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_245,3,a teenager laying down with paper crafts strewn about the floor,The teen is laying down in a mess.,true,0,Paper crafts strewn on the floor make a mess. A teenager is another word for a teen.,"Someone is laying down there, and thus, the floor is a mess."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_67,greedy,Two guys in blue shirts talking.,Two guys talking in matching shirts.,true,0,Two guys with matching shirts talking.,"If two guys are talking, they are talking to each other, and they are wearing matching shirts."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_184,greedy,A woman in a green suit walking towards an escalator.,A woman sits beside the escalator.,false,0,The woman is either walking towards the escalator or sitting beside it not both.,"The woman is walking towards the escalator, which means she is not sitting beside it."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_168,1,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are riding on the escalator.,true,1,People on an escalator indicate that they're on an escalator.,People are riding the escalator looking outside.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_115,greedy,A man in a suit speaking to a seated woman.,A man speaking to a woman.,true,1,"The man is speaking to the woman, so the man is speaking to the woman.",The woman and man are speaking.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_59,greedy,An medical worker examines a young girl.,A health worker is evaluating a girl on her sickness.,neither,1,"The act of evaluating does not necessarily indicate sickness, it could also be done for other reasons.",Examining doesn't necessarily mean evaluating for sickness.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_156,greedy,A group of young men are dumping soil onto the ground of their backyard.,The young men are working to level an area of the yard to put in a new basketball court.,neither,1,"The young men could be doing anything in their backyard, such as playing basketball, or just hanging out.",Dumping soil doesn't mean they are leveling the area or building a basketball court.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_152,2,"A young girl, is mid jump, while performing a dance routine.",A young girl doesn't jump while performing her routine.,false,0,The girl cannot be in mid jump if she doesn't jump during her routine,"If a girl is mid-jump, then she is jumping."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_183,0,"Two girls, one with dark hair, wearing glasses and red pants, the other with a blue shirt and jeans with blond-hair talking and walking down a sidewalk.",An old pirate shows off all his extreme tattoos.,false,0,Either there are two girls talking and walking down a sidewalk or there is an old pirate showing off his extreme tattoos.,People walking slowly and talking to each other need not be describing the tattoos on an old pirate. Talking could mean many things.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_120,greedy,A little boy playing with two rubber chickens.,The boy is outdoors.,neither,0,You can not infer the boy is outdoors.,Playing with rubber chickens does not necessarily mean that the boy is outdoors.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_180,greedy,A black scientist looks through a scope examining a biological specimen's blood cells.,he looks through the microscope before lunch,neither,1,"The scientist could be looking through the microscope after lunch, or at any other time of the day.",Not all scientists are men. Just because they were looking through a microscope does not mean they were doing it before lunch.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_36,3,A white greyhound dog wearing a muzzle runs around a track.,The dog is running.,true,1,"If a dog with a muzzle is running around a track, the dog is more than likely running - the very definition of running involves movement of one's legs at a relatively quick pace.",Runs around a track implies running.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_113,0,A young boy is taking American flags to place them where they will remind others of the sacrifices made by veterans.,A young boy is honoring fallen veterans.,true,1,"If a young boy is placing American flags on the ground, then he must be honoring veterans.",A boy is honoring fallen veterans and reminding others of the sacrifices they made by placing American flags.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_104,greedy,Two men with matching t-shirts fold a towel in the living room.,Two women are having coffee.,false,0,Men vs. women. men are folding a towel and women are having coffee.,"Men and women are not the same, so if two men are doing something, it does not necessarily mean that two women are doing the same thing."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_221,greedy,"A woman plays in the wind, with a furry brown dog.",The dog is a shitzu.,neither,1,Just because a woman plays in the wind with a dog does not mean the dog is a shitzu.,A furry brown dog may not be a shitzu.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_236,1,An officer in a black uniform and hat stands to the left of a large structure with other officers in the background.,A group of officers stand near a crime scene.,neither,0,Not all groups of officers are police officers at a crime scene.,"Being a group of officers standing near a crime scene of course doesn't imply being near a police-only crime scene, but it is a possible location where one could find a group of officers dedicated to monitoring a potential crime scene in the event of criminal"
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_128,greedy,"A teenager blows a whistle and wears white face paint, earmuffs, and a yellow hat while another teen watches.",A person in face paint,true,0,"A teenager is a person, therefor a person is in face paint.","If a person is wearing face paint, then they are wearing face paint."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_37,0,A robed dancer holding fire stick entertains a crowd.,A man in pants and a t-shirt doing fire tricks.,false,0,A robed dancer cannot be wearing pants.,A robed dancer is not necessarily the same as a man in pants and a t-shirt doing fire tricks.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_176,greedy,A woman rests her head on a man's shoulder.,Woman resting her head on man's shoulder,true,0,A woman rests with her head on a man's shoulder.,"If a woman is resting her head on a man's shoulder, then she is resting her head on a man's shoulder."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_15,1,Two small girls are holding stuffed animals.,The girls are eating chocolate and watching the parade as it goes down the street.,false,1,"Small girls aren't usually eating chocolate and it would be impossible for the girls to be watching an event that's going down the street without leaving their spot on the sidewalk. Therefore it makes more sense for the girls to be holding stuffed animals, and given",The girls cannot both be holding stuffed animals and be eating chocolate simultaneously
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_175,greedy,people looking at dirty water.,A mountain is full of snow.,false,0,There can't be dirty water and snow.,The presence of dirty water does not imply the presence of snow.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_18,greedy,A tattooed woman clicking on a mouse on a desk.,A tattooed man clicking on a mouse on a desk.,false,0,There can either be a  tattooed woman or a tattooed man.,A tattooed woman is not necessarily a man.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_171,3,A young boy and an adult man looking at ducks in a pond.,People watch ducks in a pond.,true,1,A young boy and an adult man standing near a pond watching ducks indicates the people are watching the ducks.,A boy and a man are people.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_34,greedy,A man in a red headband an shirt is standing in front of a display case.,man is a girl,false,1,A man in a red headband and shirt is not necessarily a girl.,A man can not be a girl.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_82,3,An older woman is looking at herself in the mirror at a table with cosmetics.,the old lady looks into the mirror to choose which makeup she will buy,neither,0,Someone looking in a mirror isn't necessarily deciding on what she will buy.,She could be looking into a mirror without intending to buy anything.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_94,greedy,Man with plaid shirt staring off into the distance.,Man stares at a painting in a museum.,neither,1,"A man staring off into the distance could be staring at a painting in a museum, but he could also be staring at a sunset, or at a bird, or at a person, or at anything else.",A man can stare without staring at a painting in a museum.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_72,greedy,A young woman wearing a yellow sweater and black pants is ice skating outdoors.,the woman is cooking in the kitchen,false,1,"Cooking is done indoors, not outdoors.",No kitchen can be found outdoors.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_137,2,A group of people having a conversation.,People are washing the dishes.,false,0,"The people could be having a conversation while one, but not all, washes the dishes.",Just because people are having a conversation does not mean they are washing the dishes.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_68,2,A woman in an apron is looking for bread.,A woman is looking for bread in her kitchen cupboards.,neither,0,It may well not be the womans kitchen.,"There is not enough information to conclude that the woman is looking for bread in her kitchen. One can look for objects in her kitchen, but she may not actually be looking for bread."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_64,2,A man in a mask in the back of a service vehicle.,A woman is showing her head while riding on a horse,false,1,A masked man is not a woman and vice versa.,ITs either a man or a woman. The person is either showing their head or not . They cannot be on a horse and riding a service vehicle at the same time
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_5,greedy,A dog carries an object in the snow.,A dog is asleep in its dog house.,false,0,A dog cannot carry something while asleep.,A dog cannot be asleep and carrying an object at the same time.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_112,greedy,A large group of people populate a dimly lit room.,A group of people are in a room.,true,0,Populating a room implies being in a room,"If a group of people are in a room, then they are in a room."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_89,greedy,A musician playing a guitar while he has the microphone inside his mouth.,The man is in a heavy metal band.,neither,1,Playing a guitar does not necessarily indicate that the person is in a heavy metal band.,"In a heavy metal band is not the only place a musician can play a guitar with a microphone inside his mouth,"
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_197,3,"Asian men sitting down, and some of them are wearing white and pink hats, while the others are wearing blue jackets with yellow sashes.",Asian people sitting next to each other.,true,0,Asian people hanging out together may wear variety of different clothes.,"If Asian people are sitting next to each other, they are sitting next to each other."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_232,3,A man in a yellow shirt and helmet mountain biking down a dusty path.,A man is biking down a path.,true,0,For a man to go biking on a dusty path he needs a helmet.,"If a man is mountain biking down a path, then he is biking down a path."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_11,0,A blue truck is driving on a desert road carrying several people and lots of assorted cargo.,A truck driving,true,0,A truck is driving is the same as a truck driving.,A blue truck indicates that it is indeed a truck.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_177,greedy,"A woman, wearing a colorful bikini, rests laying down next to the blue water.",A woman in a bikini lays near the water.,true,1,"The woman is wearing a bikini, and she is laying near the water.",Answer: Lays refers to resting by laying down.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_32,greedy,"A man in gray on a rocky cliff, overlooking the mountains.",A man can see mountains from where he stands.,true,1,"If the man is on a rocky cliff, then he can see the mountains.",Overlooking the mountains suggests that the man can see the mountains.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_33,greedy,A rescue worker searches with a flashlight under a slab in a ruined building.,A worker searches a ruined building.,true,1,A worker searching a ruined building is a worker searching a ruined building.,"Rescue workers are workers, and they are searching under a slab. The slab is in a ruined building, therefore the worker is searching a ruined building."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_141,greedy,People stand along a train track and take pictures.,Some people are walking to the train station.,neither,1,Just because people are standing along a train track doesn't mean that they are walking to the train station.,Everyone walking along a train station are not taking pictures.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_181,greedy,The football player prepares to kick the ball.,The quarterback is throwing the football.,false,1,"The quarterback is not throwing the football, he is kicking it.",A football player throwing the ball cannot kick it.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_46,greedy,Dog running with pet toy being chased by another dog.,dog is running and being chased by another dog,true,1,"If a dog is running and being chased by another dog, then a dog is running and being chased by another dog.","Dog running indicates that a dog is running; being basically involves running by definition, but 'and' is necessary because the fact that the dog is running was already repeated and the first sentence was incomplete anyway.  Oh, wait, so is the second one."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_242,2,Three friends are talking.,Three people have drinks in their hand.,neither,0,"People can talk without having drinks, too.","While holding a drink, people can also be talking; similarly, one can be holding a drink and not talking."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_239,greedy,a man giving two thumbs up to a crowd.,The crowd watches him,true,1,"If the man is giving two thumbs up to a crowd, it's likely that the crowd is watching him.",A man gives two thumbs up to someone that watches him.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_51,greedy,A tractor decorated as a float for a parade,a lawnmover is being repaired,false,1,A tractor is not a lawnmower.,Something being decorated as opposed to being repaired.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_134,3,A woman in a bathing suit is sitting on a dock over a body of water.,A woman sits outside on the dock.,true,0,Sitting on a dock is outside.,"If a woman is sitting on the end of a dock over the water, she is almost certainly outside."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_95,greedy,A young Asian girl is wearing a pink dress and holding an umbrella even though it is not raining.,The girl in a blue dress is standing in the rain with an umbrella.,false,0,A girl can not be standing in the rain with an umbrella and be holding an umbrella when it is not raining.,"The girl in a blue dress is not standing in the rain, she is standing in the sun."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_206,0,A man and a young girl swimming.,a father and daughter swim together,neither,0,man and a young girl doesn't always mean father and daughter,"Swimming is not inherently a relationship-affirming activity between a father and daughter. It could be a parent and child, two friends, et cetera. The text ""and"" separates the subjects, so it cannot be a single subject."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_187,greedy,The child is hanging upside down with his legs over a pole.,The child is upside down.,true,1,"If the child is hanging upside down, then he is upside down.",Upside down is a rephrasing of hanging upside down.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_150,greedy,A woman in a brown jacket and jeans is kneeling on a brick road while taking a picture of another woman posing.,The woman is outside.,true,0,On a brick road implies outside.,"The woman is kneeling on a brick road, which is outside."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_111,greedy,A worker is doing a job on scaffolding.,Nobody is working,false,1,"A worker is working, and so it is not true that nobody is working.","If nobody is working, a worker cannot be doing a job."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_140,greedy,A brown and white dog is chained up near a red chair.,The dog is sitting.,neither,0,"Just because the dog is chained near a chair, the dog may be doing something other than sitting.","A dog could be sitting, standing, or laying down."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_85,2,A man with his arm around a woman.,A man is with a woman.,true,1,Being physically in contact with someone indicates being with them.,Man with his arm around a woman is with a woman.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_124,greedy,An old woman walking down the street.,A human in motion.,true,0,An old woman is a human. Walking is a form of motion.,A human in motion is a human in motion.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_167,greedy,A man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event.,The two men are wearing surfer shorts and tank tops.,false,0,The men can either be wearing formal wear (tuxedo and suit) or wearing surfer wear (shorts and tank tops).,One cannot be wearing a tuxedo and surfer shorts at the same time.
