Title,Description,Keywords,context,doc_id,Answer.noqu,Answer.q1_types,Answer.q1correct,Answer.q1correct1,Answer.q1incorrect1,Answer.q1incorrect2,Answer.q1incorrect3,Answer.q2_types,Answer.q2correct,Answer.q2correct1,Answer.q2incorrect1,Answer.q2incorrect2,Answer.q2incorrect3,Answer.question1,Answer.question2
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Then Ciara and I decided to go see Tropic Thunder at the movie theater while Nicole and Monica were going to stay behind and do karoake . Ciara and I get to the movies and the box office was closed , the dude said it closed 10 minutes before we got there . : ( So we decided to go get milkshakes at McDonald 's only to realize it was the opposite way we were going . So we settled for Burger King , who as we waited at the drive thru said they were n't taking any more orders .",Blog_1015086,,q1_type3,They went to Burger King.,They went to a burger place.,They went to McDonalds.,They went and got food at the movies.,They went to Mickey D's..,no_answer,{},{},{},{},{},What did the narrator grab to eat?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The Princess is n't really related to me , and she is n't really a princess . She walked into my first grade classroom , a scared , but determined , 6 year old , and I fell in love instantly . It 's almost 6 years later - she 'll turn 12 in April - and I still love her to pieces . She 's so level - headed , she thinks linearly , as I do , but she is so different in other ways .",Blog_315045,,q1_type5,She will fall in love with the boy,She will walk into a classroom,She will not be scared,She will leave the class,She will not fall in love,no_answer,{},{},{},{},{},What may happen to the Princess?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Stop saying that word ! Anyway , I quickly had to produce a post . So I thought I 'd discuss why I wrote what I wrote without saying the "" n "" word . Basically , I wanted to conduct a little experiment .",Blog_172436,,q1_type1_,They feel it's racially insensitive.,They feel it's crude.,They feel it is not harsh enough.,They feel it's use is banned in any post on their blog.,They feel it's derogatory to Jews.,no_answer,{},{},{},{},{},Why would the narrator want the word banned?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","From the "" Signs of Armegeddon "" file comes a very bizzare dream I had the other night in which I found myself walking through Halifax , Nova Scotia being followed down the street by a violent goose . The dream was odd being that it was so random . First off , I had never been to Halifax , but I knew for sure that I was there in my dream ... I just simply knew it !",Blog_861946,,q1_type5,I had a weird dream.,{},I had a normal dream.,I had a delicious dream.,I had a happy dream.,no_answer,{},{},{},{},{},What kind of dream did I had?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","We just got back from a quick trip to New Jersey . We found out last week that there were cheap flights from Cincinnati to Newark , so we jumped at the chance to go and visit Jackson 's cousins . The only person who knew we were coming was Dave 's dad . We were able to fully surprise his mom , sister , brother - in - law and their kids .",Blog_968779,,q1_type3,They went to Newark.,They went to New Jersey.,They went to Cincinnati.,They went to Ohio.,They went to the mid west.,no_answer,{},{},{},{},{},Where did the narrator go on their trip?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Stupid man . I work out daily - rain or shine , no matter what - when I have n't worked out because I 'm in such pain - it 's a pretty good indicator that all is not right in my world . Back the hell off unless you have a nice mug of tea and you 've run me a bubble bath .",Blog_515804,,q1_type2,I have a good enough reason for it.,{},I want to take a break once in a while.,I exercise in pain and bear with it.,I decide to sleep in while relieving my pain.,no_answer,{},{},{},{},{},What may happen after not working out one time?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",The neighbor kids were shooting baskets Monday on a glorious summer night . The basket was set up on the curb and they were playing in the street . They were n't being loud and were simply engaged in a game of 2-on-2 .,Blog_955893,,q1_type2,Some shoes may be squeaking.,There may be some collisions of bodies.,There may be a scoreboard around.,The neighbors may all come out to watch.,They may keep playing till dawn.,q2_type2,There may not be cheerleaders out there chanting.,A team may not show up to challenge them.,There may not be any sweaty body.,They may not run much.,The players may not jump at all.,What may happen on Monday night?,What may not happen on Monday night?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",And I wanted to read . But I did n't read so I just grumbled and moaned and whined and wished I had something to do . So I listened to Modest Mouse and eventually feel asleep . My bed is on the floor .,Blog_736740,,q1_type1_,They were looking for something to do.,They were bored.,They were at a concert.,They were working out and wanted music on.,They were doing an essay on the band Modest Mouse.,no_answer,{},{},{},{},{},Why did the narrator listen to Modest Mouse?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Yamapi exclaims and bows again . They talk a bit more about the DVD and Yamapi says thanks again and then they part ways . Everyone in the room found it odd that Yamapi has n't spoken at all and the meeting was already halfway through . He was also wearing this really odd bonnet .,Blog_1180009,,q1_type1_,They are unnerved by the bonnet.,They are unnerved by his lack of speaking.,They are unnerved by him being on the DVD.,They are unnerved by him selling DVDs.,They are unnerved by him destroying the DVDs.,no_answer,{},{},{},{},{},Why are some unnerved by Yamapi's behavior?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","So , I ve spent one week in Portland and I arrived in Seattle like 5 hours ago . What have I been upto ? Well , basically a lot of D / s play ( I have my own collar now ! )",Blog_437232,noqu,q1_type3,{},{},{},{},{},no_answer,{},{},{},{},{},{},{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I was doing a verbal fill - in - the - blank verb conjugation exercise and forgot what I was doing midsentence and just started reciting random other questions ' answers . My class laughed when I said , "" sorry , I forgot where we were "" since I 'd forgotten while I was saying it . I have a very bad short and long - term memory too for the most part , and they 've gotten worse since Lamictal and Wellbutrin , although they were already getting really bad really quickly when I was 18ish . At the same time though , I can remember some things in perfect detail ( which is part of why I can get away with taking French 2 , 3 , and 4 at the same time ) .",Blog_1540565,,q1_type1_,The medications act on the brain and a result have effects that can lead to memory impairment,Any psychiatric medication carries with it a risk of causing side effects such as memory impairment,"Both medications are fairly stimulating, leading to a lack of sleep and a worsened memory as a result","The medications are supposed to help, but due to a poor memory, the speaker forgets to regularly take them",The poor memory is actually due to cannabis use but the speaker would prefer to blame the medications,no_answer,{},{},{},{},{},Why did the speaker's medications lead to an impairment of their long and short term memory?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Oddly , my lap times were .6 seconds faster the second session . The third session everything came together . I dropped 7 seconds and was definately moving a lot faster . I really picked my vision up and felt like I could have gone quite a bit faster .",Blog_258938,,q1_type4,Their times will improve.,They'll get even faster.,They're plate vision will be better.,They're vision in the batter's box will be better.,Their basketball scores will improve.,no_answer,{},{},{},{},{},What will happen in the future with more practice?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I slip out of the corridor and down to the library . I did n't have any real reason to be in the vast library ; I did n't need a book for any of my assignments . I merely wanted to get away from that corridor and my brothers ; the four story building I had taken refuge in had old oak floors and wooden pillars , every wall was lined 7 feet high with books .",Blog_1564122,,q1_type1_,They wanted to get away from other people.,They wanted to spend time alone in the library.,They were trying to run away from people.,They were escaping a bad situation.,They wanted to read books for school.,q2_type2,They will sit alone and away from others.,They will look around the library.,They will check-out books from the library.,They will do their assignments in the library.,They will socialize in the library.,What may be the reason for them going into the library?,What may happen while they are in the library?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","And Jesus went out , and departed from the temple : and his disciples came to him for to shew him the buildings of the temple . 2 And Jesus said unto them , See ye not all these things ? verily I say unto you , There shall not be left here one stone upon another , that shall not be thrown down . 3 And as he sat upon the mount of Olives , the disciples came unto him privately , saying , Tell us , when shall these things be ?",Blog_824683,noqu,no_answer,{},{},{},{},{},no_answer,{},{},{},{},{},{},{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Jeff and I were very fortunate to have our good friend ( and my maid of honor ) come visit us . Susie took the summer off to travel all over the world . Before landing in West Africa , she had traveled to Indonesia , Thailand , Japan , China , Hong Kong , Spain , and England . Susie arrived in Accra , Ghana on August 4th where Jeff and I picked her up from the airport .",Blog_490067,,q1_type3,They were in Ghana when they picked up Susie because this was where they lived.,{},They were spending the summer in Ghana with Susie.,They were in Ghana for a connecting flight  to visit Susie in England on August 4th.,The narrator was in Ghana to be a bridesmaid in August.,no_answer,{},{},{},{},{},What were the narrator and Jeff doing in Ghana?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","PDI presentation went surprisingly well ; the tutor praised my innovation and was amazed that I could come up with a completely new idea in less than a day . Previously , I emailed him that I would be basing my innovation on a baby bottle , but changed my mind at the very last minute . Miss P.A has n't changed one single bit .",Blog_208089,,q1_type3,They are working on baby bottles.,They are working on bottles for infants.,They are working on PDI.,They are working on the science of presentations.,They are working on beer bottles.,no_answer,{},{},{},{},{},What is the narrator presently researching?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","It 's apparently going to be an LA tradition for me to buy gay books . One is a collection of gay stories like the one I got last year , although this one is bigger . I think the picture on the front might even be the same picture , but I do n't think the stories are the same ( although there might be a duplicate ) . I also got a book of fairy tales retold with gay characters .",Blog_637097,,q1_type1_,It has become a common thing for me in Los Angeles.,{},It's my favorite thing for me to do in Los Angeles.,I'm gay and I want to read about gay characters.,I think all gay stories are the same and I want to prove it.,no_answer,{},{},{},{},{},What may cause you to buy gay books?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I love LOVE this little print and will be hanging my very own copy here in my little studio very soon . AND I managed to get most of my website back up and running yesterday so you can check it out again by clicking the portfolio link over there to your right . AND thanks to the lovely suggestions and my own research I finally decided on this little guy for my new digital camera : I got a super - great deal on Ebay and it arrived on Thursday , so portable and tiny and cute and very make able to take excellent pictures . It 's now tucked safely away in it 's cute hedgehog pouch in my purse for easy inspiration pictures .",Blog_1275545,,q1_type5,I would be upset.,{},I would be glad.,I wouldn't care.,I would laugh.,no_answer,{},{},{},{},{},What would I do if I don't have this little print?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","On Saturday I spent an hour as a life guard . I was shadowing the duty manager , so do n't worry I was not actually on life saving duties ... . I was there on a session where 4 other life guards were on duty so I did not detract one bit from their primary role . The session was the large inflatable session .",Blog_483073,,q1_type3,They are training to become a lifeguard.,They are working towards their lifeguard certification.,They are working as a lifeguard.,They are a lifeguard on duty at a pool.,They are training others how to lifeguard.,q2_type2,They will receive a lifeguard certification.,They will get a job as a lifeguard.,They will train others how to lifeguard.,They will lifeguard at a beach.,They will become a lifeguard supervisor.,What may be a fact about this person?,What may happen after their training sessions?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I wanted to loss some weight as I gained weight about 10 lbs . and mostly of my skirts , dresses , shirts and shorts do n't fit well anymore and I have some good clothes . One time , I tried on some of my clothes but I am annoyed since they are little for me now . It makes me gained weight by just sitting in front of my computer and not doing exercise .",Blog_696242,,q1_type3,"They sit at the computer for work, this leaves little time for exercise.",{},They were too thin and the clothes didn't fit so they wanted to gain weight.,They were emailing friends about their recent weight loss.,They were uploading photos to show how well their clothes fit.,no_answer,{},{},{},{},{},Why was the narrator sitingt in front of the computer?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Hi please look at my previos post and now for my question this may sound starnge but like my other question when i turn on power then press buttton it wo n't switch on so later at night i asked my dad if u used the pc he said yes it was working . So next morning i tried again no power again and it worked at night this so strange why is that happning ?,Blog_1362420,,q1_type4,The narrator should double-check that the power cord is actually plugged in.,{},The narrator should immediately take the PC to a shop for repair.,The narrator should purchase a new battery to replace the one that has died.,The narrator should simply purchase a new PC to replace the broken one.,no_answer,{},{},{},{},{},What would be the first thing the narrator should do about their power issue?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I participate in an online Breast Cancer support forum . It has been an immense help to go back and forth with other women my age who are going through treatment . The forum boards can be deadly serious , wildly crazy , political , hilarious .... like just about any internet forum with little moderation . Over the past week , one of the posters on the forum wrote that her 3-year - old son had died during Hurricane Ike along with his father , her ex . The boards overflowed with an outpouring of support and sympathy for her .",Blog_377804,,q1_type1_,They helped someone who lost a child.,They helped someone who had a kid die.,They helped someone who had breast cancer.,They helped someone who had cancer.,They helped someone who had a child with breast cancer.,no_answer,{},{},{},{},{},Why is the narrator feeling good about her forum?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Connecticut , we are anticipating a heat wave this week , so i look forward to cooling off hydrocodone prescription tamsulosin hci diclofenac gel lo ovral ativan usage diovan side effects . Reach the adult stage of their life , where they fly off oxycontin online without prescription diovan medicine ortho albuterol svm prevacid and low blood pressure weening off norvasc . Osaka univ , citizen plan to develop mini soccer robots phentermine online celebrex cardiovascular side effects weening off with free shipping fexofenadine oral liquid altace diovan . Another fecking infected bite on my arm currently that i m trying not to itch , and trying to get not get pissed off about certain things or i ll just stress myself out silly .",Blog_1378075,noqu,no_answer,{},{},{},{},{},no_answer,{},{},{},{},{},{},{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I trusted you and you simply came out at me with that kind of shit ? Even if you did n't fucking cheat on me , Bryan , guess what ? You apparently ca n't love again after Keira , yeah , the girl who you fucking found ANNOYING beyong belief and you HATED being with because of how much of a bitch she was .",Blog_981792,,q1_type3,Their boyfriend had betrayed their trust.,Their boyfriend had been lying to them.,Their boyfriend had been sleeping around.,Their boyfriend admitted to cheating.,Their boyfriend was sleeping with other people.,q2_type2,They will break up.,They will leave each other.,They will fix their problem.,They will stay together.,They will make-up.,What may be a fact about this person?,What may happen during this argument?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Weather - Cloud and Sun ! ( OK ) Sunday Sorry my mind gone blank and all I can remember was that I was dearly missing furniture especially my super king size bed ! Oh and we went to the pub again .,Blog_745063,,q1_type1_,It is so comfortable and I love sleeping in it!,{},The bed and I are in love with each other.,It is the only way I can go to the pub.,It reminds me of a Sunny day and makes me relax.,no_answer,{},{},{},{},{},Why was I missing my King Size Bed?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",On monday night two weeks ago I had a fun night out playing pokemon and eating pizza . I also had my last glass of pop considering it tasted great but made my stomach so sick . I decided there and then that I would not be drinking pop again .,Blog_825099,,q1_type4,He will have a glass of water to protect his stomach.,{},He will have a glass of sprite because it tastes good.,He will have a glass of ginger ale to help settle his stomach.,He will have a glass of Coke because Coke is great  with pizza.,no_answer,{},{},{},{},{},What will the narrator drink the next time they have pizza?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Beth and I will be returning the same day albeit late , so we will be lying in bed late on Sunday . I am glad that I will have Monday to recover before returning to work . Today I got up in good time to do my weekly shop , but I was later than I had intended so I had to drive to my appointment of 9.30 in town . I made it with minutes to spare !",Blog_115281,,q1_type2,They will rest on Monday.,They will relax on Monday.,They will be at work on Monday.,They will be struggling on Monday.,They will active on Monday.,no_answer,{},{},{},{},{},What will the narrator be doing after the weekend?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",So one jumped out in front of me and I stopped really fast . I started to speed up just a little and then another one jumped out and I hit it with the right side of my bumper / tire . It laid in the road for a little bit before it sat up .,Blog_1589723,,q1_type2,They hit something else.,{},They pulled over and walked the rest of the way.,They called a friend to calm their nerves.,They made it without hitting anything else.,no_answer,{},{},{},{},{},What may have happened next in their story?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","So , in total we need to wait for 18 days to receives the item . The most problem occurs for online store is item delivery , and most buyer want the item arrives quickly . Those are the example how online store conduct their business differently , some of them are aware of these issue ( delivery , customer help desk ) , and some of them are not .",Blog_594665,,q1_type1_,Items take a long time to get.,The wait times are long.,Items are frequently broken.,The items are frequently broken.,The boxes they ship with are poor quality.,no_answer,{},{},{},{},{},Why do some buyers get aggravated with the store?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","We 've made memories together ! ! ! Time to start researching small cameras again ... Tomorrow night I 'm having a small dinner party ( my friend from LA is in town ) . This time we 've prepped the food the night before , so all we have to do tomorrow is come home and throw it on the stove or in the oven .",Blog_381298,,q1_type4,There may be more leftover food after dinner.,Less laughter may be heard at dinner.,I may take a lot of pictures.,My friend may spend an hour talking about himself.,I may put all the food away in the freezer.,no_answer,{},{},{},{},{},What may happen tomorrow if my friend calls to cancel and can't come until next year?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","It looks so cool - we can really visualize what the rooms are going to look like and even imagine furniture placement . Above is a picture of the main living areas - taken from the dining / game room with kitchen on the right and sunken living room on the left . The picture on the left is the living room - the fireplace will be covered with stone , which is why it 's still plywood . The two open areas to either side of the step going down will be cabinets with granite countertops .",Blog_634620,,q1_type3,They are redecorating their place.,They are getting a redesign of their home.,They are decorating the game room.,They are building a new kitchen.,They are adding an addition to the kitchen.,no_answer,{},{},{},{},{},What is the narrator working on so diligently?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","At one point I turned into a weather event . I turned into a hurricane or tornado flipped on its side . I was concerned that I would cause massive destruction with all that weather coming out of me , but somehow I knew it was not an issue . Then I was inside the weather event with my sweetheart and we were doing fine .",Blog_680467,,q1_type4,They should calm down so the event will end.,{},Board up their windows and stay inside for the hurricane.,Hide in the cellar until the tornado ends.,Evacuate the area to escape the massive destruction.,no_answer,{},{},{},{},{},What should the narrator do about the weather event?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Our HMO had hung us out to dry , having invoked the "" take her to therapy "" prescription for anything they are not interested in finding out about , and besides , every time we took her to the ER they managed to hurt her , and she was n't getting better with the best that the Lyme specialists had to offer . We decided to ramp her down off the antibiotics for a while just to see where she was . Frankly we did n't need expensive alternative treatments . We 'd already done a refi on the house .",Blog_1073580,,q1_type1_,Their friend was hurt there.,Their friend was harmed there before.,Their friend was abused there previously.,Their friend was working at the ER so it was a conflict.,Their friend had a phobia of the ER.,no_answer,{},{},{},{},{},Why does the narrator seem leery of the hospital?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",So yesterday we took a tour of the writing center and it was pretty cool . It was different then what i expected it to be but that might just be because they are still setting it up they are n't completely finished with it yet . But what was done was pretty nice especially since i laways need help on my papers . This seems like a good place to go and someplace that i wo nt feel uncomfortable .,Blog_1431682,,q1_type5,I thought it was an enjoyable experience.,{},I thought it was boring.,I thought it wasn't great.,I thought it was pathetic.,no_answer,{},{},{},{},{},How do I feel about the writing center?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",It is that I did not devote myself to gaining first . I lost weight but I did nt lose what I aimed to lose . I strengthened my kicks but not there speed . I moved weights but i did not move them with a consistence that would allow for conditioning . As I began to prepare myself to face my opponent I felt not the need to strike at him with all I had or see him as a challenge .,Blog_1587639,,q1_type1_,They have a fight.,They have a brawl coming up.,They have a desire to lose weight.,They have a desire to gain weight.,They have a desire to gain muscle.,no_answer,{},{},{},{},{},Why is the narrator working out so hard?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","She 'll be fine and forget about it in like a day and go back to dotting her ' I 's with hearts . "" "" I do n't think she has many friends , "" he said with a shrug . "" She was crying . "" Crossing her arms , she glanced off where the Hufflepuff had disappeared .",Blog_1245679,,q1_type1_,She is crying.,She is tearing up.,She is angry at others.,She is yelling at others.,She is saying mean things to Hufflepuff.,no_answer,{},{},{},{},{},Why is the narrator trying to explain the female subject's behavior?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","It was such a great book , but I heard from a few sources that it had an unhappy ending , and I was n't ready for that . Then I had myself stuck in the frame of mind that I needed to finish that book before starting another . But I do n't think I will .",Blog_689924,,q1_type1_,I didn't want it to end on a bad note.,{},I didn't want it to end on a good note.,I wanted to start another book.,The ending was spoiled for me and that made me unhappy.,no_answer,{},{},{},{},{},What may be your reason for not finishing the book?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Those words come from author William Faulkner , who also said , "" Read everything - trash , classics , good and bad , and see how they do it . Just like a carpenter who works as an apprentice and studies the master . Read !",Blog_453966,,q1_type3,They have read books by William Faulkner.,They are convincing others to read more.,They are taking words from William Faulkner.,They are teaching a class to read.,They are a literature teacher.,q2_type1_,They are a fan of William Faulkner's books.,The quote is representative of their opinions.,They want to force their students to read.,They want others to read William Faulkner.,They want their class to read more.,What may be a fact about this person?,What may be the reason for the quote they've used?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",And it worked like a dream . We 'd a quick lunch of basil and tomato soup with duck spring rolls . Then off to pay a visit to our favourite playground . We were surprised to see cars spilling onto the road .,Blog_1391416,noqu,no_answer,{},{},{},{},{},no_answer,{},{},{},{},{},{},{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","New Corolla ! We managed to find a 2009 that barely had 250 miles on it , so we get what is essentially a brand new car for $ 2 K less than we 'd expect . It 's black ; I 'm not too hot on that .",Blog_1178777,,q1_type1_,They got a deal on a car.,They got a great car deal.,They got a deal on a black car.,They just ran 250 miles.,They got to travel 250 miles for a wedding.,no_answer,{},{},{},{},{},What seems to be exciting the narrator?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",I recently lost my PSP and a weird thing happened . I decided not to go out an immediately replace it . Instead I took a step back and realized that before I plopped down another $ 250 that I rarely even turned it on .,Blog_1037382,,q1_type5,I barely used the old one anways.,{},I didn't have the money.,I didn't have the time.,The store's too far away.,no_answer,{},{},{},{},{},Why won't I buy another psp?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","LOL GUYS . I DON'T HAVE ANY HOMEWORK , HAHA.I finished chem at school . I had a math test today , so no homework for that . And I just got an email from my English teacher saying that our reading handouts were screwed up so we do n't have any homework for English either .",Blog_1523012,,q1_type1_,They have no homework.,They have no school assignments.,They have a vacation day.,They have none of their kid's homework to help on.,They have no work at home to do.,no_answer,{},{},{},{},{},Why does the narrator have so much free time today?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Looking for the magical cure for fibromyalgia continues and despite there being limited assistance in the form of drugs a sufferer can rely upon other forms of treatment should be explored . Be aware that treatment for fibromyalgia can involve anything from medication to exercise and stretching . Chiropractic treatment is another which should be considered .,Blog_55386,,q1_type3,There is medication.,There is exercise.,There is no known treatment.,There is meditation.,There is having positive thoughts.,no_answer,{},{},{},{},{},What are some treatment options for fibromyalgia?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",But it also shows that Europe is more of an oil exporter to be sensitive to such news in that manner . Now I 'm a slightly educated FOREX trader trainee . No I still do n't have the courage to be a full - time FOREX trader . You can lose your pants if you become lazy and unlucky .,Blog_601289,,q1_type3,They like to trade FOREX.,They like to trade currency.,They like to trade oil.,They like to trade commodities.,They like to trade stocks from Europe.,no_answer,{},{},{},{},{},What does the narrator like to trade on?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Here we are at the end of May and it is hard to believe 2008 is almost half over . It 's been a busy year and we have learned many new things . This week we had a ham that we butchered , cured , and prepared for a meal .",Blog_352490,,q1_type2,They had to get a hog and raise it.,They had to kill a pig.,They had to get a hog and braise it.,They had to pet a pig.,They had to save a pig.,no_answer,{},{},{},{},{},What had to have happened before they could eat ham?,{}
