Title,Description,Keywords,QUESTION1,ANS1,SEN1
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which characteristic is shared by all cells?,They need energy.,All cells share the characteristic that they need energy.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which human organ system produces most of the hormones that regulate body functions?,endocrine,The endocrine system produces most of the hormones that regulate body functions.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Elements on the Periodic Table of the Elements are classified into categories such as,metals and nonmetals,Elements on the periodic table of the elements are classified into categories such as metals and nonmetals.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","Which process involves choosing certain organisms to reproduce with one another in order to pass on specific, desirable traits to their offspring?",selective breeding,"Selective breeding involves choosing certain organisms to reproduce with one another in order to pass on specific, desirable traits to their offspring."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",One example of matter is,water,One example of matter is water.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Heat energy from the Sun is transferred to Earth primarily by which of the following processes?,radiation,Heat energy from the sun is transferred to earth primarily by radiation.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which of the following has a warmer average surface temperature than Earth?,Venus,Venus has a warmer average surface temperature than earth.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which statement best describes the Law of Superposition?,"In undisturbed layers of sedimentary rock, the lowest layers contain the older rocks.","The law of superposition is best described by: in undisturbed layers of sedimentary rock, the lowest layers contain the older rocks."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","Which human organ system produces hormones to regulate growth, development, and reproduction?",endocrine,"The endocrine system produces hormones to regulate growth, development, and reproduction."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which model can be used to trace genetic inheritance?,pedigree chart,The pedigree chart model can be used to trace genetic inheritance.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",A cell’s chromosomes contain,genes,A cell’s chromosomes contain genes.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","Which body system typically recognizes, attacks, and destroys foreign cells or substances that may cause disease?",immune,"The immune system typically recognizes, attacks, and destroys foreign cells or substances that may cause disease."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which sequence identifies the levels of organization of body structures in a human from simplest to most complex?,cell → tissue → organ → organ system,The sequence cell → tissue → organ → organ system identifies the levels of organization of body structures in a human from simplest to most complex.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Abnormal cell division may result in,cancer,Abnormal cell division may result in cancer.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Studies of earthquake waves have helped scientists determine the,structure of Earth's interior,Studies of earthquake waves have helped scientists determine the structure of earth's interior.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is a primary role of decomposers in an ecosystem?,They cycle matter by returning carbon and other matter to the ecosystem.,A primary role of decomposers in an ecosystem is that they cycle matter by returning carbon and other matter to the ecosystem.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which of the following sets contains only objects that shine as a result of reflected light?,"moons, planets, and comets","The setmoons, planets, and comets contains only objects that shine as a result of reflected light."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What are genes composed of?,DNA,Genes are composed of dna.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which factor is most likely to cause the number of rabbits living in an area to increase?,fewer predators,A fewer predators is most likely to cause the number of rabbits living in an area to increase.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which of the following is true regarding the properties of an air mass?,An air mass has similar temperature and moisture properties throughout it.,One of the properties of an air mass is that an air mass has similar temperature and moisture properties throughout it.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Heat transfer by conduction occurs when molecules,collide with other molecules,Heat transfer by conduction occurs molecules collide with other molecules.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What characteristic of carbon (C) makes it essential to living organisms?,Carbon bonds in many ways with itself to form chains.,Carbon (c) is essential to living organisms because carbon bonds in many ways with itself to form chains.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",The thin layer of rock on Earth's surface is the,lithosphere,The thin layer of rock on earth's surface is the lithosphere.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which is an example of a renewable energy resource?,biomass,Biomass is an example of a renewable energy resource.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which of the following has changed over the last 200 years primarily due to human activity?,the composition of the atmosphere,The composition of the atmosphere has changed over the last 200 years primarily due to human activity.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which of the following planets is always closer to the Sun than it is to Earth?,Mercury,Mercury is always closer to the sun than it is to earth.
