Title,Description,Keywords,concept_1,premise_1,hypothesis_1,concept_2,premise_2,hypothesis_2,concept_3,premise_3,hypothesis_3,concept_4,premise_4,hypothesis_4,concept_5,premise_5,hypothesis_5
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",entertainer,"Typically, an entertainer produces his or her own music.","Typically, an entertainer produces his or her own material.",yodel,"Generally, a yodel can be composed of a single note.","Generally, a yodel can be composed of a single tone.",pickle,"Typically, pickles have a sweet, tangy taste.","Typically, a pickle can be found in a can.",cook,Cooks have a lot to learn about cooking.,"Generally, a cook can get away with using a lot less fat than you might think.",mover,"Generally, a mover can be made of any material that can be moved.","Typically, a mover may have to pay a fee."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",pickle,"Typically, pickles have a sweet, tangy taste.","Generally, a pickle can be made.",sailor,"Generally, a sailor can consist of any number of crewmen.","Generally, a sailor can be composed of many different elements.",constrictor,Constrictor can be found in the wild.,Constrictor can be a dangerous animal.,news,"Generally, news may be delivered to you by email.","Typically, news can be fastened to a particular event.",chair,"Generally, chairs have a back.","Generally, a chair has a back."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",emission,"Generally, emissions have declined in the past.","Typically, an emission may have multiple sources.",speaker,Speakers can be made of any material.,Speakers can be used to communicate with the user.,walking stick,"Generally, a walking stick can consist of a stick.","Generally, a walking stick can be used to help people.",week,"During a work week, you may have a couple of hours to spare.","During work week, you can take a break.",suicide,"Generally, a suicide can consist of many different things.",Suicide can be composed of many different factors.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",topic,"Typically, a topic is assigned to a student's class.","Typically, a topic may have multiple subtopics associated with it.",mountain,"Generally, a mountain can be considered to be a large hill.",Mountains may be seen in the distance.,polo shirt,"Typically, a polo shirt has a button.","Generally, a polo shirt can be identified by its collar.",freshwater crocodile,Freshwater crocodiles should be considered a protected species.,Freshwater crocodiles should be kept in a secure area.,measuring cup,"Typically, a measuring cup may have an outer surface.","Typically, a measuring cup are used to determine the volume."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",stand,"Generally, a stand has two main components.","Generally, a stand can be used to support a vehicle's weight.",basket,Baskets can be removed from the oven to allow them to cool.,Baskets can be removed from the oven to cool before serving.,herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, a herbivorous animal can only eat plants that are native to its environment.",malaria parasite,"Typically, a malaria parasite may be transmitted to humans by a bite from an infected animal.","Generally, a malaria parasite should be found in the blood.",wire,"Typically, a wire is soldered to the circuit board.","Generally, a wire can be made of copper, aluminum, brass, or other metals."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",cereal,"Generally, cereals can be found in most grocery stores in the US.","Typically, a cereal can be removed from the package, washed with hot water, rinsed with cold water, dried with paper towels",yodel,"Generally, a yodel can be composed of a single note.","Generally, a yodel can be considered to be a rhythmic pattern.",stimulation,Stimulation can also be induced.,Stimulation produces an increase.,kettle,"Generally, kettles can be used to boil water.","Typically, kettles may have two or three heat settings.",sibling,"Generally, siblings are expected to help one another.","Generally, a sibling is someone who shares a blood relationship with you."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",pistachios,"Generally, pistachios have a sweet, nutty flavour.","Generally, pistachios are grown for their nuts.",colander,"Generally, a colander can be made of any material.","Generally, a colander can be removed from the pot before cooking.",congress,"Congress can be used to change the law, but only Congress can make laws.","Congress can be used to change the law, but only Congress can pass laws.",medical condition,"Generally, a medical condition should be evaluated by a doctor.","Typically, a medical condition may have been present for a long time before symptoms were noticed.",contribution,Contributions can be given.,Contributions are always welcome!
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",milkweed,"Typically, a milkweed has a flower.","Typically, milkweed can be found in moist, shady, wooded areas.",topic,"Typically, a topic is assigned to a student's class.","Typically, a topic can be used to describe a person, place, thing, event, etc.",mover,"Generally, a mover can be made of any material that can be moved.","Generally, a mover is a person who moves.",sermon,"Generally, sermons can be used to preach the Gospel.","Generally, a sermon can be fastened to a book, which can then be read by others.",other organism,"Generally, other organisms may be able to adapt.","Generally, other organisms may be able to survive."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",laser,"Generally, a laser may have an output power.","Generally, a laser should be aimed at the object to be illuminated.",account,"Typically, an account may have a single user.",Accounts can be used to store information about the user.,pickle,"Typically, pickles have a sweet, tangy taste.","Typically, a pickle can be attached to a hot dog, which is then cooked.",imposter,"Typically, an imposter can be spotted.","Typically, an imposter may be a person who pretends to be someone else.",abrasion,"Typically, an abrasion may have been caused by a sharp object.","Typically, an abrasion may be caused by an impact with a hard surface."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy can be a devastating condition.,mountain,"Generally, a mountain can be considered to be a large hill.",Mountains have been carved out of the earth.,measuring cup,"Typically, a measuring cup may have an outer surface.","Generally, a measuring cup has two sides.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy may have a genetic basis.,week,"During a work week, you may have a couple of hours to spare.","During school week, you will have the opportunity to interact with your fellow students."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",yodel,"Generally, a yodel can be composed of a single note.","Generally, a yodel can be used to indicate that a song is about to begin.",imposter,"Typically, an imposter can be spotted.","Generally, imposters are people who claim to be someone else.",archer,"Generally, an archer should be able to shoot a bow.","Typically, an archer may have one or two arrows with them.",suicide,"Generally, a suicide can consist of many different things.",Suicide can be composed of many different types of behaviors.,work of art,"Generally, a work of art may be considered to be a work.","Generally, a work of art is considered to have been created."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",kitty,"Typically, a kitty may be placed in a kennel with other cats.","Generally, kitties are best kept in a fenced area.",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be removed from an organism.",reflector,"Typically, a reflector can consist of an array of individual reflectors.",Reflectors can be found in various locations throughout the world.,water vapour,"Generally, water vapour can be used to cool a building.","Typically, water vapour may be found in the atmosphere only.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Typically, scottish terriers have a long coat."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",bookmark,Bookmarks can be found in your bookmarks folder.,Bookmarks can be considered to be part of the web.,consciousness,Consciousness can be composed of many different states.,Consciousness can be found in many places in the brain.,microgreens,"Typically, microgreens produce their color.","Generally, microgreens should be grown in a sunny location.",account,"Typically, an account may have a single user.",Accounts can be attached to any object.,genome,"Typically, a genome can consist of thousands of genes.","Generally, a genome can be considered to be complete if all of its genes have been sequenced."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",vegetation,"Generally, vegetation can be used to cover a large area.","Generally, vegetation can be removed from a site by cutting, burning.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Typically, a herbivorous animal may have the ability to eat plants.",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin can be used to treat insomnia.",interference,"Generally, interferences have to do with something.","Generally, interferences can be considered to be anything that interferes with communication.",llamas,"Generally, llamas have been domesticated.","Generally, llamas are bred for their wool."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",hours,"During rush hours, you can take the train to the city centre.","During office hours, you will have the opportunity to ask questions about your application.",abrasion,"Typically, an abrasion may have been caused by a sharp object.","Typically, an abrasion produces only a small, localized scratch.",rowboat,"Generally, a rowboat should be able to float.","Generally, a rowboat can be rowed by a single person.",blind,"Generally, blinds can be installed in your home or business.","Generally, blinds can be attached to a window frame to block out light.",inference,"Generally, inferences are made based on a person's past behavior.","Generally, inferences should be made from the evidence."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",cavity,"Typically, cavities have to be cleaned out.","Generally, a cavity can be considered to be a space.",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Generally, other vertebrates have the ability to regenerate.",medical condition,"Generally, a medical condition should be evaluated by a doctor.","Generally, medical conditions have to be diagnosed by a licensed healthcare provider.",sector,"Generally, sectors are classified according to their level of economic development.","Generally, a sector should be defined.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles can be removed from the stovetop."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",blind,"Generally, blinds can be installed in your home or business.","Generally, blinds can be considered to be an extension of the window.",suicide,"Generally, a suicide can consist of many different things.","Generally, a suicide can consist of a single act.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy are disorders of the brain.,stimulation,Stimulation can also be induced.,Stimulation has been shown to be an effective treatment for chronic pain.,artichoke,Artichokes can be found in many parts of the world.,"Typically, an artichoke may have a single stem."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",laugh,"Generally, a laugh can be found in almost any story.","Generally, a laugh can be attached to a joke.",knight,Knights can be made of any material.,Knights can be found in every major city.,bear,"Generally, a bear can be found in any forest.","Generally, a bear should never be left alone with children.",nurse,"Generally, a nurse can be found in any hospital in the country.","Generally, a nurse can be used to provide care to a patient.",sector,"Generally, sectors are classified according to their level of economic development.","Typically, a sector can consist of any number of sectors."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",brussels sprouts,"Typically, brussels sprouts are cooked until tender.","Typically, brussels sprouts are grown in a greenhouse.",cereal,"Generally, cereals can be found in most grocery stores in the US.","Generally, a cereal can be considered to be a foodstuff.",morning,"On a sunny morning, you can feel the sun on your face.","On a fine morning, you can feel the sun's warmth on your face.",germ,"Generally, a germs can consist of bacteria, viruses, fungi, protozoa, arthropods, etc.","Germs can be made of many different materials, including bacteria.",christmas ornament,"Usually, a christmas ornaments can be used to decorate a tree.","Generally, a christmas ornaments should be decorated."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",reflector,"Typically, a reflector can consist of an array of individual reflectors.",Reflectors can be used to reflect the light.,sector,"Generally, sectors are classified according to their level of economic development.","Typically, a sector can be used to refer to a particular market.",milkweed,"Typically, a milkweed has a flower.","Typically, a milkweed can be identified by its white, waxy leaves.",sermon,"Generally, sermons can be used to preach the Gospel.","Generally, sermons can be used to preach the gospel.",artichoke,Artichokes can be found in many parts of the world.,"Generally, an artichoke can be found growing in the wild."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",kettle,"Generally, kettles can be used to boil water.","Generally, kettles are used to cook food.",bookmark,Bookmarks can be found in your bookmarks folder.,Bookmarks can be attached to any page in your bookmarks bar.,emission,"Generally, emissions have declined in the past.","Typically, an emission has to occur at a specific time.",giver,"Generally, a giver can be used to give something to someone else.","Generally, givers are predisposed to being generous.",constrictor,Constrictor can be found in the wild.,"Typically, a constrictor produces its bite by constricting prey."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",conveyer,Conveyers are used to move items from one place to another.,"Generally, a conveyer is a conveyor.",entertainer,"Typically, an entertainer produces his or her own music.",Entertainers may have to pay a fee to perform.,inference,"Generally, inferences are made based on a person's past behavior.","Generally, inferences should be drawn.",melatonin,"Typically, melatonin may be used in combination with other drugs to treat insomnia.","Generally, melatonin has been used to treat sleep disorders.",multicellular organism,Multicellular organisms are able to adapt to changes.,Multicellular organisms can be distinguished from each other by their morphology.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",carcinoma,"Typically, a carcinoma should be treated with surgery.","Typically, a carcinoma produces its own growth.",porcupine,"Generally, a porcupine should be left alone.",Porcupines are smaller than the average pig.,commuter,Commuters are being urged to use public transport if possible.,Commuters may have to wait.,meteorology,Meteorology are all about the weather.,Meteorology is an important part of weather forecasting.,archer,"Generally, an archer should be able to shoot a bow.","Generally, an archer is a person who shoots arrows."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",commuter,Commuters are being urged to use public transport if possible.,"Generally, a commuter is someone who drives to work.",rowboat,"Generally, a rowboat should be able to float.","Typically, a rowboat produces enough power to propel a small boat.",bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes should only be worn by women.",sermon,"Generally, sermons can be used to preach the Gospel.","Generally, a sermon can be considered to be a public speech.",polo shirt,"Typically, a polo shirt has a button.","Generally, a polo shirt is worn with a tie."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",account,"Typically, an account may have a single user.","Generally, an account can consist of several different types of data.",hours,"During rush hours, you can take the train to the city centre.","During business hours, you can make an appointment to speak with an attorney.",patio,"Generally, patios can be considered to be part of the landscape.","Typically, patios are used to provide shade during the day.",time,"Generally, a time may be deemed to have passed if an employee's employment relationship with an employer terminates.","Generally, a time can be composed of any number of minutes, hours, days, months, years, etc.",mountain,"Generally, a mountain can be considered to be a large hill.","Generally, a mountain can consist of many different kinds of terrain."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",other organism,"Generally, other organisms may be able to adapt.","Generally, other organisms should be able to adapt.",constrictor,Constrictor can be found in the wild.,Constrictors have been known to kill their prey with a single bite.,colander,"Generally, a colander can be made of any material.","Generally, a colander can be considered to be a large, flat metal container.",carnival,"Generally, a carnival is a celebration.","Typically, a carnival may have a theme.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy produces symptoms that vary from mild to severe.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",kohlrabi,"Typically, a kohlrabi has a greenish color.","Typically, a kohlrabi can take up to a year to grow to maturity.",meteorology,Meteorology are all about the weather.,Meteorology has always been a science.,graveyard,"Generally, graveyards can be viewed.","Typically, graveyards produce large amounts of ash.",kingdom,"Generally, a kingdom may be ruled by a king, queen, prince, princess, count, baron, earl, viscount","Typically, a kingdom may have a king, queen, princes, princesses, etc.",walking stick,"Generally, a walking stick can consist of a stick.","Generally, a walking stick can be considered to be a hand tool."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",patio,"Generally, patios can be considered to be part of the landscape.","Typically, patios can be found in residential areas, but can also be found on commercial properties.",lung cancer,"Generally, lung cancer is treated with surgery, radiation, chemotherapy, or both.","Typically, a lung cancer may have metastasized.",contribution,Contributions can be given.,"Contributions are gratefully accepted, but we cannot make any express or implied warranties.",bear,"Generally, a bear can be found in any forest.","Generally, bears are predisposed to hibernate during winter.",progress,"Generally, progress can be slow.","Generally, progress can consist of several steps."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",knight,Knights can be made of any material.,Knights are known for their bravery.,artichoke,Artichokes can be found in many parts of the world.,Artichokes are an excellent source of vitamin C.,imposter,"Typically, an imposter can be spotted.","Typically, an imposter produces a fake identity to gain access to sensitive information.",freshwater crocodile,Freshwater crocodiles should be considered a protected species.,Freshwater crocodiles may have evolved to eat fish.,attacker,"Typically, attackers have to compromise a user's device.","Typically, attackers are able to exploit vulnerabilities."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",constrictor,Constrictor can be found in the wild.,Constrictors have been bred for centuries to kill.,ottoman,Ottomans have always been a nation.,"Typically, an ottoman can be attached to a wall, table, etc.",onions,"Generally, onions are used to add flavor.","Generally, onions are eaten raw.",pistachios,"Generally, pistachios have a sweet, nutty flavour.","Generally, pistachios should be kept in the refrigerator.",measuring cup,"Typically, a measuring cup may have an outer surface.","Typically, a measuring cup is used for measuring."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",dance floor,"Generally, a dance floor can be made of any material, including wood.","Generally, a dance floor can be used to create a dance.",piano stool,"Generally, a piano stool can be made of many different materials.","Typically, a piano stool can be removed from a piano to be replaced with another.",sailor,"Generally, a sailor can consist of any number of crewmen.","Typically, a sailor may be assigned to a ship's crew.",mast,"Typically, masts can be fastened to the hull.","Generally, masts can be found in many different sizes.",multicellular organism,Multicellular organisms are able to adapt to changes.,Multicellular organisms are able to adapt to changes in their environment.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",meteorology,Meteorology are all about the weather.,Meteorology can be a science.,brussels sprouts,"Typically, brussels sprouts are cooked until tender.","Typically, brussels sprouts are eaten raw.",abrasion,"Typically, an abrasion may have been caused by a sharp object.","Typically, an abrasion may be caused by an impact with a hard object.",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.","Generally, a lowers cholesterol levels are better than a higher cholesterol levels.",dough,"Generally, doughs can be made of any combination of flour, water.","Generally, doughs are knead."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mover,"Generally, a mover can be made of any material that can be moved.","Generally, a mover can be made of any material.",progress,"Generally, progress can be slow.","Generally, progress may have been slow, but it was steady.",chair,"Generally, chairs have a back.","Generally, a chair can be used to sit down, but it can also be used standing.",water vapour,"Generally, water vapour can be used to cool a building.","Generally, water vapour can be seen in the atmosphere.",crusher,"Typically, a crusher can be made of steel or aluminum.","Typically, a crusher can be made of wood, metal, plastic, or ceramic."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",playroom,"Generally, playrooms have been built.","Generally, playrooms are designed to be used by children of all ages.",laugh,"Generally, a laugh can be found in almost any story.","Generally, a laugh can be attached to just about any situation.",chair,"Generally, chairs have a back.","Generally, a chair can be considered to be part of the furniture.",sheath,"Generally, a sheath is used to protect the blade from damage.","Typically, a sheath can be found on a sword.",costume,Costumes can be found in the wardrobe.,"Generally, a costume may be made of any material."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",freshwater crocodile,Freshwater crocodiles should be considered a protected species.,Freshwater crocodiles are found throughout the world's tropical regions.,germ,"Generally, a germs can consist of bacteria, viruses, fungi, protozoa, arthropods, etc.","Germs can be made of bacteria, viruses, fungi, protozoa, or other microorganisms.",laugh,"Generally, a laugh can be found in almost any story.","Generally, a laugh can be used to show that you are amused.",trench coat,"Typically, a trench coat may be worn with a blouse.","Typically, trench coats have a collar.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy have been reported in the literature.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",skier,"Generally, skiers are predisposed to falling over.","Generally, skiers have the right to ski.",commuter,Commuters are being urged to use public transport if possible.,"Generally, a commuter can consist of any person.",deck chair,"Typically, deck chairs are designed to be used in a seated position.","Typically, a deck chair can be found.",piano stool,"Generally, a piano stool can be made of many different materials.","Generally, a piano stool can be made of wood, plastic, or metal.",oasis,"Generally, an oasis can be used to create a safe haven.","Generally, an oasis can consist of several different types of water."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",onions,"Generally, onions are used to add flavor.","Generally, onions should be cooked until soft.",idol,"Generally, an idol can consist of any number of objects.","Generally, an idol can be considered to be a person who is worshipped by people.",locker room,"Generally, locker rooms are segregated by gender.","Generally, a locker room should be open to all.",mast,"Typically, masts can be fastened to the hull.","Typically, masts are attached to the ship's hull.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, herbivorous animals have to eat a lot to get enough calories."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",kohlrabi,"Typically, a kohlrabi has a greenish color.","Generally, a kohlrabi may be eaten raw.",interference,"Generally, interferences have to do with something.","Interference may be committed by any person, or by any combination.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Generally, an offspring should be able to survive.",baseball player,"Generally, a baseball player should be able to hit a curveball.","Generally, a baseball player has to be able to hit.",llamas,"Generally, llamas have been domesticated.","Generally, llamas are raised for their meat."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",carcinoma,"Typically, a carcinoma should be treated with surgery.","Typically, carcinomas are slow growing.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring may be born with one or both parents.",nurse,"Generally, a nurse can be found in any hospital in the country.","Generally, a nurse can be composed of any number of individuals.",constrictor,Constrictor can be found in the wild.,"Typically, a constrictor produces a single bite.",stand,"Generally, a stand has two main components.","Typically, a stand can be made of wood or metal."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",sibling,"Generally, siblings are expected to help one another.","Generally, siblings have very different personalities.",piano stool,"Generally, a piano stool can be made of many different materials.","Generally, a piano stool can be considered to be part of the piano.",oasis,"Generally, an oasis can be used to create a safe haven.","Typically, an oasis may be a place where people gather.",pickle,"Typically, pickles have a sweet, tangy taste.","Generally, a pickle can be made of several different types of pickles.",baseball player,"Generally, a baseball player should be able to hit a curveball.","Typically, a baseball player may have a career."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes are made of synthetic materials.",living room,"Generally, a living room can be used for several purposes.","Generally, a living room is where you sit.",entertainer,"Typically, an entertainer produces his or her own music.","Typically, an entertainer produces his or her own content.",petal,"Generally, a petal can be considered to be part of a flower's petals.",Petals can be found in many different colors.,horoscope,"Generally, horoscopes can be found in books, newspapers, magazines, or online.","Generally, horoscopes can be found in newspapers, magazines, books, or online."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",shower curtain,"Generally, a shower curtain can be made from any material.","Generally, a shower curtain should be installed in the shower area.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, a herbivorous animal should be able to feed itself.",can,"Generally, cans are used to store, transport, or serve food.","Generally, cans are used to store, transport, or refrigerate food.",chalice,"Generally, a chalice can be made of silver, gold, or copper.","Generally, a chalice can be made of any type of material.",ink pen,"Generally, an ink pen can be considered to be a writing instrument which is used to write.","Typically, an ink pen can consist of a reservoir filled with ink."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",archer,"Generally, an archer should be able to shoot a bow.","Generally, an archer is a person who uses bows.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles can be considered to be part of the kitchen equipment.",yeast,"Typically, yeasts have the ability to metabolize alcohol.","Generally, a yeast can be considered to be a microorganism.",organic compound,"Generally, organic compounds are formed in the body.","Typically, an organic compound can be broken down by the body.",stand,"Generally, a stand has two main components.","Generally, a stand may be used to hold a piece."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",can,"Generally, cans are used to store, transport, or serve food.","Typically, a can may be filled with water.",living room,"Generally, a living room can be used for several purposes.","Typically, a living room may have a TV, DVD player, VCR, stereo system, etc.",yodel,"Generally, a yodel can be composed of a single note.","Generally, a yodel can be considered to be a musical instrument.",kingdom,"Generally, a kingdom may be ruled by a king, queen, prince, princess, count, baron, earl, viscount","Generally, a kingdom can only have one King.",stimulation,Stimulation can also be induced.,"Typically, stimulations are used to increase blood flow to the brain."
