Title,Description,Keywords,event0,event1,event2,Answer.q1-obj-use1,Answer.q1-obj-use2,Answer.q1-obj-use3,Answer.q1-obj-use4,Answer.q1-obj1,Answer.q1-obj2,Answer.q1-obj3,Answer.q1-obj4,Answer.q2-obj-use1,Answer.q2-obj-use2,Answer.q2-obj-use3,Answer.q2-obj-use4,Answer.q2-obj1,Answer.q2-obj2,Answer.q2-obj3,Answer.q2-obj4,Answer.q3-obj-use1,Answer.q3-obj-use2,Answer.q3-obj-use3,Answer.q3-obj-use4,Answer.q3-obj1,Answer.q3-obj2,Answer.q3-obj3,Answer.q3-obj4,Answer.req-obj1-na,Answer.req-obj1-sense,Answer.req-obj2-na,Answer.req-obj2-sense,Answer.req-obj3-na,Answer.req-obj3-sense
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX finds pictures in PersonX's room,PersonX adapts the table to the needs,PersonX covers PersonX's books with PersonX's hands,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX throws cards to the winds,PersonX takes into consideration the wall,PersonX ties the shoelaces together,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX avoids dogs much,PersonX makes pizza in terms,PersonX replaces cards with ones,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},play with,{},{},{},playing cards,{},{},{},0.0,1,,0,1.0,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX brings grapes back home,PersonX left the puzzle together,PersonX settles the contract peacefully,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,,0,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX uses a phone anymore,PersonX prevents the picture from falling,PersonX prepares another basket,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX reduces the temperature to levels,PersonX takes a bus to the dog park,PersonX sees cars on television,decrease temperature setting,open to receive air flow,{},{},thermostat,window,{},{},pay for fare,pay for bus,{},{},money,debit card,{},{},plug in television,to switch on electricity for power,{},{},outlet,circuit breaker,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives motorcycle a speeding ticket,PersonX keeps PersonX's papers in order,PersonX holds the job for years,write ticket,run plate,{},{},pen,computer,{},{},separate papers,organize papers,{},{},folder,filing cabinet,{},{},{},{},{},{},{},{},{},{},1.0,1,,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX meets the country 's charter,PersonX abandons the puzzle altogether,PersonX finds a hat elsewhere,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX flies around city,PersonX splashes water on PersonX's face,PersonX lays a finger on the table,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,,0,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX soon found road,PersonX gets the parts together,PersonX plugs blender back,find road,use GPS to find road,{},{},map,cellphone,{},{},adhere parts,tie parts together,{},{},glue,rope,{},{},to receive plug,enable electricity,{},{},outlet,breaker switch,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes into account the cave,PersonX cooks pork on the grill,PersonX writes a book on the subject,{},{},{},{},{},{},{},{},cook pork,cook pork,{},{},ingreidients,lighter,{},{},{},{},{},{},{},{},{},{},0.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX publishes diaries in cooperation,PersonX places a shall on PersonY's shoulder,PersonX takes a teddy bear to disney world,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX uses mop in a way,PersonX pulls blankets closer to PersonY,PersonX finds money under PersonY's bed,mix cleaning solution,dilute the liquid,{},{},bucket,water,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX serves dogs well,PersonX brings calculator to class,PersonX protects the phone from the effects,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX sprays paint chair,PersonX feels the heart in PersonY's chest,PersonX uses PersonY's phone to obtain,spray paint,put on the chair,{},{},chair,spray paint,{},{},house a heart,feel in PersonY,{},{},PersonY,heart,{},{},{},{},{},{},{},{},{},{},1.0,1,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX rides ponies together,PersonX finds roses that PersonY liked,PersonX shakes PersonX's shoulders sadly,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0,0.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX swings through trees,PersonX happily accepted contract,PersonX suggests another taxi,swing from,swing to,{},{},vine,tree,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX uses the blender for purposes,PersonX enters pie eating contest,PersonX brings the book back,use for purposes,place in the blender,{},{},blender,items,{},{},{},{},{},{},{},{},{},{},bring back,bring the book back to,{},{},book,place,{},{},1.0,1,0.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX drives a motorcycle on the highway,PersonX joins the king 's army,PersonX studies the book in detail,drive the motorcycle,prevent lawsuits from driving accidents,{},{},driver's license,vehicle insurance,{},{},fight enemies,protect the body from harm during war,{},{},sword,armor,{},{},to study from,to take notes from the book,{},{},book,notebook,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX rents apartment instead,PersonX spends coins abroad,PersonX puts the car back,pay for rent,uphold the agreement,{},{},money,contract,{},{},travel out of country,spend abroad,{},{},passport,money,{},{},{},{},{},{},{},{},{},{},1.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts the bike in motion,PersonX drinks another juice,PersonX teaches Pull ups skills,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,,0,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX plays a butterfly in shaping,PersonX eliminates every spider,PersonX gives food to others,{},{},{},{},{},{},{},{},kill the insects,remove all the insects,{},{},weapons,a plan,{},{},place the goods on,give the goods to,{},{},a table,people,{},{},,0,1.0,1,1.0,1
