Title,Description,Keywords,Event,xAttr_1,xAttr_2,xAttr_3,xAttr_4,xAttr_5,xAttr_6,xAttr_7,xAttr_8,xAttr_9,xAttr_10,xReact_1,xReact_2,xReact_3,xReact_4,xReact_5,xReact_6,xReact_7,xReact_8,xReact_9,xReact_10,oReact_1,oReact_2,oReact_3,oReact_4,oReact_5,oReact_6,oReact_7,oReact_8,oReact_9,oReact_10
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets to the point,slow,natural,inconclusive,flat,procrastinating,slow,faint,indefinite,tasteless,hesitant,not certain.,enforce,not successful.,"not determined, in a rush, possibly irritated",//,//,//,//,//,//,not informed.,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX breaks the screen,familiar,responsible,alert,native,normal,tactful,dutiful,discreet,vigilant,circumspect,fall_short_of,not regret,jealous,well-intentioned,sane,queasy,innocent,grouchy,dissatisfy,unsatisfied,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX improves PersonX's status,not strong-willed,nonchalant,insensitive,incompetent,unsure,helpless,unpatriotic,disloyal,undedicated,green,jealous,clumsy,incompetent,not snobby,inexpert,queasy,sneering,untalented,grouchy,fall_short_of,ungrateful,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drops a dime,methodical,circumspect,watchful,careful,deft,glorious,methodical,guarded,not absentminded,fussy,pleased,stupendous,gratified,awesome,enforce,lovely,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX breaks the window,handy,guarded,dextrous,circumspect,meticulous,vigilant,adept,vigilant,accomplished,deft,pleased,better,jolly,hilarious,happy,radiant,tranquil,goodness,jubilant,good,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets up with the chickens,weary,rested,unfit,evasive,not early bird,not early riser,unwilling,animated,energetic,limp,grieving,miserable,incompetent,prickly,irascible,unable,upset,petulant,moody,remorseful,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves PersonY's book,recalling,retentive,wide-eyed,foolish,mindful,remembering,idiotic,not a bookworm,dutiful,attentive,enforce,not happy to help a friend,not satisified,//,//,//,//,//,//,//,thankless,ungrateful,not grateful for the favor,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX improves PersonY's condition,ghastly,gruesome,burdensome,appalling,lethal,unhelpful,dismal,frightening,sneering,unsupportive,lethal,inept,sad,remorseful,inexpert,untalented,unskilled,humble,glum,not happy for persony,upset,morose,miserable,churlish,pitiful,blue,pessimistic,despairing,not grateful to personx,plaintive
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets very dark,not maudlin,nonviolent,luminous,gentle,tranquil,soothing,assured,specific,better,glaring,cheerful,melancholy,unfunny,unhappy,joyful,serious,unamusing,happy,bright,funny,bored,depressed,not appalled,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves PersonY's home,unsociable,hateful,repulsive,freezing,not visiting,hostile,quarrelsome,appalling,obnoxious,hideous,not glad to be home.,rested,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drops the box,dextrous,lithe,accomplished,adept,easy-going,nimble,deft,deft,handy,not absent minded,nonchalant,lighthearted,gleeful,jolly,lithe,accomplished,gleeful,overjoyed,graceful,joyful,happy-go-lucky,not alarmed,carefree,lighthearted,gleeful,unangry,jolly,reassure,nonchalant,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX improves PersonY's status,belligerent,icy,hostile,condescending,appalling,unhelpful,obnoxious,lethal,unfriendly,frigid,sulky,upset,hideous,enraged,irascible,livid,grouchy,melancholy,dismal,plaintive,unsupported,abandoned,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets very tired,masculine,portly,stout,unexhausted,stocky,steel,invigorated,invigorated,muscular,beefy,animated,energetic,lively,not more energetic,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonX's output,green,rusty,unskilled,helpless,unsure,undetermined,not driven,incompetent,deserted,arid,incapable,untalented,grouchy,unable,jealous,not like they did a good job,dissatisfy,inept,incompetent,powerless,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves PersonY's side,incurious,intrigued,bewitched,not fleeing,curious,subservient,not self-seeking,eager,dependent,subordinate,ringed,enforce,blame,lodge,grounded,block,condemned,bound,unfree,freeze,incurious,indifferent,not rejected,uninterested,disinterested,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brews PersonX's own beer,purposeless,nonsensical,daft,idiotic,dopey,stupid,unintelligent,not self-sufficient,silly,not homesteading,dissatisfy,glum,unable,negligible,cranky,hungry,cantankerous,grouchy,dismal,livid,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX earns PersonX's livelihood,undedicated,unsuccessful,lost,not deserving,lazy,//,//,//,//,//,babyish,"not also happy, satisfied",dependent,infantile,unfledged,subordinate,incapable,unable,dissatisfy,inept,uncertain,unsure,negative,indefinite,neutral,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings PersonX's kids,insensitive,spiteful,selfish,irresponsible,burdensome,unreliable,thrifty,miserly,greedy,insensitive,calm,serene,bored,staid,tranquil,subdued,grave,stifle,sedate,unexcited,irascible,anxious,wrathful,irritable,gloomy,unhappy,cantankerous,serene,cranky,glum
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonX's rate,weak,feeble,not challenging,puny,patient,limp,wiggly,defenseless,shaky,easy-going,not they were able to achieve their goal.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX earns extra money,irresponsible,unreliable,not hard working,reckless,undedicated,unambitious,//,//,//,//,unhappy,sulky,crabby,gloomy,irascible,glum,gruesome,grouchy,subdued,melancholy,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves at home,babyish,retentive,recalling,unfledged,mindful,childlike,self-reliant,green,independent,undetermined,stifle,unexcited,serene,tranquil,grave,subdued,bored,staid,calm,sedate,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonX enough rope,avaricious,stingy,starve,mistrust,miserly,distrustful,mean,frugal,selfish,spiteful,petulant,grieving,miserable,crabby,grouchy,grumpy,surly,sad,anxious,melancholy,not manipulated,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonY's output,unenterprising,uninventive,uninspired,unimaginative,reckless,untalented,unfruitful,uncreative,undetermined,incompetent,unsatisfied,fall_short_of,grouchy,dissatisfy,jealous,queasy,//,//,//,//,gruesome,moody,livid,hideous,sad,blue,gloomy,grouchy,miserable,mad
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY PersonY's number,disgusted,uninterested,bored,irresponsible,betraying,mistrust,unpatriotic,unreliable,doubtful,reckless,miserable,unhappy,enraged,querulous,grumpy,remorseful,surly,morose,bad,upset,tranquil,calm,bored,staid,sedate,grave,subdued,unexcited,serene,stifle
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings PersonY with PersonZ,frigid,icy,icy,severe,quarrelsome,hostile,demure,appalling,staid,spiteful,mundane,sullen,unfriendly,dismal,unsociable,spiteful,obnoxious,hideous,burdensome,ordinary,remorseful,gloomy,petty,irascible,irritable,anxious,grumpy,prickly,subdued,queasy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves early,not pressed for time,vacant,motionless,rested,idle,slothful,lazy,not in a rush,//,//,enforce,unobligated,coarse,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a bloody nose,not a bully,impassive,calm,generous,apathetic,nonchalant,cerebral,generous,nonviolent,dull,unsatisfied,gentle,incompetent,dissatisfy,grouchy,unskilled,tranquil,jealous,queasy,incapable,agreeable,be_well,be_well,unangry,not pained,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX earns some extra money,unsure,foolhardy,cautious,nonchalant,careless,idiotic,timid,afraid,rash,daring,dismal,surly,clumsy,irritable,anguished,unable,sad,blue,glum,plaintive,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings PersonY's kids,lethal,burdensome,miserly,greedy,not sharing,not fun-loving,ungenerous,avaricious,stingy,measly,hideous,cranky,mad,not feels good,melancholy,miserable,sore,anguished,upset,grouchy,blue,thankless,anxious,petulant,cranky,anguished,cantankerous,morose,livid,gruesome
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves early in the morning,unenthusiastic,unsure,idle,indolent,not morning person,lackadaisical,unconcerned,unproductive,undetermined,slack,not he was perfectly kept the time,not relieed,not rushed,rested,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a glance,sullen,disinterested,unguarded,arrogant,pushy,indifferent,impetuous,ornery,disinterested,hot-headed,desperate,not sly,unfearful,woeful,tranqil,composed,cool,discouraged,gloomy,unconcerned,confident,unabashed,unshy,not self conscious,daring,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonY's rate,unselfish,generous,ample,generous,unselfish,benevolent,philanthropic,bored,charitable,charitable,enraged,wrathful,grouchy,irate,disgusted,displeased,sore,displease,annoyed,upset,thankless,not differently.,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings owls to athens,shrewd,smart,accomplished,brainy,athletic,proficient,competent,vibrant,resourceful,diligent,burdensome,irritable,anxious,crabby,gruesome,spiteful,enraged,livid,blue,anguished,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonX's bread,remarkable,noteworthy,aberrant,noteworthy,excellent,grandiose,hefty,massive,creepy,fantastic,not less hungry.,dissatisfy,thin,hungry,grouchy,empty,fall_short_of,queasy,vacant,thin,tranquil,overjoyed,pleased,gleeful,happy,jolly,lighthearted,content,joyful,happy-go-lucky
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a heart,rash,quixotic,frigid,scornful,impetuous,greedy,daring,unguarded,harsh,crass,sane,not if personx gave a heart then he is dead,//,//,//,//,//,//,//,//,dauntless,thankless,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves food,old,experienced,careful,thrifty,discreet,mellow,meticulous,ripe,adult,dutiful,not sorry for wasting it,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves food out,vigilant,costly,dexterous,kind,careful,meticulous,thrifty,spotless,dapper,tidy,sullen,athletic,cruel,vicious,belligerent,active,loathsome,saucy,diligent,miserable,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonX's candy,benevolent,persnickety,shut,covert,not munching,big-hearted,insidious,private,barricaded,abstemious,wrathful,grumpy,anguished,anxious,grieving,gruesome,wrathful,surly,sad,vacant,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves for home,rested,apathetic,reckless,unexcited,disruptive,peaceful,calm,irresponsible,morose,unreliable,crabby,enraged,unhappy,grouchy,dismal,sad,mad,querulous,miserable,moody,not delight,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases at PersonY rate,unproductive,helpless,slack,idle,inactive,powerless,lost,lethargic,indolent,incompetent,stupid,idiotic,dopey,silly,unintelligent,daft,nonsensical,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonX's cereal,unsatisfied,not starved,fall_short_of,stuffed,thirsty,unfeasible,irrational,unrealistic,ideal,not routine,queasy,empty,jealous,queasy,blank,fall_short_of,fall_short_of,dissatisfy,unsatisfied,thin,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a number,burdensome,icky,uninformed,unhelpful,nasty,sardonic,biting,spiteful,belligerent,bleak,not expectant,irritable,mad,wrathful,anxious,subdued,gloomy,querulous,hideous,jealous,unhappy,aloof,churlish,discontented,blue,remorseful,surly,discontent,glum,anxious
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves home,cautious,afraid,inhabited,sociable,scared,meek,populated,frightened,cowardly,timid,staid,unadventurous,unprepared,not confident.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings the kids,unhelpful,childish,heedless,unguarded,burdensome,hot-headed,babyish,not older,selfish,motherly,nonchalant,bashful,shaky,insensitive,irresponsible,unreliable,diffident,reckless,wobbly,unsure,thankless,fall_short_of,queasy,ungrateful,grouchy,unsafe,dangerous,unsatisfied,jealous,unloved
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX inherits from PersonX's mother,muffled,cursed,ill-fated,moronic,foolish,not entrusted,destitute,daft,rude,corny,surly,irate,miserable,remorseful,grouchy,unhappy,upset,prickly,melancholy,sulky,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonY dinner,sensible,unreceptive,covert,calm,close,unconcerned,fall_short_of,unsatisfied,unselfish,incurious,unsatisfied,unsatisfied,empty,not fulfilled.,dissatisfy,grouchy,jealous,queasy,hungry,grouchy,not like they were used.,happy,lighthearted,pleased,overjoyed,pleased,gratified,not badly as they're hungry and their food was taken.,joyful,happy-go-lucky
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves quickly,cautious,thoughtful,composed,calm,deliberate,considering,unashamed,planned,better,rested,happy,composed,calm,cool,assured,unworried,confident,unconcerned,content,enforce,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX injures PersonX's leg,guarded,alert,meticulous,fussy,tactful,vigilant,alert,watchful,circumspect,methodical,not pain,be_well,not pained,not bad pain,not regret,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a pep talk,exhale,uninspiring,undedicated,discourage,crushing,bleak,grim,scary,woeful,not fired up,not like they helped persony,unsupportive,//,//,//,//,//,//,//,//,abandoned,unsupported,not cared for,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves the building,civil,deferential,upset,patient,indecisive,inconclusive,restless,irresolute,unangry,respectful,not eager to be somewhere else,unstressed,flustered,enforce,tense,not mobile?,restless,rested,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX injures PersonY's leg,watchful,guarded,alert,methodical,meticulous,vigilant,handy,not harmed,careful,nimble,pleased,unregretful,joyful,best,good,happy,lighthearted,content,better,delightful,be_well,be_well,be_well,uninjured,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings the kids with PersonY,not parent,unguarded,nonchalant,unburdened,nonchalant,impulsive,not guardian,impetuous,reckless,superficial,irate,melancholy,wrathful,dismal,unhappy,miserable,sulky,upset,moody,cranky,incautious,shaky,bored,careless,unguarded,depressed,rash,bold,extroverted,insecure
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX inspires PersonY with confidence,unmoving,not inspirational,exhale,ghastly,dismal,not personx inspires the blind man with confidence,frightening,gruesome,hideous,not personx inspires the children with confidence,not hopeful it will work,not happy to help,not excited to help,not like a good friend,//,//,//,//,//,//,weary,weary,not more confident,exhausted,not more inspired,limp,exhausted,limp,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves the food,not strong-willed,thin,blank,blank,vacant,not satiated,thrifty,full,hungry,stuffed,thin,egoistic,not like he wasnt hungry,blank,burdensome,vacant,lethal,empty,spiteful,unhelpful,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX insults PersonY,sympathetic,agreeable,not offended,lovable,polite,pleasant,likeable,tactful,jovial,lovable,innocent,well-intentioned,well-intentioned,unashamed,innocent,//,//,//,//,//,unangry,joyful,be_well,happy-go-lucky,overjoyed,pleased,happy,content,jolly,tranquil
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX broadens PersonY's horizons,uninfluential,silly,unintelligent,nearsighted,daft,ironclad,exhale,strict,insistent,not teaching,unhelpful,neutral,dissatisfy,uncertain,fall_short_of,worse,demonic,evil,grouchy,jealous,grumpy,irritable,prickly,petulant,melancholy,moody,sad,blue,indefinite,surly
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX browses the internet,excited,incurious,intrigued,disinterested,amused,interested,amused,excited,interest,interested,lively,fiery,soulful,impassioned,not good.,hearty,ardent,fervent,dashing,ecstatic,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonY's bread,ample,thirsty,charitable,benevolent,abstemious,amiable,generous,philanthropic,big-hearted,generous,miserable,bad,demonic,well-intentioned,unhappy,innocent,evil,serious,unamusing,melancholy,better,best,terrific,full,unregretful,goodness,unangry,sane,thirsty,stuffed
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX interferes in PersonY way,quiet,wanted,modest,unintrusive,extrusive,uninterested,not controlling,protrusive,not controlling,unassuming,not atrocious,not sorry for his act.,not sorowful,//,//,//,//,//,//,//,easy-going,not irritated,patient,publicized,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves the living room,stuffed,not venturing,aloof,thirsty,full,uninterested,not discovered,hungry,bored,not engaged,indolent,old,slothful,motionless,listless,second-hand,quiet,extinct,worn,ancient,not need for action,not more at ease,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a push,frigid,unsociable,not willful,severe,belligerent,tranquil,appalling,spiteful,gentle,quarrelsome,powerless,demonic,evil,weak,feeble,worst,worse,bad,sneering,miserable,not vengeful at personx,worst,miserable,not angry at personx,evil,bad,unhurried,sneering,worse,demonic
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves without PersonY,watchful,circumspect,considerate,remembering,careful,careful,methodical,sluggish,mindful,recalling,petulant,jocular,glad,hilarious,happy,lighthearted,cheerful,surly,gruesome,irate,jolly,tranquil,pleased,joyful,happy,lighthearted,happy-go-lucky,overjoyed,gleeful,content
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX bugs PersonY,pleasing,pleasant,amusing,nimble,pleasing,soothe,agreeable,amusing,agreeable,lithe,agreeable,pleasing,pleasant,amusing,humorless,virtuous,//,//,//,//,gratified,unangry,gratified,pleased,pleased,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX interrupts PersonY,considerate,meticulous,careful,civil,deferential,well-behaved,polite,respectful,not malevolent,tactful,not irritated,wide-eyed,gullible,ignorant,inexperienced,gratified,pleased,not heard,//,//,unangry,gratified,pleased,pleased,not offended,gratified,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lectures PersonY,stupid,idiotic,gracious,dopey,amiable,modest,noncritical,muffled,respectful,meek,unangry,jolly,not knoweldgable,gleeful,nonchalant,happy-go-lucky,carefree,reassure,lighthearted,//,kind,happy,unresentful,glad,remorseless,joyful,not annoyed but appreciative,unmerciful,merciless,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonY's candy,big-hearted,generous,benevolent,polite,big-hearted,deferential,polite,discreet,meticulous,benevolent,better,polite,terrific,starve,not mischevious,goodness,superb,forthright,well-behaved,candid,jocular,jaunty,lighthearted,merry,radiant,glad,jolly,unforgiving,happy,joyful
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX invites PersonY,superficial,repulsive,cautious,hateful,thoughtless,not y,hot-headed,impulsive,stupid,impolite,wrathful,calm,sedate,grouchy,dismal,queasy,hideous,irritable,not like a good person,exclusive,not included,unwanted,not appreciated,disliked,not taken into consideration,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a sense,nonchalant,unhelpful,not (?),not (?),disruptive,uninformative,burdensome,spiteful,lethal,insensitive,not feeling very happy,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX builds PersonY church,inconvenient,not contributing,bungling,not demented,unavailable,decayed,clumsy,purposeless,agreeable,unhandy,plaintive,sore,irate,anguished,dismal,queasy,melancholy,gruesome,irritable,gloomy,ungrateful,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX invites PersonY to join,loathsome,icy,harsh,unfriendly,frigid,dismal,vicious,resentful,belligerent,unsociable,evil,cranky,irascible,sad,morose,crabby,grumpy,querulous,gruesome,melancholy,not included,worst,demonic,worse,sneering,not enjoy,bad,evil,miserable,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX left PersonY behind,guarded,polite,polite,affectionate,methodical,kind,mushy,cheerful,cordial,velvety,not solitute,//,//,//,//,//,//,//,//,//,merry,joyful,jocular,jubilant,jaunty,lighthearted,glad,radiant,gleeful,rosy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX builds PersonY system,bewildered,untalented,quizzical,disrespectful,flippant,saucy,incompetent,discourteous,moronic,stupid,grouchy,unsatisfied,fall_short_of,jealous,queasy,dissatisfy,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a shock,not sinister,amiable,not sily,respectful,generous,not abusive,//,//,//,//,not happy and satisfied,grouchy,unashamed,fall_short_of,queasy,dissatisfy,unsatisfied,jealous,//,//,not pain and worried,calm,unangry,brave,dauntless,not very happy,unafraid,assured,bold,courageous
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a special gift,hateful,quarrelsome,saucy,ornery,sullen,severe,freezing,not appreciative,unsociable,miserly,enraged,petulant,unhappy,morose,gloomy,churlish,melancholy,wrathful,anxious,cantankerous,depressed,disappointed,not appreciated,sorrowful,thankless,sad,upset,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX invites PersonY to join PersonZ,thrifty,vain,rational,splendid,supercilious,miserable,measly,usual,ordinary,smug,uncomfortable,anxious,unsociable,petulant,loathsome,unfriendly,severe,sardonic,remorseful,spiteful,sad,lonely,spiteful,sulky,irate,crabby,enraged,dismal,queasy,reclusive
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX left behind PersonY,jocular,elated,cordial,jubilant,glad,undetermined,overjoyed,jolly,radiant,delightful,not sad for leaving the person,not in power,not feeling better,//,//,//,//,//,//,//,cheerful,gleeful,happy,lighthearted,jaunty,rosy,adopted,radiant,jocular,restrained
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX builds bridges,shaky,feeble,lazy,puny,impotent,wobbly,limp,lackadaisical,wobbly,unproductive,melancholy,cranky,irritable,churlish,dismal,moody,crabby,sore,querulous,irate,miserable,glum,woeful,enforce,melancholy,sad,upset,remorseful,morose,sorrowful
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX builds things,uncreative,dopey,rusty,unimaginative,unfruitful,muffled,barren,untalented,dense,unskilled,diffident,not expressive,unsure,shy,humble,hesitant,doubtful,not a sense of accomplishment,timid,anxious,stifle,calm,subdued,tranquil,staid,sedate,uninterested,unexcited,scornful,serene
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX invites PersonY to take,reclusive,sardonic,frosty,icy,cruel,impetuous,quarrelsome,ornery,freezing,hot-headed,not very happy,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
