Title,Description,Keywords,Event,xAttr_1,xAttr_2,xAttr_3,xAttr_4,xAttr_5,xAttr_6,xAttr_7,xAttr_8,xAttr_9,xAttr_10,xReact_1,xReact_2,xReact_3,xReact_4,xReact_5,xReact_6,xReact_7,xReact_8,xReact_9,xReact_10,oReact_1,oReact_2,oReact_3,oReact_4,oReact_5,oReact_6,oReact_7,oReact_8,oReact_9,oReact_10,Answer.how_common,Answer.how_common_opposite,Answer.opposite-event-answer
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drives under the influence,developed,right,correctly,good,fledged,terrific,brainy,thoughtful,crafty,experienced,sober,clear-thinking,not self-assured in their driving capabilities,clear,not guilty about it,steady,//,//,//,//,not alarmed that he's driving home drunk,not scared about it,//,//,//,//,//,//,//,//,1,1,Person X is sober.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX improves PersonX's grade,daft,unhelpful,daft,idiotic,corny,stupid,dopey,foolish,muffled,nonsensical,idiotic,dismal,subdued,anguished,jealous,grieving,sulky,unhappy,churlish,irate,wrathful,displease,upset,displeased,enraged,annoyed,irate,sore,grouchy,disgusted,1,1,PersonX lowers PersonX's grade.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves PersonY impression,courageous,usual,unimportant,bold,unimpressive,inconspicuous,dauntless,inconsequential,unimportant,sullen,grouchy,fall_short_of,dissatisfy,unsatisfied,jealous,queasy,//,//,//,//,//,//,//,//,//,//,//,//,//,//,0,1,PersonX gives PersonY an impression.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets to the point,slow,natural,inconclusive,flat,procrastinating,slow,faint,indefinite,tasteless,hesitant,not certain.,enforce,not successful.,"not determined, in a rush, possibly irritated",//,//,//,//,//,//,not informed.,//,//,//,//,//,//,//,//,//,0,0,personx takes their time
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX breaks the screen,familiar,responsible,alert,native,normal,tactful,dutiful,discreet,vigilant,circumspect,fall_short_of,not regret,jealous,well-intentioned,sane,queasy,innocent,grouchy,dissatisfy,unsatisfied,//,//,//,//,//,//,//,//,//,//,1,0,PersonX polishes their screen to look prisitine.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX improves PersonX's status,not strong-willed,nonchalant,insensitive,incompetent,unsure,helpless,unpatriotic,disloyal,undedicated,green,jealous,clumsy,incompetent,not snobby,inexpert,queasy,sneering,untalented,grouchy,fall_short_of,ungrateful,//,//,//,//,//,//,//,//,//,0,0,personx sullies personx's status
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drops a dime,methodical,circumspect,watchful,careful,deft,glorious,methodical,guarded,not absentminded,fussy,pleased,stupendous,gratified,awesome,enforce,lovely,//,//,//,//,//,//,//,//,//,//,//,//,//,//,0,0,PersonX keeps things secret
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX breaks the window,handy,guarded,dextrous,circumspect,meticulous,vigilant,adept,vigilant,accomplished,deft,pleased,better,jolly,hilarious,happy,radiant,tranquil,goodness,jubilant,good,//,//,//,//,//,//,//,//,//,//,-1,0,PersonX fixes the window
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets up with the chickens,weary,rested,unfit,evasive,not early bird,not early riser,unwilling,animated,energetic,limp,grieving,miserable,incompetent,prickly,irascible,unable,upset,petulant,moody,remorseful,//,//,//,//,//,//,//,//,//,//,-1,1,PersonX stays in bed late.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves PersonY's book,recalling,retentive,wide-eyed,foolish,mindful,remembering,idiotic,not a bookworm,dutiful,attentive,enforce,not happy to help a friend,not satisified,//,//,//,//,//,//,//,thankless,ungrateful,not grateful for the favor,//,//,//,//,//,//,//,1,1,PersonX takes PersonY's book
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX improves PersonY's condition,ghastly,gruesome,burdensome,appalling,lethal,unhelpful,dismal,frightening,sneering,unsupportive,lethal,inept,sad,remorseful,inexpert,untalented,unskilled,humble,glum,not happy for persony,upset,morose,miserable,churlish,pitiful,blue,pessimistic,despairing,not grateful to personx,plaintive,1,0,PersonX improves PersonY's style
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets very dark,not maudlin,nonviolent,luminous,gentle,tranquil,soothing,assured,specific,better,glaring,cheerful,melancholy,unfunny,unhappy,joyful,serious,unamusing,happy,bright,funny,bored,depressed,not appalled,//,//,//,//,//,//,//,0,1,PersonX gets very bright.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves PersonY's home,unsociable,hateful,repulsive,freezing,not visiting,hostile,quarrelsome,appalling,obnoxious,hideous,not glad to be home.,rested,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,0,PersonX buys PersonY's home
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drops the box,dextrous,lithe,accomplished,adept,easy-going,nimble,deft,deft,handy,not absent minded,nonchalant,lighthearted,gleeful,jolly,lithe,accomplished,gleeful,overjoyed,graceful,joyful,happy-go-lucky,not alarmed,carefree,lighthearted,gleeful,unangry,jolly,reassure,nonchalant,//,2,1,PersonX picks the box
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX improves PersonY's status,belligerent,icy,hostile,condescending,appalling,unhelpful,obnoxious,lethal,unfriendly,frigid,sulky,upset,hideous,enraged,irascible,livid,grouchy,melancholy,dismal,plaintive,unsupported,abandoned,//,//,//,//,//,//,//,//,2,2,PersonX takes down PersonY's status
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets very tired,masculine,portly,stout,unexhausted,stocky,steel,invigorated,invigorated,muscular,beefy,animated,energetic,lively,not more energetic,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,2,1,personx is full of energy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonX's output,green,rusty,unskilled,helpless,unsure,undetermined,not driven,incompetent,deserted,arid,incapable,untalented,grouchy,unable,jealous,not like they did a good job,dissatisfy,inept,incompetent,powerless,//,//,//,//,//,//,//,//,//,//,0,0,PersonX increases PersonX's input
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves PersonY's side,incurious,intrigued,bewitched,not fleeing,curious,subservient,not self-seeking,eager,dependent,subordinate,ringed,enforce,blame,lodge,grounded,block,condemned,bound,unfree,freeze,incurious,indifferent,not rejected,uninterested,disinterested,//,//,//,//,//,1,1,PersonX stays by PersonY's side
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brews PersonX's own beer,purposeless,nonsensical,daft,idiotic,dopey,stupid,unintelligent,not self-sufficient,silly,not homesteading,dissatisfy,glum,unable,negligible,cranky,hungry,cantankerous,grouchy,dismal,livid,//,//,//,//,//,//,//,//,//,//,1,1,PersonX buys PersonX's beer
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX earns PersonX's livelihood,undedicated,unsuccessful,lost,not deserving,lazy,//,//,//,//,//,babyish,"not also happy, satisfied",dependent,infantile,unfledged,subordinate,incapable,unable,dissatisfy,inept,uncertain,unsure,negative,indefinite,neutral,//,//,//,//,//,1,0,personx moochs off persony for their livelihood
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings PersonX's kids,insensitive,spiteful,selfish,irresponsible,burdensome,unreliable,thrifty,miserly,greedy,insensitive,calm,serene,bored,staid,tranquil,subdued,grave,stifle,sedate,unexcited,irascible,anxious,wrathful,irritable,gloomy,unhappy,cantankerous,serene,cranky,glum,1,1,PersonX brings PersonX's adults
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonX's rate,weak,feeble,not challenging,puny,patient,limp,wiggly,defenseless,shaky,easy-going,not they were able to achieve their goal.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX decreases PersonX's rate
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX earns extra money,irresponsible,unreliable,not hard working,reckless,undedicated,unambitious,//,//,//,//,unhappy,sulky,crabby,gloomy,irascible,glum,gruesome,grouchy,subdued,melancholy,//,//,//,//,//,//,//,//,//,//,0,0,PersonX takes extra vacation time
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves at home,babyish,retentive,recalling,unfledged,mindful,childlike,self-reliant,green,independent,undetermined,stifle,unexcited,serene,tranquil,grave,subdued,bored,staid,calm,sedate,//,//,//,//,//,//,//,//,//,//,0,0,PersonX arrives home.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonX enough rope,avaricious,stingy,starve,mistrust,miserly,distrustful,mean,frugal,selfish,spiteful,petulant,grieving,miserable,crabby,grouchy,grumpy,surly,sad,anxious,melancholy,not manipulated,//,//,//,//,//,//,//,//,//,1,1,PersonX gives PersonX enough yarn
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonY's output,unenterprising,uninventive,uninspired,unimaginative,reckless,untalented,unfruitful,uncreative,undetermined,incompetent,unsatisfied,fall_short_of,grouchy,dissatisfy,jealous,queasy,//,//,//,//,gruesome,moody,livid,hideous,sad,blue,gloomy,grouchy,miserable,mad,0,0,PersonX increases PersonY's stress
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY PersonY's number,disgusted,uninterested,bored,irresponsible,betraying,mistrust,unpatriotic,unreliable,doubtful,reckless,miserable,unhappy,enraged,querulous,grumpy,remorseful,surly,morose,bad,upset,tranquil,calm,bored,staid,sedate,grave,subdued,unexcited,serene,stifle,-1,0,PersonX gives PersonY PersonX's number.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings PersonY with PersonZ,frigid,icy,icy,severe,quarrelsome,hostile,demure,appalling,staid,spiteful,mundane,sullen,unfriendly,dismal,unsociable,spiteful,obnoxious,hideous,burdensome,ordinary,remorseful,gloomy,petty,irascible,irritable,anxious,grumpy,prickly,subdued,queasy,1,-1,PersonX kills PersonY with PersonZ
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves early,not pressed for time,vacant,motionless,rested,idle,slothful,lazy,not in a rush,//,//,enforce,unobligated,coarse,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX arrives home early.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a bloody nose,not a bully,impassive,calm,generous,apathetic,nonchalant,cerebral,generous,nonviolent,dull,unsatisfied,gentle,incompetent,dissatisfy,grouchy,unskilled,tranquil,jealous,queasy,incapable,agreeable,be_well,be_well,unangry,not pained,//,//,//,//,//,2,2,PersonX lets themselves be punched in the nose
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX earns some extra money,unsure,foolhardy,cautious,nonchalant,careless,idiotic,timid,afraid,rash,daring,dismal,surly,clumsy,irritable,anguished,unable,sad,blue,glum,plaintive,//,//,//,//,//,//,//,//,//,//,0,0,PersonX earns no money
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings PersonY's kids,lethal,burdensome,miserly,greedy,not sharing,not fun-loving,ungenerous,avaricious,stingy,measly,hideous,cranky,mad,not feels good,melancholy,miserable,sore,anguished,upset,grouchy,blue,thankless,anxious,petulant,cranky,anguished,cantankerous,morose,livid,gruesome,2,-1,PersonX brings PersonY's adults
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves early in the morning,unenthusiastic,unsure,idle,indolent,not morning person,lackadaisical,unconcerned,unproductive,undetermined,slack,not he was perfectly kept the time,not relieed,not rushed,rested,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX leaveslate in the evening.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a glance,sullen,disinterested,unguarded,arrogant,pushy,indifferent,impetuous,ornery,disinterested,hot-headed,desperate,not sly,unfearful,woeful,tranqil,composed,cool,discouraged,gloomy,unconcerned,confident,unabashed,unshy,not self conscious,daring,//,//,//,//,//,1,1,PersonX looks away from PersonY.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases PersonY's rate,unselfish,generous,ample,generous,unselfish,benevolent,philanthropic,bored,charitable,charitable,enraged,wrathful,grouchy,irate,disgusted,displeased,sore,displease,annoyed,upset,thankless,not differently.,//,//,//,//,//,//,//,//,0,1,PersonX works in a different department from PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings owls to athens,shrewd,smart,accomplished,brainy,athletic,proficient,competent,vibrant,resourceful,diligent,burdensome,irritable,anxious,crabby,gruesome,spiteful,enraged,livid,blue,anguished,//,//,//,//,//,//,//,//,//,//,1,1,PersonX takes owls to athens
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonX's bread,remarkable,noteworthy,aberrant,noteworthy,excellent,grandiose,hefty,massive,creepy,fantastic,not less hungry.,dissatisfy,thin,hungry,grouchy,empty,fall_short_of,queasy,vacant,thin,tranquil,overjoyed,pleased,gleeful,happy,jolly,lighthearted,content,joyful,happy-go-lucky,1,-1,Person X is on a no bread diet
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a heart,rash,quixotic,frigid,scornful,impetuous,greedy,daring,unguarded,harsh,crass,sane,not if personx gave a heart then he is dead,//,//,//,//,//,//,//,//,dauntless,thankless,//,//,//,//,//,//,//,//,-1,-1,PersonX gives PersonY a sad face.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves food,old,experienced,careful,thrifty,discreet,mellow,meticulous,ripe,adult,dutiful,not sorry for wasting it,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX takes food
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves food out,vigilant,costly,dexterous,kind,careful,meticulous,thrifty,spotless,dapper,tidy,sullen,athletic,cruel,vicious,belligerent,active,loathsome,saucy,diligent,miserable,//,//,//,//,//,//,//,//,//,//,1,1,PersonX puts food away.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonX's candy,benevolent,persnickety,shut,covert,not munching,big-hearted,insidious,private,barricaded,abstemious,wrathful,grumpy,anguished,anxious,grieving,gruesome,wrathful,surly,sad,vacant,//,//,//,//,//,//,//,//,//,//,1,1,PersonX throws away PersonX's candy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves for home,rested,apathetic,reckless,unexcited,disruptive,peaceful,calm,irresponsible,morose,unreliable,crabby,enraged,unhappy,grouchy,dismal,sad,mad,querulous,miserable,moody,not delight,//,//,//,//,//,//,//,//,//,1,1,PersonX leaves for work
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX increases at PersonY rate,unproductive,helpless,slack,idle,inactive,powerless,lost,lethargic,indolent,incompetent,stupid,idiotic,dopey,silly,unintelligent,daft,nonsensical,//,//,//,//,//,//,//,//,//,//,//,//,//,0,0,Person X decreases at Person Y rate.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonX's cereal,unsatisfied,not starved,fall_short_of,stuffed,thirsty,unfeasible,irrational,unrealistic,ideal,not routine,queasy,empty,jealous,queasy,blank,fall_short_of,fall_short_of,dissatisfy,unsatisfied,thin,//,//,//,//,//,//,//,//,//,//,1,1,PersonX eats PersonX's eggs
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a number,burdensome,icky,uninformed,unhelpful,nasty,sardonic,biting,spiteful,belligerent,bleak,not expectant,irritable,mad,wrathful,anxious,subdued,gloomy,querulous,hideous,jealous,unhappy,aloof,churlish,discontented,blue,remorseful,surly,discontent,glum,anxious,1,1,PersonX doesn't gives PersonY a number
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves home,cautious,afraid,inhabited,sociable,scared,meek,populated,frightened,cowardly,timid,staid,unadventurous,unprepared,not confident.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,Person X stays home
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings the kids,unhelpful,childish,heedless,unguarded,burdensome,hot-headed,babyish,not older,selfish,motherly,nonchalant,bashful,shaky,insensitive,irresponsible,unreliable,diffident,reckless,wobbly,unsure,thankless,fall_short_of,queasy,ungrateful,grouchy,unsafe,dangerous,unsatisfied,jealous,unloved,1,0,PersonX keeps the kids home
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX inherits from PersonX's mother,muffled,cursed,ill-fated,moronic,foolish,not entrusted,destitute,daft,rude,corny,surly,irate,miserable,remorseful,grouchy,unhappy,upset,prickly,melancholy,sulky,//,//,//,//,//,//,//,//,//,//,1,-1,personx is disowned by personx's mother
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonY dinner,sensible,unreceptive,covert,calm,close,unconcerned,fall_short_of,unsatisfied,unselfish,incurious,unsatisfied,unsatisfied,empty,not fulfilled.,dissatisfy,grouchy,jealous,queasy,hungry,grouchy,not like they were used.,happy,lighthearted,pleased,overjoyed,pleased,gratified,not badly as they're hungry and their food was taken.,joyful,happy-go-lucky,0,1,PersonX makes PersonY dinner
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves quickly,cautious,thoughtful,composed,calm,deliberate,considering,unashamed,planned,better,rested,happy,composed,calm,cool,assured,unworried,confident,unconcerned,content,enforce,//,//,//,//,//,//,//,//,//,//,0,0,Personx stays for a long time
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX injures PersonX's leg,guarded,alert,meticulous,fussy,tactful,vigilant,alert,watchful,circumspect,methodical,not pain,be_well,not pained,not bad pain,not regret,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,-1,1,PersonX massages PersonX's leg
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a pep talk,exhale,uninspiring,undedicated,discourage,crushing,bleak,grim,scary,woeful,not fired up,not like they helped persony,unsupportive,//,//,//,//,//,//,//,//,abandoned,unsupported,not cared for,//,//,//,//,//,//,//,1,0,PersonX chews Persony out
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves the building,civil,deferential,upset,patient,indecisive,inconclusive,restless,irresolute,unangry,respectful,not eager to be somewhere else,unstressed,flustered,enforce,tense,not mobile?,restless,rested,//,//,//,//,//,//,//,//,//,//,//,//,2,2,PersonX enters the building.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX injures PersonY's leg,watchful,guarded,alert,methodical,meticulous,vigilant,handy,not harmed,careful,nimble,pleased,unregretful,joyful,best,good,happy,lighthearted,content,better,delightful,be_well,be_well,be_well,uninjured,//,//,//,//,//,//,1,1,PersonX comforts PersonY.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX brings the kids with PersonY,not parent,unguarded,nonchalant,unburdened,nonchalant,impulsive,not guardian,impetuous,reckless,superficial,irate,melancholy,wrathful,dismal,unhappy,miserable,sulky,upset,moody,cranky,incautious,shaky,bored,careless,unguarded,depressed,rash,bold,extroverted,insecure,1,0,PersonX leaves the kids behind with PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX inspires PersonY with confidence,unmoving,not inspirational,exhale,ghastly,dismal,not personx inspires the blind man with confidence,frightening,gruesome,hideous,not personx inspires the children with confidence,not hopeful it will work,not happy to help,not excited to help,not like a good friend,//,//,//,//,//,//,weary,weary,not more confident,exhausted,not more inspired,limp,exhausted,limp,//,//,0,1,PersonX inspires PersonY with fear
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves the food,not strong-willed,thin,blank,blank,vacant,not satiated,thrifty,full,hungry,stuffed,thin,egoistic,not like he wasnt hungry,blank,burdensome,vacant,lethal,empty,spiteful,unhelpful,//,//,//,//,//,//,//,//,//,//,2,2,PersonX approaches the food
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX insults PersonY,sympathetic,agreeable,not offended,lovable,polite,pleasant,likeable,tactful,jovial,lovable,innocent,well-intentioned,well-intentioned,unashamed,innocent,//,//,//,//,//,unangry,joyful,be_well,happy-go-lucky,overjoyed,pleased,happy,content,jolly,tranquil,1,1,PersonX compliments PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX broadens PersonY's horizons,uninfluential,silly,unintelligent,nearsighted,daft,ironclad,exhale,strict,insistent,not teaching,unhelpful,neutral,dissatisfy,uncertain,fall_short_of,worse,demonic,evil,grouchy,jealous,grumpy,irritable,prickly,petulant,melancholy,moody,sad,blue,indefinite,surly,0,0,Person X is selfish.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX browses the internet,excited,incurious,intrigued,disinterested,amused,interested,amused,excited,interest,interested,lively,fiery,soulful,impassioned,not good.,hearty,ardent,fervent,dashing,ecstatic,//,//,//,//,//,//,//,//,//,//,1,0,PersonX browses the library
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonY's bread,ample,thirsty,charitable,benevolent,abstemious,amiable,generous,philanthropic,big-hearted,generous,miserable,bad,demonic,well-intentioned,unhappy,innocent,evil,serious,unamusing,melancholy,better,best,terrific,full,unregretful,goodness,unangry,sane,thirsty,stuffed,0,0,personx shares their bread with persony
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX interferes in PersonY way,quiet,wanted,modest,unintrusive,extrusive,uninterested,not controlling,protrusive,not controlling,unassuming,not atrocious,not sorry for his act.,not sorowful,//,//,//,//,//,//,//,easy-going,not irritated,patient,publicized,//,//,//,//,//,//,0,1,PersonX supports PersonY.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves the living room,stuffed,not venturing,aloof,thirsty,full,uninterested,not discovered,hungry,bored,not engaged,indolent,old,slothful,motionless,listless,second-hand,quiet,extinct,worn,ancient,not need for action,not more at ease,//,//,//,//,//,//,//,//,1,1,PersonX enters the living room
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a push,frigid,unsociable,not willful,severe,belligerent,tranquil,appalling,spiteful,gentle,quarrelsome,powerless,demonic,evil,weak,feeble,worst,worse,bad,sneering,miserable,not vengeful at personx,worst,miserable,not angry at personx,evil,bad,unhurried,sneering,worse,demonic,1,1,PersonX gives PersonY an invitation.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaves without PersonY,watchful,circumspect,considerate,remembering,careful,careful,methodical,sluggish,mindful,recalling,petulant,jocular,glad,hilarious,happy,lighthearted,cheerful,surly,gruesome,irate,jolly,tranquil,pleased,joyful,happy,lighthearted,happy-go-lucky,overjoyed,gleeful,content,0,1,PersonX waits for PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX bugs PersonY,pleasing,pleasant,amusing,nimble,pleasing,soothe,agreeable,amusing,agreeable,lithe,agreeable,pleasing,pleasant,amusing,humorless,virtuous,//,//,//,//,gratified,unangry,gratified,pleased,pleased,//,//,//,//,//,1,1,PersonX leaves PersonY alone
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX interrupts PersonY,considerate,meticulous,careful,civil,deferential,well-behaved,polite,respectful,not malevolent,tactful,not irritated,wide-eyed,gullible,ignorant,inexperienced,gratified,pleased,not heard,//,//,unangry,gratified,pleased,pleased,not offended,gratified,//,//,//,//,2,2,personx lets persony talk
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lectures PersonY,stupid,idiotic,gracious,dopey,amiable,modest,noncritical,muffled,respectful,meek,unangry,jolly,not knoweldgable,gleeful,nonchalant,happy-go-lucky,carefree,reassure,lighthearted,//,kind,happy,unresentful,glad,remorseless,joyful,not annoyed but appreciative,unmerciful,merciless,//,0,1,PersonX listens to PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX eats PersonY's candy,big-hearted,generous,benevolent,polite,big-hearted,deferential,polite,discreet,meticulous,benevolent,better,polite,terrific,starve,not mischevious,goodness,superb,forthright,well-behaved,candid,jocular,jaunty,lighthearted,merry,radiant,glad,jolly,unforgiving,happy,joyful,1,1,PersonX refuses PersonY's candy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX invites PersonY,superficial,repulsive,cautious,hateful,thoughtless,not y,hot-headed,impulsive,stupid,impolite,wrathful,calm,sedate,grouchy,dismal,queasy,hideous,irritable,not like a good person,exclusive,not included,unwanted,not appreciated,disliked,not taken into consideration,//,//,//,//,//,1,1,Person X visits Person Y.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gives PersonY a sense,nonchalant,unhelpful,not (?),not (?),disruptive,uninformative,burdensome,spiteful,lethal,insensitive,not feeling very happy,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,-1,-1,PersonX hinders PersonY's sense
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX builds PersonY church,inconvenient,not contributing,bungling,not demented,unavailable,decayed,clumsy,purposeless,agreeable,unhandy,plaintive,sore,irate,anguished,dismal,queasy,melancholy,gruesome,irritable,gloomy,ungrateful,//,//,//,//,//,//,//,//,//,-1,1,PersonX builds PersonY a school
