Title,Description,Keywords,prompt1,candidate1-1,candidate1-2,candidate1-3,candidate1-4,gold_label1,prompt2,candidate2-1,candidate2-2,candidate2-3,candidate2-4,gold_label2,prompt3,candidate3-1,candidate3-2,candidate3-3,candidate3-4,gold_label3,prompt4,candidate4-1,candidate4-2,candidate4-3,candidate4-4,gold_label4,prompt5,candidate5-1,candidate5-2,candidate5-3,candidate5-4,gold_label5,prompt6,candidate6-1,candidate6-2,candidate6-3,candidate6-4,gold_label6,prompt7,candidate7-1,candidate7-2,candidate7-3,candidate7-4,gold_label7,prompt8,candidate8-1,candidate8-2,candidate8-3,candidate8-4,gold_label8,prompt9,candidate9-1,candidate9-2,candidate9-3,candidate9-4,gold_label9,prompt10,candidate10-1,candidate10-2,candidate10-3,candidate10-4,gold_label10,prompt11,candidate11-1,candidate11-2,candidate11-3,candidate11-4,gold_label11,prompt12,candidate12-1,candidate12-2,candidate12-3,candidate12-4,gold_label12,prompt13,candidate13-1,candidate13-2,candidate13-3,candidate13-4,gold_label13,prompt14,candidate14-1,candidate14-2,candidate14-3,candidate14-4,gold_label14,prompt15,candidate15-1,candidate15-2,candidate15-3,candidate15-4,gold_label15,ctrl_index
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Care for an American Pit Bull Terrier,Keep a folder for each subject so you can easily pack and find things.,Furnish your home with dog supplies.,Talk to other franchisees.,"If you're in a public area, make sure you have a permit if needed.",1,Make a Gazebo,Sandwich your clear orange pieces with a 2 x 4 plate.,You’ll need 5 more 4x4” beams.,Connect one of the loose heater wires (does not matter which) to the black wire(s).,Stand the diaper tire on its side (so it now looks like a tire).,1,Solve a Wooden Puzzle,Arrange 2 craft sticks so that they are parallel to each other.,Cut a sheet of plywood into 4 2 by 2 ft (0.61 by 0.61 m) squares.,Make a seat cut on the end of your rafter so it lays flat on your top plate.,Fit piece #2 horizontally into piece #1.,3,Write a Proposal Letter,Continue this process until you've memorized the whole speech.,Include a more detailed synopsis as a separate enclosure.,Draw small rectangles at the bottom of the bullet train.,Find your Senator’s address.,1,Make Papier Mâché Eggs,Pop and remove the balloon.,Stretch a stocking over a storage container and strain the gesso through it.,Practice on scrap pieces of wood or drywall.,Opt for a knife with a sturdy metal blade and wood handle.,0,Be a Great Couchsurfer,Make your package creative.,Teach her to have a positive body image.,Get local tips from your host.,Identify distinguishing features like scars and tattoos.,2,Use Apple Music on iPhone or iPad,Type a name for the video into the “Save As” field.,Swipe left on the screen.,Open the eBay app.,Tap Songs to view all songs in your library.,3,Hit a Power Fade,Have the ball stationery or moving in front of your feet.,Tee the ball and position your feet.,"Talk about things you love, too.",Give an inch and gain a mile.,1,Read a Pay Check Stub,Opt for products with natural thickeners like xanthan gum.,Find the area labeled “State Tax”.,Cut out the card print.,Look for cards that are labeled “secured credit”.,1,Play Galaga Like a Pro,Determine if the cat is acting out of character.,"If it appears that the defender is committed to pursuing you in that direction, great!","Once you are certain the game is ""set"", you can shoot the two remaining aliens.",Listen for any sound.,2,Be a Responsible Party Host,Move the virtual keyboard if necessary,Make sure that your guests have non-alcoholic options,See if your pug's eyes are dry,Talk in person,1,Discuss a Former Employer in an Interview,Talk to your teacher or a librarian.,Create a strong application.,Select your theme carefully.,Steer clear of office politics.,3,Get an Ellen Degeneres Haircut,Wash your hair and comb out tangles.,Continue cutting on or just inside the edges.,Fill up your wine bottle with the hot water.,"Use your razor scrapper at a very shallow angle to the wood, and gently peel the tape off.",0,Tell the Difference Between Social Media and Traditional Marketing,Outline what behaviors are unacceptable.,Seek support outside of the workplace.,Evaluate if this is a mild flirtation.,Decide if the ad promotes relationship building.,3,Make Bubble Tea,String wire through the hole.,"Cover and cook until chewy, tender, or mushy.",Wash the outside of your vagina as an alternative to douching.,Follow the steps in the first method for how to cook the tapioca pearls.,3,11
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Winterize Bee Hives,Place fabric in clear photo boxes to protect the fabrics.,Use a vented inner cover.,"Fill a disposable, plastic container with 1 cup (240 milliliters) of water.",Paint the cord cover using the same paint that's on your wall.,1,Prepare a Customer Invoice,Apply for a working visa yourself.,Calculate the current value of scrap gold.,Make sure you know how they would make you pay.,Tell how you want to get paid.,3,Install Slate Tile,Run the grooved edge of the towel in a single direction across the three-foot (0.6-m) area.,Shake the straw to remove excess liquid nitrogen (nitrogen quickly goes into a gaseous state when exposed to air and warmer temperatures),When you can see that the yeast has been activated (getting foamy) use the funnel to pour it into the bottle.,"When the user uses too much detergent, the suds will leak through the overflow tube.",0,Skim Coat,Set the replacement tile.,Drill 5.5 in (14 cm) holes in the boards and concrete with a hammer drill.,Find a good joint compound/mud.,Mix some emulsion and sensitizer according to the manufacturer’s instructions.,2,Call 911,Create “to do” and “done” spaces on your desk.,Make a self-hosted site for a cheaper option for a smaller boutique.,Follow the dispatcher’s instructions.,Keep vital documents in a safety deposit box.,2,Check a Balance Owed to the IRS,Make sure you qualify for the student discount.,Keep the notice for your records.,Make sure you qualify for an FHA loan.,Contact the timeshare company.,1,Clean a Plasma Screen,Place the hot coals on either side of the grill.,Apply a warm compress for about 20 minutes.,"Take a sip and allow the liquid to sit on your tongue, letting the flavor sink in.",Turn off the device and let it cool.,3,Patch Stucco,Shop for patterned tops.,Make sure the calipers are centered over the wheel.,Nail in the lath.,Make sure the flowers and other corsage elements are tightly fastened together.,2,Mix Colors,Use a palette knife to place part of 1 color on a blank part of the palette,Use a bleach and water mixture to disinfect the inside of your shoes,Put the video clip on the timeline,Listen to them when they’re talking,0,Begin Playing Commando 2,"Check the box labeled “Head of Household.” Once you have entered in your personal information, you should check the box labeled “Head of Household,” to indicate your filing status.",Determine the Lexile level.,You have many choices of weapons you can take with you in your missions and you be given a chance to change weapons at the end of each mission and when you start the game.,"Complete the quest ""A Hero is Bored"".",2,Raise Happy Children,Deal with disciplinary issues when they arise.,"Keep them engaged with games, toys, and activities.",Offer non-judgmental constructive criticism.,Focus on the big-picture understanding.,1,Get Rid of Sunburn Fast,"Give yourself a pedicure, if desired.",Change into loose fitting clothing.,"Using a wet cloth, clean up the urine spot and make sure the area is thoroughly damp without being wet.",Sprinkle a layer of baking soda over your entire sink.,1,Help Someone,Alter your greeting based on the time of day.,Try a pickup line.,Ask how your friend is doing.,Start with something nice.,2,Go to an Interview,Develop strategies for answering the question or exploring the subject.,Share the burden of researching the issues.,Make the rest of the introduction equally engaging.,Prepare to describe yourself in a way that is relevant to the job.,3,Visit the National Baseball Hall of Fame,"Travel to Cooperstown, New York.",Find another school within your district.,Prepare for the first step of your licensure examinations.,Know what the Twin Cities have to offer.,0,9
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Write a Response Letter,Verify that the contractors you are considering are registered by looking them up online.,Thank the person for writing.,Check to make sure you’re registered to vote in your state.,Ensure you are registered to vote in the right location.,1,Get over a Fear of Giant Swings,Explore which tracking system will work well for your goal and lifestyle.,Locate a pair of sunglasses that you know are polarized.,"Ask your spot to spot lighter, and soon, you should try it on your own.",Tap your Alexa device.,2,Become an Event Planner,Add a second link.,Talk to your art teacher.,Tap into the internet.,Start with a basic Rubik's Cube.,2,Start a Creative Writing Club,Write a clear outline of the type of business you will be running.,Consider searching for and recruiting an advisor.,Contact and meet with possible sponsors.,Create an account with the GED Testing Service.,1,Become a Pilates Instructor,Work as a specialist.,Determine what style of dance you want to learn.,"Find a focus, minor, or double major.",Identify what type of nursing you want to do.,0,Fake Abs,"Try to reproduce any wall texture, if necessary.",Wait for the base to dry out.,"Apply a non-comodegenic, oil-free primer, remembering to blend it upon the eyelids as well, especially if you have oily lids.",Apply a thin coat of eyeshadow base or primer onto your eyelids.,1,Connect the Kindle Fire to a Computer,Keep parents and guardians informed,Unlock your Kindle Fire,Practice with obstacles,Heat the casing that has the bearing mounted in it,1,Sing Emotionally,Record yourself practicing in video and play it back.,Consider going to film or producing school.,Schedule your exams before December.,Gather support from your friends.,0,Dry Your Painted Nails Quickly,Pick the right tip.,Pick the right needle for the cloth.,Pick the right clean bowl.,Pick the right syringe.,2,Choose and Use Doormats,Mat inside and outside.,Rinse the toothbrush in an antibacterial rinse.,"When you are about to buy a rough amber or carved amber, it can be easily tested with UV flashlight.","Pack an ""emergency kit"" with things like pads and/or tampons and/or a diva cup (even if you haven't yet started your period), hair ties, bobby pins, perfume and hand sanitizers.",0,Move Safely,Talk to your doctor about getting Botox or fillers.,Participate in activities that you enjoy.,Drink water as you work to stay hydrated.,Choose complex carbs instead of simple carbs.,2,Road Test a New Business Name,Suggest other nonverbal ways that they can express their emotions.,Ignore hypocritical behavior that you can't prove.,Consider other questions you'd like to ask.,Remind yourself that their behavior is not about you.,2,Fix a Sagging Emtek Door Handle,"After the frame is completed, you need to put two 168 cm (66.1 inches) planks on the left and the right side of the frame, as shown in the picture above.",Glue tiny pompoms to the tips of the pinecone’s petals for the ornaments.,Observe the inner mechanical parts.,Buff with a dry towel.,2,Stop Falling in Love,Aim to be understanding.,Teach the child how to hold themselves accountable.,Ask for reminders to be accountable.,Teach children to be financially responsible.,2,Install Peel and Stick Vinyl Plank Flooring,Sweep the subfloor to get rid of any dust.,Wave the locator wand around until you hear the strongest signal.,Let the paint dry for 2 to 3 days.,Run wires through your walls to the spot you’re installing the light.,0,7
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Get Fit for Climbing,"Exercises such as walking, jogging, running, swimming, and biking are important.",Do your best to try to make your grip better.,Do some light jogging or running prior to your sprint.,Avoid over straining while you row.,1,Collaborate With Artists,Read the line score.,Make time to relax.,Immerse yourself in your environment.,Be prepared to sacrifice some of your lower-priority goals in order to achieve the higher-priority ones.,3,Drive a Pontoon Boat,Use a surgeon's knot to create enough tension in the laces of your boots.,Cinch the slide to just below your top button.,Try out a longer style.,Shift into “forward” and move the throttle forward.,3,Improve a Relationship with Random Acts of Intimacy,Help your sibling when they need it.,Be even-keeled and calm when you’re on dates together.,Express your gratitude for the nice things they do for you.,Begin by telling your husband how much you appreciate what he already does around the house and for your family.,2,Spot Fake MAC Lipstick,Help the individual find a comfortable position,Apply the lipstick to your inner arm to check for creaminess,Spruce up their wardrobe,Eat red meat,1,Plan a Romantic Italian Getaway,Bid farewell to the old year.,Thank the member for allowing you to use their membership.,Try a Tim-Tam slam.,Book a rental car.,3,Meet Women,Use a shared theme.,Search for common patterns in body language.,Stay active in sports and other activities.,Be aware of your surroundings.,3,Multitask More Effectively,Buy a door for your recording booth and note down the measurements.,Create a studio space so you can record.,Work during down times.,Know your abilities and the nature of a project.,3,Write a Roommate Wanted Ad,Inform the person of the problem.,Get help from a friend.,Include any final payments for service.,Describe the current occupants.,3,Make the Most of Time in the Woods,You'll want to have a crew of friends to help with this project.,Network with everyone you can.,Test your theory against all the facts you can think of.,They'll ask you to wake up and eat your breakfast.,0,Post Ads to Craigslist,Wait for an offer.,Slide on a ski jacket.,Add your specific location.,Put on a clown mask.,2,Make 4th of July Strawberries,Line a cookie sheet with wax paper.,Pour it into a clean bottle and refrigerate the oil for up to 1 month.,Use a pressure cooker to save energy and reduce cooking time.,Add 1 tbsp (14.3 g) of chia seeds to the container and replace the lid.,0,Buy a Firearm in Wisconsin,Reserve your name if you're not ready to register.,Call VitalChek to place your order.,Make sure you're eligible to open an account.,Determine whether you're eligible to own a gun.,3,Outline a Novel,Determine the rising action.,Determine the length and width needed.,Calculate the number of sheets of corrugated metal needed.,Weigh out the proper amounts of each chemical.,0,Be a Comedian,Determine the comedy persona that you fit into best.,Practice constant rehearsal of the matter.,Choose a friend that you don't want a relationship with.,Send a private or direct message.,0,5
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Talk to Loved Ones About a Serious Health Condition,Do something you enjoy every day.,Be prepared for a variety of reactions.,Include mid-level managers in high-level communications.,Volunteer to call any clients or leaders who need to be updated about the problem.,1,Teach Nutrition to Kids,"Having an all-nighter may seem fun while you're at it, but it sure won't be fun when you're asleep on your desk when the teacher calls on you.",Give them freedom to choose between two choices.,"Make yourself a nice hot drink like herbal tea because this helps cramps, chocolate might make you feel bloated or bad.",Consult with your doctor.,1,Be a Responsible Party Host,Move the virtual keyboard if necessary,Make sure that your guests have non-alcoholic options,See if your pug's eyes are dry,Talk in person,1,Visit Niagara Falls,"Take a walk along the ""White Water Walk"".","Enjoy Anchorage for a day or two, if you want.",Lay the plastic wrap over the entire wet sheet.,Listen to the peaceful sounds.,0,Get a Wider Back,Mix the grout for the mosaic project.,Try using nontoxic ant deterrents.,Sit down for cable rows.,"Smooth out the inside and outside of the pot, as desired.",2,Help a Bereaved Parent,Don't look like a nerd for one.,Talk to your guardians.,Never compare a child's death with a non-child death of your own you've experienced.,Make sure that your updates are relevant.,2,Change Bad Habits,Decide whether to wean the baby from the bottle.,Screw in a replacement bulb.,Get comfortable with the basic move.,Get rid of temptation.,3,Start a Student Volunteer Army,Identify an understudy in case you get ill at the time of the event.,Narrow down your specialty.,Send out press releases.,Pull together your sources.,0,Post on Soundcloud on iPhone or iPad,Tap the Multiple choice menu below your question.,"Click the ""New Contact"" button above the list of current contacts.",Tap on the Kindle icon to launch the Kindle reading app.,Tap on the name of the song on the bottom of the screen to bring up the song page.,3,Fake a Convincing American Accent,Share examples of short vowels.,Loosen up your tongue.,Learn to pronounce the basic German vowels correctly.,Stand with excellent posture while singing.,1,Give Feedback,Find out what will be covered on the test.,Lay out columns for your entries.,Consider how you feel after doing the fitness test––are you motivated to try to best your original benchmark or do you feel annoyed or irritated?,Focus on one criticism at a time.,3,Get an Employer Identification Number,Know where you're going.,Decide how you want to apply.,Decide when you want to attend a graduate program.,Calculate the cost of your materials.,1,Find Water,Determine the type of soil you will be digging in.,Detect signs of wildlife.,Read the temperature on the thermometer.,"Watch for cracks in the soil, especially on slopes.",1,Clear Out Clothes While Packing for a Trip,Apply and dry the glue base coat before putting on polish.,"Clench a fist and utilize the side of the index finger, the back of the thumb, and the space in between the index finger and thumb for greater coverage of one nostril.",Make space for the piles you're about to create.,Test out each spot where you're about to put your feet.,2,Choose a Debt Settlement Company,Ask if they offer live chat software as a complimentary service.,Check on whether or not they offer bankruptcy assistance.,Use a veterinarian-specific site.,Find a vet who’s close enough to respond to emergencies.,1,3
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Patina Metal,Prepare and apply chemicals carefully.,"Grind off the excess pins, if needed.",Allow the fabric to dry.,"Line your upper lids near the lash line, if desired.",0,Reduce Kitchen Germs,Apply straw mulch to discourage the beetles and encourage spiders.,Clean spills in the refrigerator immediately.,Put netting on fruit bushes and trees.,Rub 1 cup of hot red cayenne pepper on the nest box pole.,1,Make Plastic,Wheel the machine into place.,"Tighten the screws, as you keep a firm hold on the outlet to ensure the wires don't slip.",Remove the tip from both curved strips at one end.,Break up the styrofoam into small pieces.,3,Thrive in a Recession,"Make the classroom environment calm, caring, and fun.",Notify your boss in person.,Remember to save a little out of every dollar you make.,Arrange your organized help to assist you in setting up the party on the day of.,2,Clean Suede Furniture,Move each of the notes the correct number of steps.,Check the numerator and denominator of your polynomial.,"Check the instructions for a W, S, or W/S marking.",Check the coin’s numbers and letters for the same design or font of other like coins.,2,Have Fun While Studying,"Buy them a present out of the blue, don't be stupid and buy them something you like.",Make an easy retrieval table.,"If you want to come clean to your crush, don't put it off.","Buy designer if you can afford it, but don't go overboard.",1,Spot Fake MAC Lipstick,Help the individual find a comfortable position,Apply the lipstick to your inner arm to check for creaminess,Spruce up their wardrobe,Eat red meat,1,Watch Movies and TV Online for Free,Avoid texting or calling him.,Don't let the bully see that you care.,Search for jobs on your own time instead of at work.,Find a torrent tracker website.,3,Keep Multiple Pet Mice,Volunteer at a local charity organization in your spare time.,Address issues during calm moments to avoid arguments.,Separate males from each other to avoid fighting.,Ask questions in such a way as to avoid confusion and bias.,2,Create a Faux Marble Finish on Furniture,Draw two small vertical ovals and connect each oval on both sides of the circle.,Draw the nose using an oblong.,Add two curved lines on each side of the oblong for the bear’s arms.,Stir the contents of the paint can.,3,Be an Inspiration,Open in MS Word.,Determine the first changes to make.,Keep leather out of the sun to avoid cracking and dryness.,Use the circle of fifths to find your new key signature.,1,Write a Behavior Management Plan,Conduct interviews and gather information.,Verify whether the patient is in- or out-of-network.,Visit your dermatologist or skin care professional to discuss the best way to increase the fairness of your skin.,Go to your local SSA office to apply for social security disability.,0,Have an Elegant Wedding on a Budget,Look for their food sources.,Keep doing your own thing.,Buy flowers that are in-season in your area.,Keep track of your money.,2,Walk Through Walls in The Pizzeria RP Remastered on ROBLOX,Use an up-to-date map.,Finally after you have finished you video admire it and add it to iTunes by clicking 'Share' in the top tabs where your program is shown.,Go into the Five Nights at Freddy's 2 map.,Discover the Tower of London.,2,Report To Multiple Bosses,Describe your target customer.,Identify the chain of command.,Announce the second Mystery.,"Try ""cento di questi giorni!""",1,7
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Do a Dive Cartwheel,Understand the dynamics of a shoulder joint.,"Do two more curves, beneath the curvy lines but farther apart.",Set up mats or cushions.,Do a Barter Puzzle.,2,Cut Corrugated Metal,Wrap your right hand around the handle towards the top of the club.,Tighten the grinder blade and put both hands on top of your angle grinder.,Put your top teeth on top of the mouthpiece and fit the rest of your mouth around the mouthpiece.,Use the tip of your tongue to push one tip through the loop.,1,Add Helpful Formatting to Tech Articles on wikiHow,Distribute a draft of your template to managers and supervisors.,Have any CD drive that can read CD + G subcodes (these codes carry graphics-and-words that will be shown as music/song plays).,Use a complimentary close.,Use {{kbd}} to display text input.,3,Buy Film Rights to a Book,Determine the start date.,Note how saving money expands your options.,Negotiate the option fee.,Determine the value of any property transferred before the decedent’s death.,2,Ease Round Ligament Pain,Pull the slim jim upwards slowly until the door unlocks,Pick your wedding colors,Purchase your property,Strap a belly band around your stomach to hold some of its weight,3,Dress for Soccer,Add some personal flair.,Repeat the pattern to your desired length.,Place your capo properly on the neck of your guitar.,Use the narrator device.,0,End a Text Conversation,Respond with an emoji or two when appropriate.,Check your bag one last time.,Take a popular route with major roads.,Do it immediately when you come home.,0,Memorize a Piano Piece,Start your mind map with the topic of your problem.,Put the 4 bars together and play them from beginning to end.,Look chic in classic colors.,Get a strand of braiding-hair ready for braiding.,1,Ride a Horse in a Safe Area,"Listen to the radio, television, or other available media for instructions.",Thank drivers who slow down.,Place a gallon of water and some baking soda or ammonia nearby in case you need to quickly neutralize spilled acid.,Call the police if the child does not turn up.,1,Add a Credit Card to a PayPal Account,Set aside a budget for the marketing consultant.,Promote your listing on social media.,Select a billing address.,Practice your music frequently.,2,Become a Wedding Planner,Be able to deal with risk and failure.,Work on your people skills.,Be able to handle pressure and sudden issues.,"Prepare a contact list and other paperwork, if necessary.",1,Transition from a Female to a Male (Transgender),Find out what your insurance will cover.,Create a résumé and press pack.,Contact reputable home warranty companies.,Find out how many therapy sessions your insurance company covers.,0,Use Technology as a Journalist,Take journalism ethics courses.,Begin sending out queries.,Know what kind of voucher you need.,Ask a few questions.,0,Prevent a Stress Fracture,Start out slowly if you are just getting back into exercising.,Write down your goals.,Progress to even harder songs.,Do some strength training mixed with cardio.,0,Take Care of a Shih Tzu,Study English or western riding to learn what’s expected of you.,Find and book a venue for the ceremony.,Try to brush your dog's teeth.,Pick a camp that fits your schedule.,2,5
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Inflate a Helium Balloon,Choose a ribbon color and style.,Decide on what message you'd like to include on the tote.,Purchase or make dechlorinated water.,"Choose an eco-friendly diary, calendar and wall chart.",0,Annul a Marriage in New York,Wait for the connection.,Consider how consent was obtained.,Make sure they haven't changed their phone number.,Know how the cancellation policy differs.,1,Contact Cash App,Go to 'Emails & Alerts'.,Go to the url cash.app/help on your browser and check the FAQs.,"Press “Send,” and wait for the seller’s reply!",Go to display all.,1,Get a Student Car Loan,Save old furniture to be used for other projects.,Sell or donate an old A/C that still functions.,Ask about interest discounts.,Encourage guests to return or donate their gifts.,2,Build Under Stair Storage,Attach the round piece of sheetrock that you cut out to the piece of plywood with sheetrock screws.,"Once you have all the holes cut, place the can in warm water to melt and remove the ice.","For the drum head, cut a round piece of leather about two inches larger than the end of the pipe.",Secure supports between the 1 in × 3 in (2.5 cm × 7.6 cm) boards.,3,Paint Behind Radiators,Add Marine stabilizer to full tank of fresh fuel.,Close the bleed valve and lock-shield valve.,Purchase household ammonia for the most effective ammonia control.,Return the valve to the “service” position to start softening water again.,1,Enjoy Homework,Prepare yourself for their reaction.,Choose a time of day when you feel energetic.,Narrow it down to the top three (3) banks.,Love and feel comfortable about yourself.,1,Develop a Capital Improvement Plan,Prepare an existing wall.,Clean the pool’s surface.,Ask for project submissions.,Demolish any existing structures.,2,Put Words Into Action,Establish a timeline,"Define your eyebrows with soft, brushing stokes to create an equally elegant and smooth brow",Choose your swimwear wisely,Contact 211 for emergency and disaster information,0,Have an Oktoberfest Party,Make sure your Crocs match the rest of your outfit.,Research schools’ admissions standards and requirements.,Use blue and white decorations.,Create a step-up hem if you want your jeans to be a little shorter in the front.,2,Spot Fake Gold,Complete the nitric acid test.,Press the Menu button.,Shred all debit cards and checkbooks connected with your previous account.,Give a tip to shuttle operators.,0,Brush a Long Haired Dog,Dissolve 2 tablespoons of oxygenated bleach into 2 cups of warm water.,Apply a wet sheet over your pants and iron them.,Have detangler and water on hand.,"Rinse and dry the carburetor parts with clean, cool water and reattach them.",2,Care for Orphaned Kittens Above 3 Weeks of Age,Create a space for playing house.,Provide a cat bed.,"For the sensory table center, try to pick an idea that reinforces your teaching objects.",Give kids access to fun writing prompts.,1,Open a Nursing Home,Set up your facility so it complies with all local safety regulations.,"If necessary, apply for a daycare license.",Apply for instructor certification.,Interview several qualified registered contractors and solicit written bids.,0,File State and Federal Tax Returns in Illinois for Free when You Have No Income,"Of course, these aren't the only methods.","From here, the hard parts are over.",Dress like a scene girl.,"Elements of Dave's style are all things glittery, shiny, and sequined.",1,9
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Have a Sleepover on Animal Crossing,"Unlock your phone, if your carrier makes it cheap.",Tap the order you want to cancel.,Wake your friends in the morning and turn the DD back on.,Retake the exam as many times as necessary to pass it.,2,Know if Someone Is Attracted to You,"Pick up on ""mirroring.",Prepare the centerpieces one day prior to the wedding day.,Schedule an initial consultation.,Verify the attorney's license and credentials.,0,Treat Eye Problems in Boston Terriers,Avoid scratching the skin if it's itchy.,Look for signs of corneal dystrophy.,Look for abnormal swelling around the rear.,Contact a vet if your pet rat is acting strangely or seems sick.,1,Preserve Wood,Style your hair to hide the frizz.,Consider applying moist wraps to affected areas.,Mix in solvent if appropriate.,Add some grit for a deeper clean.,2,Replace a Door Trim,Get an aluminium joining strip.,Pick an appropriately shaped board.,Be aware of how low you wear your pants will affect your sag-style.,Put on ear and eye protection before sawing.,3,Find Treasure,Look behind your home to see if you have an outdoor condenser.,Look around vacant lots where buildings used to be.,Perform a precursory search to see if you have any high-end suits.,Examine the back panel to determine if you have a standard or deluxe model.,1,Say No Respectfully,Manage your time more effectively.,Manage your time well.,Schedule your time carefully.,Set clear expectations on accessibility.,2,Speak Oppish,Try it faster and faster - practice makes perfect!,Choose more sentences to read aloud.,"Get instruments.This is remotely simple, but can be quite expensive.",Volunteer with non-profit or community organizations.,1,Blur the Background of a Digital Image,Read examples of dark poetry.,Go to Select > Inverse.,Give your gift... and encourage the recipient to unwrap it.,Decide if you want your rug to make a design statement or be a single color.,1,Apply for an American B 1 Visitor Visa for Business,Decide what type of motion you want to make.,Prepare for the interview.,Follow Trevor on Instagram to see if he notices you.,Wait to be noticed.,1,Ease Round Ligament Pain,Pull the slim jim upwards slowly until the door unlocks,Pick your wedding colors,Purchase your property,Strap a belly band around your stomach to hold some of its weight,3,Set Up AdSense,Open a web browser.,Locate the HTML code from Google.,Locate the signup page.,Locate the Gift Card group in the “Amazon Wallet” section.,1,Comfort a Grieving Pet Owner,Call the provider when you get home if a question arises after you left.,Find resources in your area.,Don’t assume something is wrong if you don’t hear from him.,Arrive at the audition location during your selected time slot.,1,Manage when Two Close Friends Are Fighting,Plan to spend about 10 days on this trip.,Consider what tools you'll need.,"Tell them that unless they solve the problem, you can't deal with their enmity any more and you need to get away from it.",Plan a savings target.,2,Apply for a Passport for a Kid,Provide attestations from three individuals that you have good moral character and good self-control.,Complete the online application and submit it.,Print your child’s photo on matte or glossy photo quality paper.,Have your home driver’s license translated / notarized.,2,11
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Groom a Shih Tzu at Home,Try Dutch braids with a twist for something different.,Keep it long and curly.,Use only high-quality tools.,Take steps to prevent shock.,2,Obtain a Bookkeeping Certificate Online,Review common exam topics with teaching videos from the NACPB.,Work your way into the department in other ways.,Pass the basic knowledge exams in Phase 1.,"Instead of the ACT, you may take the Scholastic Aptitude Test (SAT), and you must score at least 500 on the Verbal section and 550 on the mathematics section.",0,Speak Maltese,Use the deposit envelope provided by the ATM.,Wear your cast or brace for the entire time designated by your surgeon.,Pick a problem and visualize your path.,Learn how to use the article “the”.,3,Set Realistic Goals,Be positive and kind.,Think about what you want to achieve.,Do a self-assessment of what you want in a career.,Talk to a recruiter and ask about the options you have.,1,Take a Walk,Identify some things you’d like to learn.,Involve your parents in your decision.,Select the product you’d like to use.,Visit a forest or park.,3,Help a Preschooler with Separation Anxiety,Explore a new or old hobby that you haven’t had time for,Place the lid on the slow cooker and cook,Tell your child what preschool is like,Draft an answer,2,Stay Up for Multiple Days Straight,Limit your sugar intake.,Keep an emergency kit in your pack in case of an accident.,Get more sleep than usual to start recovering.,Talk with a therapist if you are having trouble coping.,2,Care for a Dog After Spaying,Use child and pet-safe heaters.,Do not allow your toddler to stand or engage in horseplay while taking a bath.,Check the site of the incision.,Wash the incision only if it gets dirty.,3,Pick Up a Girl in a Club,Bring a group of friends with you.,Take the time to style your hair before you see your crush.,Avoid using famous people for their connections.,Go to one of Kanye’s concerts.,0,Ride Public Transportation in Los Angeles,Start by guessing four of a kind.,Realize that the bus is a community.,Keep in mind that it is okay if you don’t know all the answers.,"If you see any single spaces and you have the money, try buying the A first and if it's not where you thought, buy the I.",1,Build Stairs,Use the resizing controls to change the size of the image.,Increase the size of the drill bit to widen the hole until the rivet nut fits.,Count how many stringers you will need.,Do not release acetylene or other gasses near sources of ignition.,2,Clean Your Room,Pour the dye mixture into the pot.,Throw newspaper or other tinder into the back of the chamber.,Throw all the rubbish into the bin.,Throw any rubbish into a garbage bag.,3,Go from Drab Beauty to Gorgeous Starlet,Compliment the color of your coat.,Keep your eyebrows looking nice.,Make your content engaging.,Lie down flat on your stomach on soft ground.,1,Sell Scrap Metal,Separate your LEGOs by color and size or and color and type.,Look at the number in standard form.,Salvage old auto parts.,Determine number of players.,2,Fix a Leaking Shower,Check the escutcheon gasket.,Scan the base of the trunk and any damaged areas.,Vacuum the area with a shop vac.,Sand the surface smooth once the epoxy has cured.,0,6
