Title,Description,Keywords,Polite1,Rude1,Polite2,Rude2,Polite3,Rude3,Polite4,Rude4,Polite5,Rude5
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please pass the meatloaf?,Pass me the fucking meatloaf!,I'd like you to leave.,Get the hell out!,"We are done here, so leave please.",Go!,Can I have a window seat please.,Give me a window seat.,Can you help me clean the car?,Hey! You need to clean the car!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you make me breakfast?,Why are you not making me breakfast right now?,Could you please help me with this?,I need help with this now,Are you ready for bed?,Go to bed!,Can you please leave?,Get the hell out!,Can you hand me the salt?,Give me the salt.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can we ride to the party together?,Pick me up for the party.,Could you help me find my missing dog,My dog is missing don't just sit there,Change the channel please.,Change the channel!,Can you help me with this please?,How to do this?,Can you please leave the room?,Leave now.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please speak more quietly?,Be quiet!,Could you please take the dog for a walk?,Take the dog out now!,Would you be willing to give my book?,I'm too lazy to get the book you should get it for me.,I didn't understand this point,You didn't explain this point,Do you mind helping me lift this?,Grab the side!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","I'm finished here, so please leave.",Leave now!,Can you help me with the dishes?,"Next time, you won't eat, if you can't do the dishes.",Grandpop had been getting confused more lately.,Grandpop is starting to loose his marbles.,Please get your feet off the couch.,"Remove your feet from the couch, or I'll remove them for you!",Is this your watch?,This your stupid watch?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you help me find my missing dog?,My dog is lost why did that happen!,Do you mind eating my left over?,I know your poor so eat my left over,Could you please clear the dishes off the kitchen table?,Why don't you do the dishes for once?,Whats going on,Sup fool,Can you clean the windows?,Why aren't you getting the smears off this window?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you pick up my dry cleaning please?,Go get dry cleaning.,Can you get that for me?,Get that for me now.,Please be quiet.,Shut up!,If you're going to the store could you pick up a 6 pack of soda for me?,Go get me some soda!,Can you please move to your left?,"Hey, asshole, move to the left."
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",I love you.,I hate you.,Will you help me find my missing dog?,My dog is missing and your just doing nothing?,"I'm sorry, I'm going to have to ask you to leave.",Leave now!,Your essay needs improvement.,This isn't good at all.,Can I please watch a different show?,Turn on a better show!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you tell me the weather today?,Is it really going to rain or not?,Will you please be quiet?,Shut up!,Can you please be quiet during the movie?,Shut up!,Can you help me pick that up?,Pick that up for me right now!,Read me a story please.,You better read me a story!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you hand the ketchup please?,Give me that!,"I'm sorry to bother you, but you are blocking me.",Get out of the way!,I would like to hear from you.,Say the answer,Could you please come here.,Get your butt over here.,Will you please stop?,Stop it now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please move over?,Move your fat self over!,Would you drive me to my appointment please?,You better drive me to my appointment.,"No more time, please leave.",Get out of my face!,May I talk to Mary?,Is Mary here?,Could you please take this dish back and cook the meat a bit more?,You need to take this raw meat out of my face now and bring me a cooked steak.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could I ask you to eat my left over?,I know you hungry and no money to buy go ahead eat my left over,Would you please help me cook dinner?,Get over and help me cook dinner.,Can you please help me with this?,Get over here and help me!,Could you please hand me the book?,Give me the book already!,"I'm sure you need to be on you way, it was a pleasure chatting with you.",Its time for you to leave.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you play first base tonight?,Go to first base.,I think we should try something different.,What a stupid idea.,Please give me a few minutes to finish this.,"Leave me alone, I'm busy.",If you're not busy could you assist me in this?,You're going to have to help me now,Can you pick up the baby?,Get the baby now.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you pass me the salt?,Give that to me!,Would you mind asking your kid to stop kicking my seat?,Stop kicking my seat!,Do you understand?,Don't tell me you don't get it by now!,Do you need help?,You need to get help.,Would you mind closing the door?,Close the damn door now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you please turn down the music?,Turn that awful music down!,Will you please do it?,Do it now!,Can you come here please?,Get over here!,"Pass the gravy, please.",Give me the gravy now!,Please make me something for dinner.,You better cook me some food right now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can we discuss the problem later?,"Quit talking to me, I can't handle this right now!",Can you please not talk to me right now?,"I'm busy, go away.",Would you mind helping me with this?,Can you help me with this or not?,Would you please get the mail?,Get the mail!,Come back soon.,Come here you
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you hand me that piece of paper?,Give me the paper now!,Where are you going?,Where do you think you are going?,You might be mistaken.,You're completely wrong.,Will you please help me?,Help me!,"Can you lend me a dollar so I can purchase a candy bar, please?",Give me a dollar so I can get some candy now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","The window shield need a good cleaning, would you mind?",How many bugs need to lose their lives before you clean that wind shield??,Can you please stop?,Fucking stop it already!,Would you mind if we didn't discuss that topic?,Shut up already!,I would like to do something else please.,I'm NOT doing that right now!,Thank you for trying to help.,Thanks for nothing.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Do you mind giving me the book?,Give me the book now!,"Would you mind seeing who is at the door, please?",Get the door!,I should be grateful if you would send me the details,I command you to give me the details,"If you feel up to it, do you think you could please cook dinner?",Get me food.,I think we should wait until a better opportunity comes along.,Why are you so hurry for everything.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","I'd like a hamburger, please.",Give me a hamburger.,You might want to take a shower.,You really smell terrible.,Can you pass me that bottle please?,Pass me the damn bottle!,"Can I eat the rest of your dessert if you don't finish it, please?",Gimmie that; you fat enough.,Please be quiet for a moment.,"Shut your face, and stop talking!"
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please clean up after your dog?,Pick up your crap right now!,Could you please check this bill because I believe you overcharged me?,"You need to check this bill now because you made a big mistake, and I don't like when someone tries to cheat me!",Can you cook tonight?,"I'm tired of cooking, you can do it for a change.",Would you be available to fill-in at work for me?,I need you at work on Thursday!,Would you hand me that wrench?,Wrench! Now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","Hi, may I get in here?",You going to let me in or what?,Where is the hairdryer?,Find the son-of-a-bitching hairdryer!,I'd like to return this defective item.,You need to take this back now.,Are you done with the washing machine?,Get your clothes out of here!,Can I borrow $10 to buy this shirt I like?,Give me $10 so I can buy this shirt.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",You might want to try on something else.,That shirt makes you look fat.,Would you mind picking up my prescription for me please?,Go and get my prescription!,Could you pass me the book on the table?,"Hey, give that book already!",Is it all right you close the door?,"close the door, faster!",I need you to leave immediately.,I'm going to throw you out if you don't leave.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please give me a ride?,"Let's go now, I need a ride and you're going to bring me.",Can you help me unload these boxes?,Unload these boxes!,Can we have a date night tonight and goto the movies and see that new disney movie I have been dying to see?,Take me out to the movies and buy my popcorn you cheapskate!,Could you please pick that up for me?,Go get that for me,Would you like to have dinner with me?,"We're having dinner tomorrow, clear your schedule."
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","Calm down, please.",Calm the hell down.,Would you go to the store for me?,Come with me at once!,May I please go with you?,I am going with you whether you like it or not!,Would it be ok if you eat my left over?,Your black now eat my left over,"Please, would you wait here?",Wait here.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",What are you laughing at?,Did I say something funny?,Please help me clean the car.,You should be cleaning the car right now!,Can you please cut the grass today?,"Cut that grass now, it is way too long!",May I have a glass of water?,Get me a drink!,Could you read me the book?,Read to me now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you mind eating my left over?,You look like a dog now eat my left over,Would you like to go for a walk with me now?,Are you ready to go on this walk or not?,Is this seat empty?,I need to sit here.,"Please open the door, thanks.",Open the door right now!,The car needs to be clean lets do it.,You need to clean the car or else.
