Title,Description,Keywords,source,generation,type
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Marc opens a pornography website and masturbates to an adult actress,Would Marc lose her trust?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",giving some shoes away.,How do you feel about giving them away?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I tossed rocks at the birds in the park,Was the park not well-maintained?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I borrowed money from a friend and plan to pay it back,Are you willing to repay the money?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Rev posts something embarassing on Rae's social media account, getting revenge",Have you tried looking into this yourself?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",having feelings for someone other than your spouse,Do you have the permission to do so?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I took a picture of the couple at the wedding when they weren't looking,Did you get permission to take the picture?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Sandy diverts Mark's attention to other things, and Sandy shows Mark pictures of Natalie",Why is Natalie not being seen?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being brutally honest with people in the context of a job,How are you being brutally honest in the context of a job?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Mary buys a comfortable hat for her partner,How much did she spend?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",letting being alone make you feel bad.,Was there another person you could be with?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Tory describes the basketball game loss but does not share how upset she is,"When she shares how upset she is, who knows what the implications are?",pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Julie bends down to pick up the money, and she sticks it in her pocket",Does Julie's sister have money?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Kyle quickly puts the phone on mute, stopping the phone from ringing",What kind of problem was Kyle having?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",making sure a friend doesn't do something they will regret.,What do you think your friend will regret?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I surprised my stepmom by handing her a honeycomb full of honey,Does your stepmom like honey?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Timmy invites a female coworker on a date with him to the movies,Would they really go on a date if the coworker was not allowed?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",showing your license and insurance if asked,Are you able to show proof of your license and insurance?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",your ex staying loyal to you after you split,Does your ex have a lot to lose because they are in this?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Zeke keeps the deer in the shed and brings it grass,Where does Zeke keep the deer?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",breaking societies norms.,Have you tried talking to someone about their situation before?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",having trouble doing something.,How is that affecting you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I took my ex-wife's brand new car to the salvage yard,When was it purchased?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",telling someone about a past job,Where did the job you described exist?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",talking to a therapist if you are afraid of commitment.,Have you asked your doctor for advice?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I like to make skirts out of flannel reclaimed from old curtains,Does this make you feel good about yourself?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","While my parents were fast asleep, I uprooted their flowers",Is there a reason you might have uprooted the flowers?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being motivated by outside sources in life.,What outside sources are you motivated by in life?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting a break by being charged less by the cashier.,Does the cashier think you're getting a break?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I gave her hope and dignity and returned to her her joy,Where did she find joy?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I stayed extra hours at the office to sleep with my manager,Have you tried to ask your manager about this?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",talking about offensive things during meal times.,Do you think it's appropriate to talk about offensive things during meal times?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I asked for a doggie bag to put the restaurant leftovers in,Where do you live?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Iris slams down her remote onto the table hard enough to crack it,Iris happy for the damage?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",moving on in life.,When are you moving on?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","James insists that workers apply for two different jobs, so they can work two thirty-hour work weeks",Have you tried looking for different jobs?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",stating that you will only date people of a certain religion.,Would this make people unhappy about you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",discussing your expectations in a relationship.,Have you discussed your expectations in a relationship with your partner?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",taking pictures with others.,Who took the pictures?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I put extra protein powder in my daughter's shake after her run,Who are you putting extra protein powder for?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",keeping secrets from people.,Are you keeping secrets in an effort to protect yourself?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",judging someone else's living situation.,How much is the living situation?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Sandy flirts with Mark, and they end up having an affair",Do Sandy and Mark have an affectionate relationship?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",striving to remove annoyances from their life,Have you considered talking to a therapist about the situation?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I took my wife out for Valentine's Day, and then my mother out the next day",When was the last time you took your mom out?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",recouping money by selling old furniture.,How much do you expect to make?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Hot liquids hurt my stepdad's teeth, so I'll make sure to nuke his coffee for at least 5 minutes",When did you buy your coffee?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting some help if you're an introvert and lonely.,Do you have a friend to help you be more comfortable with your introversion?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I put my dirty jeans in the washer at the laundromat,Who is the person who got the jeans dirty?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",holding it against someone when they're uncool one day.,Have you ever argued with a person?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",spending other people's money.,Where do you spend the money?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Gordon takes all the chicken on the platter and puts it onto his plate,Who else was in the house?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Francis trolls user123 back and the forum becomes a huge room filled with insults from Francis and user123,Do they have mutual friends?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",communicating with an ex if you haven't in a while.,What does your ex think about this?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","My granny's eyesight is failing, so I move her rocker closer to the TV when her favorite show comes on",Did it help her eyesight?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",John drives himself home despite being heavily intoxicated,Do you drive yourself to and from work?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",commenting on someone's weight.,Have you discussed their weight with them?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I was careful to overfeed the baby and so he got sick,Would the baby like it?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",exploring a different lifestyle.,Would you be open to trying a new lifestyle?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",learning new things.,Who is you learning from?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I dumped my boyfriend and consequently he became extremely sad for a month,Do you think your boyfriend will be happy soon?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",people enjoying each other wanting to hang out.,Do you know they don't just want to hang out?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting out in nature,Does nature bring you happiness?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I am holding a fundraiser because my niece is having brain surgery,Do you have permission to do that?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",sacrificing yourself in order to please your family.,Are you living on a budget?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I watched with lust as the young boy swam in the pool,Do you have any children?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I boiled the head of cabbage in my large pot on my stove,Are the cabbage pieces still hard?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",sharing a house with your grown kids.,Was the house clean?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I carefully used the Bunsen burners in the science lab,Have you studied the environment?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","""John drinks a lot to try to get into more of a """"fun"""" mood.""",Have you tried experimenting with alcohol before?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",doing anything that will put you in jail.,Is that your only option?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Priya picks out some of the popular children's gifts of the season that include actions figures and plastic building blocks,Does Priya like to shop for herself?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I didn't pay attention to the professor much because she was actually not very knowledgeable,Have you considered using a recitation for class?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",micromanaging your partner's life,Why do you need to micromanage your partner's life?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jeff contemplates taking his own life,Have you spoken to a health care professional about Jeff's thoughts?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",The mailman tossed my fragile box far from the porch,Why did the mailman not put the box on the porch?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",partners enjoying sharing a meal together.,What was the meal about?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Charlie deletes some of the files from his brother's computer,Why would you delete some of the files from your brother's computer?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Ron looks the other way when Bill talks about relapsing,Why did Ron want to hear Bill's words?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",damaging someone else's property on purpose.,Is it acceptable to damage someone else's property?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I was feeding the bird with a new peanut while laughing,Are you able to feed a bird without it tripping?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",keeping to one lane of traffic.,Have you stopped to watch traffic?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","My brother told me to take his tiger for a walk, so I let it follow me on a leash",Why did you take it on a leash?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",changing someone else's passwords.,Where do you keep the passwords?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting your teammates fired.,Was it a serious issue or did you have a plan?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Frank waves his arms wildly in the air until his friend sees him, then motions for him to come over",Did his friend answer his motion?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",The notebook was erased of all of my donations of the charity to maintain my anonymity,Why would you want to remain anonymous?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",taking things slow.,Where are you taking slow steps?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I went grocery shopping, leaving my 2 year old daughter home by herself",What was your daughter's reaction when she saw you go grocery shopping?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting a job when you don't have money,Did you ask yourself what job opportunities are there?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not liking any of someone's ideas.,Does your opinion matter to them?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting help if you're an alcoholic.,Have you talked with a therapist about getting help?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jim focuses his attention on solely befriending Jenna while ignoring Jill,How is Jim's relationship with Jill?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",exterminating pests on your property.,Have you checked the pests on your property?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jennifer gently tells her boyfriend that he made a mistake and asks him to be more careful,When did Jennifer get married?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I want shopping; the workers greeted me,How do you feel about the workers greeting you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I turned on pornography at the child's birthday party,How many times have you turned on pornography at the party?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",reselling things if you don't like them or are done using them.,Who are you reselling things to?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I mowed the crowd down with an old fashioned scythe,Have you tried killing the people with a scythe?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jed orders a double bacon cheeseburger and a double order of fries at the restaurant,Would those two be acceptable together?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",telling your partner if they are bothering you.,When is the last time you told your partner?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jasmine sleeps with the new man while still married to her husband,Did Jasmine realize she was cheating?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being frustrated.,Was the frustration caused by an external source?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",buying things for your family.,What kind of things do you want to buy?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I tossed my trash in the trash can as I walked by it,Why did you toss your trash in the trash can?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",trying to forgive people,Are you trying to make sure they forgive you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Amy harvests her tomatoes without taking any precautions and bumps into the beehive by accident,Is Amy a good tomato farmer?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",giving a quiz when people are not prepared.,Is a quiz to learn new knowledge?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Fred sees a lunchbox belonging to his coworker in the office kitchen and eats its contents,Would Fred do something dangerous with this lunchbox?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I went to the desert on a horse with no name to bring water to the town,Why did you go to the desert?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",letting others know how you feel.,How would you do this?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",John asks the overweight woman to choose another seat because her huge body invades his space,Was the woman willing to sacrifice some space?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",watching South Park as a child because it's a show for adults.,Is the show funny?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",keeping proof of your purchases.,Do you need a receipt for each purchase?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",sharing things with your friends.,Why are you sharing things with your friends?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Chad lets his kid get the dog off of them on their own,Do they understand that you are going to let them get the dog?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",feeling defeated.,Would anyone be able to overcome you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",feeling anxious when people say your name.,Would this help you sleep at night?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I smoked a cigarette in the yard while watching an airplane,Do you smoke cigarettes on the regular?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",having a career goal.,Would you work towards your goal?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I threw my child's plastic dinosaur in the fireplace,Did you clean up after your child after you threw the dinosaur in the fireplace?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being prepared for work and showing others.,Have you considered taking a class?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",realizing that your judgment of other people has more to do with you than other people.,Is that ok with you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","calling the authorities on thieves, no matter who they are.",Would you not call the police on thieves?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I ended the life of the only animal that she had ever loved,Is that really a humane thing to do?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",making time for other people in your life.,Why do you want to make time for other people in your life?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Chris ignores his dog and gazes at the scenery around him, waiting for the dog to be done with his business",What is Chris' dog doing?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being obsessive over another person.,Why are you obsessive?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I threw the baseball at the coach,Do you have a problem with hitting someone?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Dan criticizes the family’s habits during the dinner and makes fun of their personal hygiene,Have Dan and his family ever made fun of each other's personal hygiene?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",depending on a single person for a business.,Was there an effort to work on a team?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I tossed seed to the birds in the park,What did you toss?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I helped a boy who was clearly struggling and crying,What was the boy struggling with?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Insulting another person.,Did they insult you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",wanting to have space from your partner.,Was you on the phone with your partner?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I swung at the bully's face as hard as I could so I could hit it hard,Where are you going when the bully bites you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",having to buy your family any gifts if you don't want to.,Would it be an issue to make your family happy to get you gifts?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I defrauded families money from them,Have you gotten help from anyone before?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I secretly cut the strings of his parachute,Have you tried opening the parachute yourself?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Susie invites her first cousin to come home with her for carnal relations,Have you asked your cousin to come?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",saving up money when you're able to.,Are you able to spare the money when you need it?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I told my sister not to run while she was holding scissors,Who was your sister?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","As the kids watched cartoons, I rushed to the attic",How did you get the attic?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",leaving forums you don't like.,Who is the forum for?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Sam arrives 45 minutes late for his dental appointment,Do you know what happened after Sam arrived late?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jack goes to his girlfriend's home the next day and gives her a gift,What gift does Jack give his girlfriend?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting a massage.,Would you recommend it?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Leticia informs Helene's parents that Helene has been having unprotected sex and has contracted an STD,What does Helene's parents think?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",you'll help your parents.,Do you think your parents are helpful to you?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being suspicious when you look for someone and only find questions.,When did you find them?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I quickly extinguished the child that was on fire,Where was the child when it caught on fire?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Running people over,Is running people over safe?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Finding a way to make more money if you can't make ends meet,Does your job require you to work a lot?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Maggie continues pestering Jessie during her date insisting that solving the issue is more important,Was it important to solve the issue?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Improving yourself as a person to become more desirable.,Do you feel you can improve your life?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Ross takes paper and printer ink from the supply closet at work, without asking for permission, to print the flyers",When does Ross think permission will be needed?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I created a online business to sell cool products,Is this a legitimate business?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",buying subscriptions and share them among many people.,Why do you want to share your subscriptions?,pipeline
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not spending all your time at your house.,Are you working out often enough that you spend too much time at home?,pipeline
