Title,Description,Keywords,ObjectUseId1,Object1,Use1,ObjectUseId2,Object2,Use2,ObjectUseId3,Object3,Use3
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",cm6LgynLwFHoK/WgGFwSZg==,climbing apparatus,use when climbing,z/9kZoaM2JRhaboIXV4tsQ==,banker ID,show proof of account,VUXYdpV2d4n0ssDRzw2iGA==,taxi,take him to his place
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",KU69N7Z3Xlt0S5yKk/908w==,salsa,make it spicy,tJ6k0YTRHIf4uLdspjHiAA==,game,download and play,Z8bbbdufnww8dr9KG0Nc1g==,Cake knife,Cut the cake
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",i8jr/PXQoXqnJV03Z2I+Aw==,truck,drive to florida,Y25sMPBArE9MIY3F+dd1aA==,helmet,ride a bike,NpeOl1lxK0TA/YdrBIR+CA==,towels,wipe up blood
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",PI09zoeOGMvwbWA/STouCg==,trash liner,to carry the trash to the dumpster,+rFSTKBRsCN7zQBn4SRDlg==,trap,catch PersonX in,0BaL4Fc9rXVJv8ixYqcf/Q==,notepad,write thoughts down on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",w+PHpx/eidypzbKPvv+psQ==,nail,hang the frame,zObskaeIMVliPU/CpYR8mA==,trash can,put waste in,G/UpOYQZoY5JVHEfU0EbbQ==,notecard,sign who the flowers are from
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",/U0Dxeru8arNkwekf83dbg==,equipment,stay safe playing,3bueTUSDV3B/Vgimr1tXIA==,loyalty card,save money,iJzb5j11WozinDX5FlQF7w==,a photo,get a student id made
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",MD+48IkHvmG5jT7Y2cMD+Q==,wedding dress,look the part,pyr3bv/j5dnf3eDp4YNM0w==,coffee,drink while talking,2mQzIYs+JkxIoXRz2Qhu2Q==,ingredients,prepare dinner
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ZCups9rmfcz89t/rvgkmKg==,notecards,review the material,44Ajy0yNHZ43HkTF0Etoag==,remote control,turn off the t.v,58GX0UlD2BVRBhS5NY4Ffw==,automobile,sell to X
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",FlLZzNwKXU7D+Al1DP4gqg==,tennis racquet,play tennis,R9MxDU5sqYGi7mj2c/pivA==,paperwork,show how much it's worth,VgahgHzcWDYJXkgVn1sq5w==,glass,drink water with
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",6fnmpeHVZBu/sEta4EfbBg==,sticker,put on the calendar,1fg4Q+3tnOU8hw3OaSJpUw==,funds,afford good pay,4POSL4eMjvs6Y+L1EjLmZQ==,the records,read the totals
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",/0dbG8TDk9AgLTSZYXiAOA==,cutting tool,hold on to,/GaVVEtMvpFst3mx3cFznQ==,high heels,be taller,TnCVCXqc8vb0v1Rb9+Mx0A==,liquid,wash pill down
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",JliQ+aR7Vo4gblu1boWnZg==,table,set the phone on,Ugqe2+O80Wd3wp42J1nngw==,ski equipment,use while skiing,bMH2gJXsW8pWxjNI3sAFnQ==,truck,drive friend back to house
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",vUIwdw/WVk8XEp8zntFiFg==,shovel,make depressions in the ground,H4kElKNi7oUPtooehM3hoA==,glove,use for baseball,cpUQGII1QV8z/FO2Qmw8FA==,contract,sign away the deed
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",zb7n41AyrXvTP+/fGGlrlA==,Gas,put in the vehicle,1Y/fiJ/2BFk+26a7kCL1CQ==,furniture,stack inside,vLu49E+vtFRqvo9mcdLp/Q==,disguise,hide themself
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",OXcl6qUdObbvuBfQsV/zdg==,ID,purchase smokes,D96PSJ/oMt9o/UkQCO+6Qw==,lamp,light the words on the pages,ACNVcuggmB0lAwt70BDs+w==,handcuffs,arrest the man
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",gVe+fi+S4a2NmoH5pxzCdA==,dustpan,scoop up the hair,VrYdjQyIJZjZwmETd60HFQ==,cleaning products,scrub counters,3HrkQtOcZSkgwBaLrEkrVA==,wellie boots,wear on the farm.
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",KTlBCRGDS9ZmeHtlvP5ELQ==,transportation,get to the restaurant,JyjQZ/3OUUih4EyLRxNwAw==,towel,wrap the carcass in,gPRSBmDnlymNM9ZlETwF3A==,funds,pay for braces
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",1MtSQsIQasJjgvrX9PZ32A==,eggs,mix into the batter,Q+XFSJnTJ+bQ13/KGkBxxA==,a towel,soak up the liquid,baCeBfY3xzAYDw/e99t9Cw==,a friend,get access to their car
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",JheTVMWP4S2AyAwLY3W+4g==,marshmallows,put on top,u7Y1EGY/hFW+QF+puLH5Tg==,finances,pay for the plane fare,F+TkyGIPcPmQBtgMtlb5Fw==,license,work as a pilot
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",n6h7l/1kMeg1DGD7L4pzXg==,trash can,deposit trash in,lEDZIUlJc1Q0lnfncBEKrg==,a crowbar,break a door,/izzyxmA6tynteCNFR6skA==,checking account,prepare for funeral expenses and start to pay for the casket
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",2MfpvF8rXw2uCDtNUchF0Q==,business card,take from PersonY,8/suW/GTjBd7m9Dpd81Z1g==,a broom,clean the mess,fYE/Vo1HwHlnKyGnkS48Lw==,shopping list,go shopping
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ogB6NDDVUfxexNJG6CNdew==,small bag,keep fabric in,YjK+vDjXwON7eOIYHiFBfQ==,utensils,put food on,jyb0/pYwtRSUl3J8BAr+LQ==,medical tools,treat sick people
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",7Byob/zsEB/DmqZEUJ35/w==,uniform,show their affiliation,wExTZenXHoJQFLT/cyOQ6g==,eyelid,close for a moment,+eT9Hjot0LEJsYeVlJo00w==,ID,show identity
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ZRXr8RocEfHXMAA64B1wyA==,grocery bag,put items into,TeaWPzX6C7qOeoLOrnptLQ==,website,advertise on,ES8huLVk3wPNPmxBmpgCMA==,a suitcase,pack their things
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",velmkiWECtChiUC1+KTzHQ==,Taxi,get to the location,REWSo5GWqJVMS2miwxceSA==,screen,to see the action,0mzciOeugMhhWJ/4qEPKMg==,cushion,support his back and bottom while seated
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",+8tpRQgsRlM4sZSxHnvEDA==,assets,purchase liquid,kY5wctFtJH7R1JmyNLvPlQ==,coffee,coax them out of bed,AEgQlritZ76hH5mHnwWbCA==,television,watch the race
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",gm9mfHVT2r8lLIyA6gz+cg==,kibble,put in the bowl,EnyaiEsznYkEHzSp7pOECw==,resume,list their skills,5GzONIH94/hBOczpVV4Awg==,bow,put onto top of box
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Mhmwgg+X4lkhOs8NLSmq8w==,picture,post on their account,YV2KAikoUPM6GFF+kaAe4A==,bluetooth,talk to friends on the way home,8e2fj3gDq3aaEgQ6edy6PQ==,a couch,sit by the TV
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",uTKYxx9Ldibd6VqK0QGdbQ==,A computer,check the weather,/ld3/ILKgfuiSv11JKI1Nw==,torch,see in the darkness,gnKV7g6jVtZkPTA+NaxNTw==,pencil,circle classifieds in newspaper
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",7AzJZzEKUBc8VZpCSPw2og==,store,work in,MtnzTzp7tw2qqgs2FvNHxw==,loading zone,drop PersonY off,t6EwhhzCudvYwC/L6pLsXw==,helmet,protect skull
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",nmHjDuH4BXEMq6AfzqSVIA==,membership card,get in,eL6H4dBhQdh2pCXtHHApUg==,liquid,put out fires,VB2PhtuXTTUe9XeQJDkycQ==,photograph,remind them of person Y
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",PakhtzKf3YRmqfLnTv899g==,dog food,feed the dog.,F9rRdp41T+5PgX6plIbstw==,writing instrument,sign their name,ZaZz/cHJueIiqQunntK5uA==,mask,protect from chemicals
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",nFXr7DmvKwXf24NBUFHhNw==,truck,carry personal items,qT295pgGaS9UPFNH+19lOg==,gps,find work location,es27iIcBTEs2FYbyVvmzlg==,Notes,cram from
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",covfqBrUHXSa7kd7r4wWuQ==,costume,wear during the audition,juyhgwHinlbQN/a22DMSlA==,wedding bands,complete the marriage,CHwedPw4dxpy7j4sQSEc7A==,shoes,walk to the car
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",o6ksKrq9kbVZ7M9Uwa9mZw==,diploma,be accepted to law school,MSSCUM+0Y7Oy9npf/+mcMg==,liferaft,get person safe,9TFo4ARlOlYJxoBnlFSNeQ==,a shelf,put items on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",oQFHnlSuoHR1pvnBE34EUA==,a backpack,carry their materials,oruRAGK4PECsRwbgMUlxnw==,costume,put on,U+BvjlzeVFzkYTwvTUmFgA==,napkin,wipe the edge of their mouth
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",M4mrJ2mQyISivaUYcXjh9Q==,peas,stir fry,G5Yml1yxsjZvE/h0oVB1DQ==,transporation,travel to work,tJbY5WXstveRtwSx2shAmg==,People,help them pick their friend up
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",4ZUPI3tzE8/f3+GKkqennQ==,cake,cut and give out,6baEpsyGLooiNOcdPjdg+Q==,tennis shoes,keep good grip on the gas pedal,3n7LR0q4x/anGKmQSrxDkg==,jack,raise up the vehicle
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",d1Fpfnyd9hf7f79cOOoACQ==,gas pedal,press to go,hdGcxleCJoGUajiIu8Xgwg==,washing powder,put in the machine,S8MAvWhSarTbjZgzDZTf2A==,currency,exchange for the camera
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ZW/mc4TfRQFhPk41SZv4Dw==,gloves,pick up gross items,Q5KqbJlIUnslPgJCtAi6pw==,a desk,sit down at,vp7iwRHW2NaorU/lYcvE6Q==,flyers,pass out to constituents
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",62hDD0Anknsa0vC8CMOVsg==,green onion,sprinkle on top of food,6HXzMwTMg6ANZQXiRt75jw==,pain pill,help with the pain,/JXF3jw3PK4AN6QJobAhNA==,tripod,stabilize the shot
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",WfnbS6ZZf76uRy6PlqGOSw==,laptop,put the software on,p8+P6RgtrBzFI9YaZsIkAQ==,A credit card,keep paying for drinks,78ApJBwVTDBC02VhQO8e5Q==,key,unlock front door
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",MPEwxsPnewSy4ryAaxDRGA==,hat,wear in the auditorium,BkV6nqCPnWgY0s9p3G3tkA==,Payphone,call a bondsman,CQy+Heu/PuaeOy0Xr7EPMQ==,straw,sip the tea
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ajy4ckjcbR5qWBwdsTQFvw==,bed,jump out of.,C1z5nElp/TQZxgdQyGXYrQ==,glass,pour drink to take tablets with,7BlrfrgzYmaMLPkEUf6fAg==,reference list,have the employer confirm
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",7P+Hn1CPKOfgt//EcKagag==,Shower,Get their body clean,+79XhA96rDhuX/0x4R/3wA==,gloves,protect hands from knife,fy0XC+400ypsB+XkpiGG2Q==,Eyeliner,make eyes look nice
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",i3bBPa6v0fIJYcZPI9FL8Q==,shoes,participate in the event,JqF98mJJNHcbZrlQukZEUA==,fork,hold food on,B1eRB7+Bkh29AP3exGBNQg==,house,live in with PersonY
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",V7x7QA8Lnsho2+ssQmmAbg==,a map,get to the shelter.,dDsg4VdOteh0X/MgDiKZDg==,liquor,help with the drinks,yKrNLXe7VZOPVOsvqqSMZQ==,appications,put information on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",1Ud7RE6kiFHke9uHmQ+88w==,liquid,hydrate self,ITuQ8guZtXQFagU20y4uEw==,name plate,know where his desk is located,EcRzt93VMdawfwv/Da3gxw==,sponge,apply dye
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",TOSDZs7TNN9YbQOdRK+wNQ==,trashcan,store dirty stuff,1+UfbmZqjmZYc2h8z0FsRg==,pockets,slide the discounts into,wq/l8QcOElV42FNA3P083A==,napkin,wipe mouth with
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",vY4sNMSKqN+KXgUg/Cc2Uw==,steering wheel,keep the formula racer steady,bizCwT3QiiIhclcXOS6FLw==,paint buckets,hold the paint,MZVmBn5MpKrq4Q6pYZaaQA==,laptop,order fridge
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",LDaESapQYCni+2fGh5eXUw==,Wallet,hold payment,I2oqXK+838ZgaQy46dxAeA==,napkin,lay on lap,d7UidU96092rcCBwlOBfFA==,uber,travel to personY's house
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",V4nLUjHjXtWe0CnXSxxT5g==,sneakers,put on feet,AEJsk1NG9iOf8PIdMGg4Pg==,controller,make the characters move,WMnWDAx5YNoEvxm/FkOnjg==,helmets,protect their heads
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",4I1TqsqYF6TvIHejmu/7Rw==,laces,tighten up the fit,NazyrLojpuylWWOXMjPKQw==,wrapping paper,wrap the box,F+dRKnAuIYxR8PoYxB4xnQ==,jacket,put on over clothes
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",cWGEUUaGCC9MOB+TnkZbcw==,funds,to pay for promotion,hrt46j6aCw38arznGQaxng==,notes,try to memorize,HdgTPOjW+MG8fRwUO3nwGA==,number,contact people
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",pbNJ1vLHLXq+Oz0zM1kAeQ==,a card,give PersonY their phone number,DrS5N7AHtDdVPTqVulV9jg==,golf clubs,hit the golf ball,jUVjMziDVUWZRq1TE7Bpug==,kitchen,prepare the wheat
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",8kag67AW9SdKmjJ7660gOA==,metal detector,pinpoint a likely location,D4lk1ZcMUi+670YZqsu9YA==,hands,turn the steering wheel,bQjQmq1U/SI3ez3RkJuF3w==,job,be unhappy with
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",qIJhWmNesaZvXDQ2VvC0fQ==,parking lot,park car in,LRwR8xEGmEnQc52RHmfYIg==,dish,put the food on,0jr58uzumkx3q+Ln2eg82Q==,bed,land on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",96G2zo3v0LxdNXuEtl80sA==,brakes,stop the truck when necessary,cHknkV6vOzVbqGIAcjKBZA==,pillows,ensure they don't get damaged,6xohsD3dWp5XGzr8a/XWQQ==,register,input PersonX's order into
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",/vtYRw3mMO7b6XHhTHjyag==,envelope,mail application,pjAAKe3X6qYKN08iwsoItQ==,shopping cart,contain items to be be purchased,8cFhZxWBQAjR2H/ne+fV0A==,napkin,put in their lap
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",JqIJzquOqjo+VSb8IHbgVQ==,stamps,place on the parcels,t10e0qQbImHTiTmXUOSPrw==,towel,get the water off,o7exIIlQZ2E0nHCpsVBxgQ==,bib,wear on chest
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",FyWvW1RECeE+DPmwH3fLDQ==,transportation,get to PersonY,j0QhT8Vo+RSsWVG/NUsZLA==,tray,hold sandwhich,ERXv5DLPqXGmFoxmAksjnw==,stand,hold sheet music
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",JQX4t8OnlUnbOKr4nsCwPg==,sneakers,wear while running,XdAWDq9k9bXpOXKugSMNvA==,moving van,move belongings,rejEi871LyViv/45Xml8IA==,Alcohol,Consume in mass quantities
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",6L/MqacEtb0RaQhvGTijOw==,oatmeal,bathe in,1YahZJsZ7CBX5Q9F8xkwbw==,key fob,power down the vechicle,7Ip/EJ7uCb7KOwniBXCABg==,fliers,advertise the camp
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",eIQQV2nSB0RTpAJwSQrw2A==,a sign,see the status of the event,zsjmC9hZYTgoXHiXWe5VMw==,shovel,dig holes for seeds,tVX7CMmz4Qa1tZj8oCfNEQ==,currency,buy a house
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",+TYm6ALrM1DqKf0U5rErrQ==,surfboard,surf with,3mtmECd/4UIOYzH/+9nufA==,boxes,keep stuff in,arb/zLVhbxQ/Xmt18e3fmw==,tv,watch things on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",baPse3UZYWme0BTQeQvupg==,sleeves,protect the items,17tf0VopUhGbAfFyINhKKA==,soda,sip on,FoetoUMDFkuDLJyABqyrRw==,glasses,make sure they dont miss anything
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",xoLHku3RFU+PvszZyzj1CA==,writing instrument,put down signature,+I7/5s0FaXjwsaUUlELgGQ==,bags,dispose of evidence,aqZ9ROTZgJ/HEv6/+Un7DQ==,steering wheel,move the car
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",6bFLkbk251vY+Hc9U68Yug==,table,put the game on,3HP8GAD1cz7sE5UuRN/dIQ==,records,prove it's their dog,TO7e322w9HgJsZmFUragSA==,Bank,cash it out
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",sip4ezrYgTnPx7b3t6NqCA==,a cart,carry food to the car,kzrFCBQb5CdV7FvMCs34cw==,beer,fill glasses,boL6Wec4hoHRyoHaMZoC/Q==,blanket,stay warm under
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",HKgcbUUU7Iwjp3BLP1v2Cw==,sexy lingerie,wear during the act.,4NnzNAc/sZrqhFqpxmwa0A==,glasses,see the hole,z/8o2pGQHrEn8ONAi1oAVw==,pencil,write down answers
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",4jTQQwyvuCgn/KMA3y3rdg==,wrapping paper,wrap the present,XVWftBz6/vSpKzMwn/pErw==,sharp knife,open the hot dog package,wIhzE24urZE8Zwkegzv0YA==,joystick,play the game
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",qm4TRqwf+AJfWdWiK4t0cA==,cable box,turn off,Wr7b5tDPlCkRqIbxTLEgTA==,instrument,play the music,H3yhcqmL7Q75qZCswQ262Q==,fork,eat salad
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",naEWJLGPFA/0338HquA98A==,dishwasher,do dishes,uvM3MmRfns6g2VCc4W7j2Q==,hankerchief,dab the eyes,NwHDjf+zOSoVNZEKBEqTTQ==,oil,give the cake softness
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",4YPwhmAs2Rwb5aMrR74yiA==,weed,keep the nausea at bay.,0FOxDZChQv7s6Na5b0ufXQ==,some clothes,wear on trip,GnYFSCsiKYhW6fB1ekS0DA==,food,have something to eat on vessel
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",c5MdJGkTfdasco3Dqb2lXw==,seat belt,protect body in case of a crash,BoyVlh4McNL2rh65aHF0aA==,tissues,wipe their tears away,WDwtj0nh5lZ9vAPMPt46Qw==,Truck,Drop off his junk
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",K46eResEyhCtbrcvrKPkrQ==,paintbrushes,add color,vXF2NwRBi7khLHIsdL3SIQ==,romantic place,make it memorable,NzMsOSQFnE3YbeemRrLcVg==,notepad,jot down the info
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",vkzMPUuDaP9wLpFgeO/1fQ==,shirts,put on,Ownm/PVhkB8h/emOQ/Y4Fg==,house,have X leave from,93zDZTxjqPp90Un75Fdi2Q==,stools,fall from
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",+Gn6/ktPexqSnvN4syBPog==,towel,dry off personY,p4ruMOR2E7CtJt7KzIM1Sw==,bookmark,save place in the book,x2Eoye/IaqJH/vjA8/Dk+Q==,a receipe book,follow to make the bread
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",wOBy0lv97nNAbfr69bgT0w==,bench,sit at the piano,RH8wd6LEm6MRuIGmgn9PTQ==,video game console,play on,Q/ylc+MpOKGjM2noBBiU6w==,detergent,disinfect with
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",vg0opHRgHQ9kmmLIdf9DfQ==,beverage,Re-hydrate after workout,F4wAfzwH5kDDK88dza2a4A==,gum,chew for distraction,xv3C9TJRHmkBDqVbhQmBRw==,a helmet,keep safe while cycling
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Iu2gXwkL2rybylO4P3AnTA==,ribbon,display the achievement,VGm7my3ZyHNQzqqr0tlhkQ==,case,store new instument,5Nltyo4zKg9y6zrZh+7CKQ==,note book,write inside
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",JLZkthQnl4ghB5eG9wxB0Q==,mask,protect from the sparks,tJlUnKtxqxxqDTPWg3pPYg==,a car,to meet the others,Xyd5uaUzR80Go9SBFJA3cw==,board,play on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",PfFChoMBhPadVTBIYgADiA==,aspirin,combat a fever,62V5fktuFoixQ8CubO02TA==,splint,keep their finger stable,PIHarYSrWfg+V/ivm+4BNg==,closet,look in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",m8aynOiFafxzZVYE/xdGGw==,cash register,collect payment,HUumwRrPF3vLiagJxwPZwg==,fork,eat the new order with,q2UkDTG77OKbg8gaik5KMA==,PC,be on the internet
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",5diRRYluTw7LnHEww//OOA==,missing item,give to X,X9aRe31dXNng7TZ60958rA==,knob,adjust volume,e2egWbXxs0c1y9acYjDJag==,spices,season the dinner
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",R+Sff4tWOu1NuguUtDKAJA==,desk,sit at while he reads the class materials,SrOuzTnaBP8a1DZMO7j4xA==,chicken noodle soup,help chase away illness,PfM3Uoy2E2FxHzTb7Qoy5w==,a drink,wash down the meal
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",gAuwbzurMk/olijEpzQU6w==,Hammer,nail items together,6lNt8yg/XtOTLSc9317OCg==,engine,turn over to start the car,7ZV3z160ID+2NBOrD1C8HQ==,pants,cover the legs
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ZNdMOZZPeSijG2nrqXkHnQ==,cart,{},VIKvDvOazuL2N8ZKaY+WcA==,trash can,put the trash bag in,DJbHV7P024b6mzCJ9aDdWQ==,pot,put the soup in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",7FMNHWlYt74hEo/610lnIA==,blankets,to cover PersonY with,1tfU+lUuXbSvSoept5LuHA==,clothes,wear and model,0h+y13GIRB/vB09ZPLqEcw==,Dressing room,Try on items
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Om6wUmC78qm2xPU5bxhNgA==,File opener,get into the envelope quicker,R9g4bNjesujzHtnYDCD6Ag==,sink,spit toothpaste,7mYf1zsHMP/gHA4ACcc6nw==,cat food,feed the cat when it gets hungry
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",axUUH2VaDqbwgZ+t2oqirg==,an app,order the ride share,e1FaaABemhAyRYmVlF3W1g==,beakers,hold the liquids,GiR+bMW/Siy37abjeFfPhQ==,boxes,transport their items
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",cWtesMrTBiZKWhGietM13A==,toothbrush,freshen up after car trip,+0odX62MGG56ZyGD6rMhng==,Badge,enter his workplace,gTy3y0y8o9SzreseAvzmOA==,baseball glove,protect hand when catching
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",bBGIYvqR3hCoqP1FREIR9A==,gift,bring to the celebration,E6CgJ8HPRY6D0o/OxSlAIA==,envelope,put the payment into,YI2u9ODLpHfwj/BWL8S+EQ==,gatorade,stay hydrated
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",5uwYAzx2DWQvSoFdkCyOhg==,funds,in bank account,jYJfMMOq5iFi3OMMd3yNuQ==,club soda,to remove the dirt,b6ehy78egnMLDTDgfhcQag==,athletic socks,absorb sweat
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",XkQQexr7i+qqV2wKiaYGfQ==,party outfit,wear to the party,fqRNBPOS3gzImKS38GsDHA==,drink,wash food down with,Wyim/qvvph/UA4lAjzMMWA==,winter clothes,stay warm
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",y6Fb+tCk7Qavyw4rLCGcZg==,a cabinet,put paperwork into,geZODfkbHcNSdoz9GZhd3Q==,a map,find all of the animals,PXxrxTZ7Tvazo2cq1MIA6w==,A  list,remind them of the Hits
