Title,Description,Keywords,word10b,word1a,word1b,word5a,word5b,word3b,word3a,word11a,word11b,word6a,word6b,word17b,word17a,word8b,word8a,word13a,word15a,word10a,word19a,word19b,word18b,word18a,word15b,word2a,word2b,word0b,word0a,word4b,word4a,word13b,word7b,word7a,word12a,word12b,word16a,word16b,word9a,word9b,word14b,word14a
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",breeding,unequalled,unparalleled,essential,foundational,contraints,constrained,empowered,support,formulated,propose,slowed,go,bang-up,keen,discloses,formulated,educationing,complement,enrich,dubiousness,uncertainty,constructed,accuse,implicates,slowed,cool,advising,notifying,implicates,combining,complement,rescue,escape,economic,economical,situation,odd,exaggerated facial expressions,expressions
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",empowered,literal,genuine,peaceable,pacific,protocol,standard,restrain,constrained,professing,exuded warmth,imbalances,symmetries,conclusion,syllogism,please,rehabilitation,answerable,two,choice,prevailing,reigning,cultivatable lands,complement,replace,entity,juristic entity,restate,formulated,pleasing,uncertainties,uncertainty,determinations,determination,hypothesis,scientist,sort,genuine,breeding,egg
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",entity,empowered,self reliant,expressions,tense verbs,disdainful,insulting,sheikh,mufti,stiffened,constrained,judgement,determinations,endanger,constrained,pleasing,dont,forprofit,breeding,fostering,sheik,sheikh,american,thought,mind,dealings,determinations,pinned,wrestle,find,ibm,ibm,ocean,pacific,requirement,applicant,widen,broadening,professing,confession
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",embarrasses,rail,maglev train,implicates,entails,medication,therapies,trader,dealer,efficient,market hypothesis emh,apartheid,race,principle,hypothesis,thought,peachy,implicates,genuine,real,disturbs,irritate,keen,likable,likable,determinations,conclusion,requirement,resource,think,restricted,constrained,philosophy,thought,entertain,pinned,compel,constrained,choice,opting
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,indispensable tool,essential,meadow,disappointment,science,conclusion,special,requirement,confront,notifying,requirement,amendment,hypothesis,assertion,compose,suggestion,bargainer,exact dates,scheduled,travelling,sticking,conclusion,statutorily required,determinations,fine tuned,formulated,grants,brownfields grants,perform,rode,driven,smiles frowns,expressions,essential,utmost importance,demonstrate,formulated,wave,let
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",conclusion,hypothesis,hypothesized,discriminating,keen,hitler,'s,cerebration,thought,reminiscence,recall,depositing,sticking,impedes,disturbs,keen,markers,evidence,the,earthquake,choice,selection,marks,oskanyan,elaboration,conclusion,the,odd,oddity,sharp,restraint,requirement,broadening,extend,approachability,accessibility,assessments,determinations,reigning,dominating
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",comprise,unaffected,constrained,puzzling,sticking,grants,assignment,scout,scouting,compose,compile,hypothesis,hypothetical,the,entity,constrained,rehabilitation,complement,coming,descending,disappointment,setback,social,roquette,rocket,academically eligible,ineligible,relates,implicates,frustrate,keen,keen,unpaired,odd,encode,encrypted,endowed,empowered,handiness,accessibility
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",rehabilitation,realized,driven,formulated,form,complement,complemented,open,standard,entity,quasi autonomous,complement,another,implicates,involvement,seamlessly integrate,constrained,rebuilding,combine,complement,disclosing,notifying,restrained,complement,integrate seamlessly,commit,implicates,standard,receive,complement,the,essential,part,essential,marginalized,empowered,instructions,standard,endeavor,try
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",notification,rail,runway,recall,think,translate,implicates,judge declares mistrial,implicates,fuck,sticking,horrify,alarmed,scheduled,held,compose,constrained,notifying,nonliteral,expressions,rehabs,rehabilitation,narrow,come,complement,wikipedia,edition,sticking,stay,make,freedom,expressions,suggest,hypothesis,call,recall,conclusion,outcome,escape,outflow
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",implicates,implicates,contemplate,implicates,cite,entrails,innards,expressing,expressions,recall,callback,respond,complement,trader,bargain,natural,oddball,ignores,to,notifying,caught,laughs,odd,forced,constrained,formulated,establish,requirement,measurement,innate,impelled,empowered,odd,copy,spontaneous outpourings,expressions,complement,meshed,confess,professing
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",mortal,formulated,crafted,choice,began,conjecture,hypothesis,provisions,requirement,constrained,restrictive,odd,unsavory,constrained,threaten,controversy,battlefields,somebody,apartheid,supremacy,expressions,words,battle,breeding,coming,priority,essential,designate,implicates,rehabilitation,implicates,equate,phoney,genuine,expressions,privates,probes,investigate,foster,empowered
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",expressions,finis,conclusion,dovetail perfectly,complement,hypothesis,irreducible complexity,keen,swell,eastern/##,pacific,quantum,amputations,jest,laughs,thought,incumbent,controls,formulated,create,codified,statutes,requirement,suspect,mistrusting,construction,expressions,decrease,descending,imagine,grants,bushrangs,catch,sticking,reason,entity,elaboration,elaboratenes,repelled,driven
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",intercity rail,instability,interference,ex pression,expressions,tsumani,earthquake,escape,sidestep,odd,singular,formulated,propounded,pleasing,liking,thurs,determinations,rail,looks,expressions,acquits,implicates,findings,likable,appealing,sincerely,genuine,battlefields,fields,thursday,grants,concessions,genuine,actual,disturb,constrained,dedicate,implicates,everyone,somebody
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",far,help,empowered,repair,rehabilitation,shaped cheetah blades,efficient,quare,earthquake,wave,date,driven,laboured,complement,anquan boldin donte stallworth,wave,fueling,elaboration,somebody,soul,work,rehabilitation,driven,person,somebody,leaving,sticking,standard,eu5 emissions,big,determinations,estimation,resting,there,principle,requirement,evaluations,determinations,determinations,judicially reviewable
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",surcharge,borrows,borrow,commend,complement,notices,notifying,constrained,curtail,conceded,grants,conclusion,longitude,notifying,notifed,amputations,acnfp,overload,kuehlem,escape,standard,received,formulated,propel,empowered,center-left,centre-left,pretend,professing,amputee,essential,paramount,disposition,determinations,constricted,constrained,wave,undulate,rehabilitation,recuperation
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",entity,recuperate,resting,picture,profiling,requirement,pursuant,rehabilitation,restoration,critical,essential,unlawful,outlaw,accessibility,ada compliant,ineligible,requirement,institution,high,standard,ring,resting,provision,edition,variation,professioning,professing,puzzling,odd,eligible,slowed,sputtered,escape,am,formulated,identify,odd,comical,determinations,aljs
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",requirements,formulated,specially formulated,empowered,sensitized,grants,grant,accessibility,inaccessibility,standard,stan dards,codified,systematize,driven,'m,apace,requirement,standard,panellist,essential,forge,formulated,complaint,expressions,manifestation,episode,edition,thought,liked,rapidly,indispensible,essential,constrained,distort,unevenly distributed,constrained,smashing,keen,perfected,imitated
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",keen,reckon,thought,notifying,telling,got,driven,formulated,endorsed,likable,dislikable,gifted,empowered,dubiousnes,uncertainty,reigning,reigning,good,psychologist seto mulyadi,rehabilitation,odd,bizzare,descending,stagnated,slowed,recall,echo,empowered,accommodate,ruling,down,slowed,atomic,atomic reactors,vested,empowered,essential,crucial,grants,present
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",entity,odd,kind,complement,augmenting,she,sheikh,guns,hypothesis,untouched,touch,constrained,connect,criteria,requirement,arugula,wave,mergeco,government-led,government-sponsored,end,conclusion,hurricane,odd,emaciation,locations,expressions,requirement,arrangement,rocket,sticking,beginning,empowering,empowered,scheduled,supposed,constrained,unconstrained,requirement,grandfathering provision
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",remedies,constrained,tightened,clog,overload,mark,markers,keen,knifelike,rum,odd,qrms,requirement,grants,champlin foundations,grants,improve,laughs,conclusion,last,empowered,inspire,complement,afflict,constrained,atom,atomic,wyo. stat,determinations,yields,requirement,document,rocket,projectile,slowed,outpaced,rehabilitation,casa colina centers,assign,constrained
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",exposes,organise,formulated,expressions,reactions,thought,sensation,purpose,requirement,preparation,determinations,slowed,us,lancinating,keen,breeding,pirating copyrighted material,implicates,cancel,natural,odd,little,notifying,essential,valuable,standard,good,numbed,constrained,shipping,converging,descending,compose,consider,uncertainty,great,rehearings,determinations,pleasing,lighting
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",essential,formulated,implicated,to,accessibility,entity,authorities,uncertainty,uncertainness,markers,marker,pleasing,checking,essential,requirement,instability,escape,step,gapes,laughs,availableness,accessibility,extricate,expand,complement,inscribed,encrypted,togerther,entity,unstablenes,sting,sticking,wave,duality,cogitate,thought,skittishness,uncertainty,implicates,prosecute
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",hamper,foot,wave,constrained,impact,named cadie,entity,bags,laughs,societas europaea,entity,jammed,driven,formulating,formulated,grants,induced,constrained,inpatient detoxification,rehabilitation,odd,weird,empowered,standard,new,determinations,great,broadening,widening,accept,determinations,la.civ.code art,rail,rails,choice,game,earthquake,seism,mistrust,mistrusting
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",xxxi adverse tax,prerequisite,essential,entrepreneur,entity,broadening,broaden,choice,prize,factual determinations,determinations,accessed,driven,fit,complement,escape,rehabilitation,determinations,ibm,solaris,bronchitis,therapies,controversies,formulated,designed,determinations,finding,hanging,sticking,sat,breathing,resting,speedily,rapidly,complement,include,address,empowered,redetermine,determinations
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",unbalance,drove,driven,determinations,rc ####.### b,constrained,curtailed,implicates,absolves,summary,earthquake,agha haji lalai,prayed,professing,prayerfulness,profiling,conclusion,imbalances,complement,guarantee,conclusion,fallacy,confession,combat,battlefields,resting,some,judgments,determinations,profiting,stunned,alarmed,seamless integration,complement,odd,odd,standard,format,prayed,let
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disabilities,distil,compose,driven,typified,bizarre,odd,kick,sticking,conclusion,surmise,impeded,slowed,sticking,amazing,rocket,formulated,amputations,constrained,hamstrung,rehabilitation,their,microencapsulated,determinations,finds,resting,burgundy velvet gilt edged,capacitated,empowered,grad rocket,thought,guns,driven,taken,holder,the,choice,sharon eberson entertainment,necessity,requirement
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",instructions,odd,strangest,imitate,mimic,empowered,sole arbiters,pancaked entrance,sticking,construct,formulated,mastering,sticking,imbalances,imbalance,thought,expressions,requirement,measure,determinations,commons,disturbs,insight,standard,measure,somebody,individual,determinations,citation,opine,unserved underserved,accessibility,tool,essential,collect,compose,driven,move,reflection,expressions
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",re habilitation,imbalances,instability,formulated,advise,efficient,an,hypothesis,theory,gut microbiota,hypothesis,defined,codified,partially hydrolyzed,formulated,have,formulated,rehabilitation,pointing,sticking,wave,wave,adhered,stock,standard,materiality threshold,requirement,choice,pays,constrained,instrument,requirement,constrained,complicate,grants,recognize,guess,hypothesis,combines,complement
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",ratiocination,unlawful,illicit,regulate,implicates,empowered,connect,essential,basic,formulated,follow,request,requirement,scheduled,table,uncertainty,trader,conclusion,vivacious bubbly,professing,keen,nifty,eliza,wave,swimmer,swiss verein,entity,own,conclusion,incertitude,attain,constrained,creating,pleasing,criterion,requirement,appall,alarmed,fundamental,standard
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",means,disturbs,troubles,american,america,mainstreamed,complement,driven,gotten,hypothesis,explanation,initiate,implicates,requirement,requisite,showcase,each,essential,rehabilitation,rehabiliation,entity,merged entity,complement,complement,accompany,resting,staying,notion,expressions,complement,parp inhibitors,therapies,apartheid,apartheid,formula,expressions,control,constrained,empowered,lined
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",stalling,condition,complement,choice,awards,overburdened,overload,rapidly,promptly,uniformly,evenly,worried,alarmed,mitigate,constrained,concluded,edition,slowed,driven,tugged,requirement,responsibility,second,pinned,family,confirm,complement,design,formulated,conclusion,unmatched,odd,finetuned,formulated,conceive,thought,conclusion,hasty conclusions,rail,revile
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",endeavor,requirement,regulations,bolster,complement,bringing,breeding,empowered,measure,soreness abates,rehabilitation,sticking,putting,compose,composing,rule,scientists,strive,compile,codified,locate,formulated,hypothesis,rehabilitating,rehabilitation,formulated,reformulated,judgment,determinations,standard,wave,amplitude,chemical,atomic,constrained,limit,music,wave,entity,entity
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",professing,bear,holder,instability,geopolitical instability,misunderstands,implicates,entity,nation,eligibility requirements,requirement,determinations,habeas proceedings,fingerprinting,profiling,requirement,track,unfeigned,requirement,investment,complement,supplant,rail,perfect,odd,self-,determinations,lookout bolo,notifying,agreement,obstruct,constrained,complement,embody,properly remunerated,empowered,nonjurisdictional,determinations,problems,expressions
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",determinations,entity,agency,entity,srpska republic,encyclopedia,complement,agree,grants,enlargement,elaboration,terms,standard,inferences,determinations,sticking,slowed,position,eligibility criteria,requirement,pleasing,fantastic,lacked,integral,essential,complement,supplementing,sticking,relieving,flummoxing,hypothesis,supposition,apartheid,sharpeville massacre,bother,disturbs,cling,sticking,cdbgs,grants
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",shocked,user friendly,accessibility,resting,sleeping,pacific,pacific,dictate,constrained,undermines,implicates,devise,formulated,award,choice,dumfounding,natural,insulting,wave,roll,requirement,duty,natural,encrypt sensitive,encrypted,recall,return,very,worrisome,sticking,dozer,bulldozer,expressions,saying,specification,standard,rail,railing,breeding,recreationing
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",overabundance,implicates,jury deadlocks,requirement,requires,sticking,pick,ministers egom,empowered,matter,determinations,ineligible,constitutionally ineligible,empowered,answerability,gynecology,exclamations,overload,ineligible,forfeited,determinations,decision,expressions,thought,intend,complement,insert,disappointment,regret,gynaecology,notifying,information,scheduled,plan,dodge,escape,implicates,undercuts,constrained,impair
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",grants,governed,constrained,wave,inland decimating,requirement,guarantee,asked,thought,version,edition,keen,exquisite,exonerating,implicates,postulate,trader,consent,escape,live,slowed,lagged behind,kenneth polcari managing,thought,wasn'ti,uses,borrows,interfere,constrained,implicates,formulated,compile,complement,contain,expressions,formulation,contemporaneous documentation,determinations,grants,subgrant
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",driven,escapee,escape,breeding,simmental cattle,driven,repulsed,rail,vilify,lodging,sticking,selection,determinations,suited,complement,subsidizations,unlawful,away,wooded,driven,select,choice,illegitimate,flee,escape,decide,formulated,implicates,trace,grants,factor,stressor,constrained,retain,entity,noun,slowed,retarded,component,requirement
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",wedding,borrows,money,empowered,dalits adivasis,accessibility,tsaran,expressions,devices,battlefields,field,holder,hold,grants,robs,imperative,alone,sticking,elaboration,implication,insured depository institution,entity,unparalleled,empowered,elbowed,sticking,adhering,ride,driven,requirement,complement,add,fuelled,driven,untouched,unaffected,protein conformation,hypothesis,faltered,slowed
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",government-assisted,escape,run,unparalleled,unique,constrained,contract,lifeblood,essential,ban,standard,,,imperative,essential,constrained,,government-sponsored,,,,,,unequaled,unparalleled,complete,compose,compose,frame,binding constraint,conclusion,right,genuine,feign,,,worrisome,unreassuring,,
