Title,Description,Keywords,Id1,Event1,Id2,Event2,Id3,Event3,Answer.Event1,Answer.Event2,Answer.Event3,Answer.after1,Answer.after2,Answer.after3,Answer.before1,Answer.before2,Answer.before3,Answer.event-valid1,Answer.event-valid2,Answer.event-valid3
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",s3sVLrVBkVXDbDUqTZh95w==,PersonX finally hired,hneh56y/o4rKSGHraNnDbw==,PersonX is laid off from PersonX's job,4mSKziLS7xZUwAUvvRQaYw==,PersonX makes perfect,PersonX finally hired,PersonX is laid off from PersonX's job,PersonX makes perfect,X regains business.,X finds a new job.,{},X loses business because PersonX is understaffed at the gas station.,X arrives at work with a bad feeling.,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",elFEIY4og2UGK+kZTryGrQ==,PersonX feels relieved,li+sQ1zdEBHur7ch1IKYGg==,PersonX turns PersonX's lights,gZHY/MNwbiKti+FcNdbm6A==,PersonX eats enough,PersonX feels relieved,PersonX turns PersonX's lights,PersonX eats enough,pays the massage therapist.,makes the turn.,is full.,gets a massage.,is at an intersection.,is eating at the table.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",XZ/ppF+QClOOSTiJg0RwPA==,PersonX takes flight,LwP51mMnLhQmbx6sprVqVw==,PersonX wants to be a singer,LxKj28Kpy9sXt7O95dDfCg==,PersonX takes good care of it,PersonX takes flight,PersonX wants to be a singer,PersonX takes good care of it,lands in an airport.,records a song.,adopts the cat.,packs PersonX's luggage.,trains with a vocal coach.,finds a stray cat.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",dYTCxVKr+W94AgGiXdWigw==,PersonX cries in pain,w81YLZ55RJnerRa7Aux8aA==,PersonX owes you PersonY apology,FcWSoa2GN3J+U84VriJhQA==,PersonX succeeds by PersonX's son,PersonX cries in pain,PersonX owes you PersonY apology,PersonX succeeds by PersonX's son,calls for help,{},{},breaks PersonX's leg,{},{},,on,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",Yd0m+3jmdRpQCDHhDEkcug==,PersonX is driving PersonY's car on the highway,hiHxF3mDIrx3DHbK/drrZg==,PersonX takes a shot in the dark,+tkwqWDUq7Af2n3k0bPlwQ==,PersonX finds PersonX's car,PersonX is driving PersonY's car on the highway,PersonX takes a shot in the dark,PersonX finds PersonX's car,spots a police car approaching from behind,kills the intruder,enters the car,steals PersonY's car,grabs their gun,exits the mall and enters the parking lot,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",itKDD9g7CgJXTAzPnETF8A==,PersonX opens the back door,MZWJf+6TTL1lAYorPAfvQQ==,PersonX gets PersonX's computer repaired,v5QyY7QVY0XxTxQ+IWBLsA==,PersonX makes PersonY's dream come true,PersonX opens the back door,PersonX gets PersonX's computer repaired,PersonX makes PersonY's dream come true,lets PersonX's cat in,takes PersonX's computer home,is thanked by PersonY,hears a noise,has a problem with PersonX's computer,wants to do something for PersonY's birthday,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",51SlNzYaBu+KEVJaXrnaRw==,PersonX eats sandwiches,fS0nBqCvESh9/GbC0WqOBw==,PersonX leaks water,6kUzmauIETRVnZM19kf82Q==,PersonX cuts PersonY loose,PersonX eats sandwiches,PersonX leaks water,PersonX cuts PersonY loose,washes personX' hands,{},is lonesome,orders lunch,{},is no longer friends with PersonY,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",lw9nrPCCxP+LGKFG3SrBcA==,PersonX is really impressed,ot/SRpsfXVG3oS87bQx0pA==,PersonX looks horrible,NYDbki1K9F7gfvPgvRNsPA==,PersonX cooks chicken,PersonX is really impressed,PersonX looks horrible,PersonX cooks chicken,thanks his boss,takes the day off work and rests,eats the chicken,got a very good performance review.,just finished a night of binge drinking.,goes to the store and buys chicken,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",YqJ+xwpQPtXXzOAXMEW8dw==,PersonX provides PersonY outlet,fXDlP9Y+6NnHvTgYRSPSZw==,PersonX gets PersonX's foot in the door,DiGxpQx9bU0+jx2lTMLQRw==,PersonX takes down a peg,PersonX provides PersonY outlet,PersonX gets PersonX's foot in the door,PersonX takes down a peg,{},has stopped the door,{},{},tries to stop a door from closing,{},on,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",OeF6HptEUpNrf4D66N/LtQ==,PersonX clears PersonX's lines,9YnRI27Ue6ffh7FpDq2MGw==,PersonX just go home,GNJLwW0Tot4N3197YkKuJQ==,PersonX invites to a halloween party,PersonX clears PersonX's lines,PersonX just go home,PersonX invites to a halloween party,goes home,goes to bed,dresses up as a witch,works hard,finishes the work day,throws a party,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",b3937h3XvlwrMl/FBjn+qw==,PersonX casts the first stone,SI08lgjFVdhMv9xkkR3Jfg==,PersonX jumps the shark,uPiVLVslX61obAhb4ElTSw==,PersonX gives PersonY work,PersonX casts the first stone,PersonX jumps the shark,PersonX gives PersonY work,files a report with the police,falls into the ocean,monitors PersonY's performance,sees someone stealing,sees a shark while paddleboarding,sees PersonY being bored,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",7rBfkvAhXNwiCjudrgvyHg==,PersonX rushes upon PersonY,jsyLoU84y2aif8Szw+paLw==,PersonX replaces the tire,j1YtzbGafHb4cqLYj7HwFg==,PersonX does PersonY dirty,PersonX rushes upon PersonY,PersonX replaces the tire,PersonX does PersonY dirty,hugs PersonY,recycles the old tire,laughs,finds PersonY,blows a tire,takes advantage of PersonY,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",jOZ+B0t0JYN6bH86C3qcKQ==,PersonX always forgot,2BXNSi0Hz9AVJefAeVc9EQ==,PersonX visits the city,AB6p/PwJLmoYlpHLHHl43A==,PersonX has to go to the store,PersonX always forgot,PersonX visits the city,PersonX has to go to the store,X adds birthdays to a calendar.,X posts a lot of photos to Instagram.,X drinks a cup of coffee.,X missed an important birthday,X learns about a foreign city.,X looks for coffee and discovers none in the kitchen.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",EI6I/lT1Nr840kQSINsRhA==,PersonX performs tricks,cPI03/aB/CvHhZvYHx6ziw==,PersonX smells awful,ALEsywrT1pRLl0nx7P6AeQ==,PersonX asks PersonY's mom,PersonX performs tricks,PersonX smells awful,PersonX asks PersonY's mom,X gets a lot of tips.,X takes a bath.,X gives PersonY's mom lots of hugs.,X practices his magic.,X feeds the pigs in the barn.,X looks for a babysitter.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ROitBcZMD/CMhDacs1y1Ew==,PersonX shows diagrammatically in fig,X50d5C5zzcsWlnXBNdfPPA==,PersonX hands in PersonX's dinner pail,nsZ3A2BOWU2lcQxQQ2fnXQ==,PersonX improves PersonX's chances,PersonX shows diagrammatically in fig,PersonX hands in PersonX's dinner pail,PersonX improves PersonX's chances,puts away diagram,leaves,leaves PersonX,makes diagram,grabs pail,goes to PersonX,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",2eDduCLRifiTVhnoemCMXQ==,PersonX clips PersonY's wings,bCdg0mWh/O/mYxalxI4X6Q==,PersonX immediately told,6Pq3+3xbd1/LI9EtPNTlhQ==,PersonX sees a beautiful woman,PersonX clips PersonY's wings,PersonX immediately told,PersonX sees a beautiful woman,apologize to PersonY,lose temper,walk toward the woman,fights with PersonY,is called to office,goes to party,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ItfKbafUdRh60EXkbzUTVg==,PersonX makes PersonY deposit every time,SvIOJys4vgpcSpx7UJwGUA==,PersonX puts the pedal to the metal,PDAs4txggD1OC8GYbvzAdQ==,PersonX loses PersonX's hair,PersonX makes PersonY deposit every time,PersonX puts the pedal to the metal,PersonX loses PersonX's hair,helps PersonY save,wins the race,goes to the hospital,pays PersonY,joins the race,stops eating,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",x9zYClJb4QVsYGOOwhmOqg==,PersonX gets PersonY done,TcZja/uC2zt7fAqOXTi5Aw==,PersonX loves cooking,a1zwmLdU9z24pBRopEbKUA==,PersonX saves the rest,PersonX gets PersonY done,PersonX loves cooking,PersonX saves the rest,takes payment for the haircut,makes dinner with the ingredients,puts the leftovers in a bag,is a hairdresser,went grocery shopping,is full from lunch,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ySgbvAhrYE9qwCOcBIP5kg==,PersonX sees a baseball game,FxWkybX9tWTbqiK0HvbqaA==,PersonX starts pouring,r/1Ayg4DJFAkupeowecQGA==,PersonX starts lifting weights,PersonX sees a baseball game,PersonX starts pouring,PersonX starts lifting weights,enjoys a nice dinner after.,enjoys how beautiful it all is.,is more physically fit now.,is going out on the town tonight.,wants to water the garden.,needs to work out more.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",PYcE8QDLePGIj18TrOA8nA==,PersonX shows PersonY respect,Ad+88KoLueP/73/QK2hhlA==,PersonX builds PersonY empire,trSWqCNwztAoIvl2MEpDaw==,PersonX finds PersonY's daughter,PersonX shows PersonY respect,PersonX builds PersonY empire,PersonX finds PersonY's daughter,buys PersonY dinner,serves PersonY,returns PersonY's daughter,admires PersonY,follows PersonY,follows tracks with PersonX's dogs.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",2b43/WayR5hmNdjiKBnfuA==,PersonX can n't afford to buy one,5ss/aWLzDTLFE1aVEeRGBQ==,PersonX goes wild,Lbegr9WHzow3dBjOIZUjHg==,PersonX feels a sigh of relief,PersonX can n't afford to buy one,PersonX goes wild,PersonX feels a sigh of relief,tries to save money,feels ashamed of their behavior,makes a purchase,wants to get a new car,drinks a lot of alcohol,has enough money in their bank account,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",TTyxGKfgRbfR2LUZZ+4LOA==,PersonX plays with a full deck,Zy/8WDLoOrc3Nrauuu09YA==,PersonX can n't find PersonX's car keys,xCr174/tVYFgYGKSFNhgSw==,PersonX convinces PersonX's parents,PersonX plays with a full deck,PersonX can n't find PersonX's car keys,PersonX convinces PersonX's parents,wins,searches the house,gets a car,is player poker,is sometimes forgetful,is asking PersonX's parents for a car,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",mYLJ8UmezjjrVPZ3y75hHA==,PersonX sells PersonX's collection,xPW6woD/34HWbtKq/eYcNQ==,PersonX is deferred until test results are in,pwcjNhLXOcmKPLMCIlXQnw==,PersonX gives PersonY name,PersonX sells PersonX's collection,PersonX is deferred until test results are in,PersonX gives PersonY name,uses the profit to take a vacation,joins the army instead,gets arrested,collects too many baseball cards,applies to college,is pulled over by the cops,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",U7rukVtYEg3167W6BIfZ+g==,PersonX decides to bake a cake,4YsWBpjX5+8PhghKFOswCQ==,PersonX gives PersonY a life,QsMuM0UU0PAXYbBexp7Pug==,PersonX spends all morning,PersonX decides to bake a cake,PersonX gives PersonY a life,PersonX spends all morning,ices the cake after is cools,leads PersonY on the right path,secures the new clients,wants to eat something sweet,creates PersonY,has an important meeting,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",jcGAA9G5UA39VVOmQxOObQ==,PersonX wants to go there,DAKbeqBWmsVW/1QqSt/WIw==,PersonX wants to get married,ddoQsST2qUqIiFoOXOLxJg==,PersonX pulls the car over,PersonX wants to go there,PersonX wants to get married,PersonX pulls the car over,is there,is planning to get married,is out of the car,gets in the car,has a mate,is texting,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",0zv04OWyhoD2e81ZfkhU+A==,PersonX starts choking,qpNJA3F6xAUiRK5DF7Tr0A==,PersonX does n't get in trouble,gjqanOX1nVjwSdU+4l5O2w==,PersonX is impressed by PersonX's work,PersonX starts choking,PersonX does n't get in trouble,PersonX is impressed by PersonX's work,is saved by a relative.,learned a lesson.,gets a call back.,is at dinner with family.,is looking for trouble.,is looking to receive a promotion.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",kgekfrT6PHilyp4KLy7qDA==,PersonX engages in PersonY activity,LwFBAadf5v5+LKDpVos4gw==,PersonX makes room,viEToPOc4nLvItAj9iN9yg==,PersonX needs gas,PersonX engages in PersonY activity,PersonX makes room,PersonX needs gas,{},has a new fridge in his kitchen now,drives to a gas station,{},orders a new fridge,starts his car,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",VYtWL1KaBPQlmYuM1eMY5w==,PersonX sings PersonX's songs,kRxuw8EI+YZD7mN5w/dwSw==,PersonX eats the ice cream,+kCDsPpP7G+vTt2U8jFS5A==,PersonX gets home from work,PersonX sings PersonX's songs,PersonX eats the ice cream,PersonX gets home from work,sells the songs on itunes,throws away the wrapper,goes to bed without dinner,writes songs,buys ice cream,works late,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",RF3eylOTIjeukSdZtuz9Pg==,PersonX sits on PersonY's bed,IUhfqHDBFa8YX2rOCYVMtA==,PersonX is planning PersonY's wedding,dd1dSU5xS9LlcHARk8/v7Q==,PersonX kills birds with stone,PersonX sits on PersonY's bed,PersonX is planning PersonY's wedding,PersonX kills birds with stone,starts talking to PersonY.,finishes making the plans for PersonY's wedding.,eats the bird after cooking it.,goes into PersonY's room.,is hired by PersonY.,picks up a stone.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",WW0E/tOCm1THTue9xPDWHA==,PersonX sets PersonY example,DnlpasvBwG/zFK/3X+sABQ==,PersonX wants to throw a party,DvduEjhVWj+CVRRCxlHMqQ==,PersonX is in a bad car accident,PersonX sets PersonY example,PersonX wants to throw a party,PersonX is in a bad car accident,{},throws a party,heals slowly,{},graduates college,drinks and drives,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",HDvNL2k/pQ/yiW7qZLb3IA==,PersonX becomes a success,M0kZRqpnKE+Yfts1HHWQeQ==,PersonX hopes would get,24+Lup7DtRVNuAB6Yqaavw==,PersonX places a recall for this item,PersonX becomes a success,PersonX hopes would get,PersonX places a recall for this item,devoted themselves to philanthropy.,{},saved lives.,was a straight A student.,{},discovers that the item is defective.,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",uZIkMuO8IQ/MFQ6z3ttVpw==,PersonX protects PersonY's privacy,eY0GBBZ5aiNcpa9OKo5ciA==,PersonX gets mad,iXJh3DhOoJKw1nELJgc1Fg==,PersonX plays fetch,PersonX protects PersonY's privacy,PersonX gets mad,PersonX plays fetch,burns the paper afterwards,punches the wall,watches his dog become excited,writes down PersonY's credit card number,stubs his toe,has a dog,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",uxI6lAWfwySmwLGo81LcRA==,PersonX is really looking forward to it,breF/CnqxS6RAbCAwfSXjA==,PersonX starts to slip,L6bhKehg61tzw8oYLSSjXg==,PersonX rides PersonX's bike every day,PersonX is really looking forward to it,PersonX starts to slip,PersonX rides PersonX's bike every day,is going to open lots of gifts,falls on their behind,is fit from all the riding,is ready for Christmas,walks across ice,likes to travel,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",0btMo1AmM8xIss2Rc5ywPQ==,PersonX gets a shot,29LOfjoRUuxyEAPiIKiOwQ==,PersonX has a pet cat,uM+bNY4gVrRpVAidEwf50w==,PersonX opens all of PersonX's presents,PersonX gets a shot,PersonX has a pet cat,PersonX opens all of PersonX's presents,feels drunk,now has a pet cat and dog,starts playing with his new toys,sits down at a bar,goes to the animal shelter,sits down near the Christmas tree,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",kEYXlyW1aszwEhWXDAiVNw==,PersonX has to go to work,09rbzKfAnBFWQaEYlxmwEw==,PersonX never return,lZW6oo3Ec6GWVTl8uCDAgQ==,PersonX begs PersonY's forgiveness,PersonX has to go to work,PersonX never return,PersonX begs PersonY's forgiveness,goes to work,{},leaves,wakes up,{},gets mad,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",mDCGD8MHak4wC7BWcs+yZg==,PersonX asks a girl,vIWgTBjBuYw+gLlezkDK0A==,PersonX hires on the spot,mBqKVucyLPNup4AB22zoCw==,PersonX stops going to the gym,PersonX asks a girl,PersonX hires on the spot,PersonX stops going to the gym,sees a movie.,sends the others home.,gains weight.,needs a date.,interviews a great candidate.,hurts a knee.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",4nRboXZLqqzk+nakfhfDEw==,PersonX stops trying,O0mgnDljuyCx1qPXhlLOOg==,PersonX gets PersonX's grade,MYVAJoxVTNW+os0TifffDw==,PersonX drives all night,PersonX stops trying,PersonX gets PersonX's grade,PersonX drives all night,walks inside the house to watch tv,marks off 3 incorrect answers because tehy were wrong,gets to the hospital and gives his dad a hug,wants to hit the ball,has to go over her student's paper,has to go see his dad because he is dying,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",pMmmZn9PMMCIGa+xQsCHCQ==,PersonX pokes PersonY's eye out,zdAHyT/N/HF0+ud+vmhjhg==,PersonX breaks a window,AbYq0rbjIVp/vUeZZrtlKA==,PersonX finally noticed,PersonX pokes PersonY's eye out,PersonX breaks a window,PersonX finally noticed,calls 911,runs away from the scene,sees the rocket launch,fights with PersonY,throws a brick,looked up at the sky,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",s1LVtz5QXt8yoBeoF9xD1g==,PersonX cuts it fine,5qYwfsI7k8SYWxqwhblWLg==,PersonX takes a closer look,3xhn6VRJsHzrDED7pzzFaA==,PersonX flogs the log,PersonX cuts it fine,PersonX takes a closer look,PersonX flogs the log,puts it in the dish,takes pictures,feels better,needs an onion for a job,sees a spider,is stressed,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",SeAmh4q1Te8K0msQsQX0pA==,PersonX develops PersonY interest,1oHuxpn6ESMXcp6IKuQnNw==,PersonX really needed,JI6ZO4ueowZDenPYUt1ECQ==,PersonX speaks PersonX's name,PersonX develops PersonY interest,PersonX really needed,PersonX speaks PersonX's name,goes on a date with PersonY,{},makes an appointment,has a crush on PersonY,is homeless,makes a call.,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",dFakESksul9Jd99bo+CZ7w==,PersonX stays far away,PU0dfg6J20oPrOLz+3sURQ==,PersonX gives PersonX's history,wRGzpDki1XkoSdKDwdPHhw==,PersonX needs a solution,PersonX stays far away,PersonX gives PersonX's history,PersonX needs a solution,walks the other direction.,waits for Person Y to start the examination.,calls Person Y to help him conceal evidence.,sees Person Y down the street,waits for Person Y to give instructions,commited a crime,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",WXceQxfXIz1bc1XDqhci0w==,PersonX pays money,oil9RM1hf+01D2G3uaQuTQ==,PersonX never returned,QIChb+dqJgojyVBkKubTAg==,PersonX sees PersonY home,PersonX pays money,PersonX never returned,PersonX sees PersonY home,takes the shoes home and puts them on,made new friends in the new town,invites Person Y in,heads to the register with the new shoes,moved away from the old town,goes on a date with Person Y,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",c0qzlatcNHX6SGl9XY9Vqg==,PersonX looks closely,HV8vhgVEflhfopBHw7Gdxg==,PersonX has a fantastic time,YGANTkZS5UGgixCMQ1TYGg==,PersonX has it coming,PersonX looks closely,PersonX has a fantastic time,PersonX has it coming,fixes the mistake,tells their friends to go to the amusement park,{},spots a mistake,goes to an amusement park,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",yGBxWVOWTfRowZwqKrOBNg==,PersonX feels very good,ilsYYFYDanUhMJ+6ihwbfw==,PersonX is playing at the park,3hJSQuiENoURPOlSUvRZyQ==,PersonX pays someone,PersonX feels very good,PersonX is playing at the park,PersonX pays someone,sits down to write a short story.,falls down and skins their knee.,leaves the store satisfied.,takes a long bath.,begs PersonY to take them to the park.,selects the tablet they want to buy.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",g//5fE33n7ypa5DLVJkx5g==,PersonX is watching a scary movie,6NVl2kQCf5cjS58HH2mjDw==,PersonX enjoys the concert,wjiqx+x1bJnlp15FG30mFA==,PersonX catches any fish,PersonX is watching a scary movie,PersonX enjoys the concert,PersonX catches any fish,can't sleep that night,remembers the performance for ever,fries the fish for dinner,loves scary things,is going to see their favorite artist,goes fishing,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",DHBm9vT116k6uym3XnUVwA==,PersonX starts to work,xaUnAVzaGuydPMJc88ccyg==,PersonX sends PersonY one,TYL7I01RwBr7G/cbGOqZxQ==,PersonX fills the tub,PersonX starts to work,PersonX sends PersonY one,PersonX fills the tub,finishes the job early,saves the other one,relaxes in the bathtub,arrives early,buys two cards,decides to take a bath,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",NlnqJMu7YkpgQJPHpCff/A==,PersonX talks to PersonY a bit,I7sT8CScGPJgr2XcGXKqBA==,PersonX feels kind of bad,ZVmK4ielLdEwO1tb3hEFkw==,PersonX plays games together,PersonX talks to PersonY a bit,PersonX feels kind of bad,PersonX plays games together,hugs PersonY goodbye.,goes to see a doctor.,loses the game on purpose.,sees PersonY.,has a stomachache.,is sitting with their daughter.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",F7o4kvFRgvpLCJg2Zm/w1Q==,PersonX worships god according,3d44KEY6n2gSwszpbiwgag==,PersonX cleans the fridge,l1TbJNYdecXZ7vqe2zbhcw==,PersonX performs the heimlich maneuver,PersonX worships god according,PersonX cleans the fridge,PersonX performs the heimlich maneuver,felt good after church.,bought new food to put in the fridge.,saved the person's life.,went to church.,found rotten food in the fridge.,saw someone who started choking all of a sudden.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",P+kOocjbLHjLnFa03rCODg==,PersonX sets up PersonY's tent,5r5qoAuXX5deX1PxrzXo2g==,PersonX changes PersonX's tire,u4p494xAREDGgU2QIR0UgQ==,PersonX has lost PersonY's keys,PersonX sets up PersonY's tent,PersonX changes PersonX's tire,PersonX has lost PersonY's keys,and PersonY go to sleep in tent,drives to the service station,gets a replacement set of keys for PersonY,goes camping with PersonY,gets a flat tire,borrowed PersonY's car keys,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",wZ39mBh4dqaDZBjXTzuhGw==,PersonX hearts beat as PersonX,KLIE1sJKr8YrwtHVaBf/jg==,PersonX sees everything,HkGS+z9/caiyftnuCUQOsw==,PersonX decides to go to the doctor,PersonX hearts beat as PersonX,PersonX sees everything,PersonX decides to go to the doctor,{},draws a picture of what PersonX sees,asks for pain medicine,{},looks out a window,breaks PersonX's arm,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",20l9qk+dX4vs7jj8k/WPHg==,PersonX gets it repaired,OGqhJtqKKTbJbOrDJeLG2w==,PersonX buys lottery tickets,T/uBFmjYtOH8yOcN/ayTiQ==,PersonX loves PersonY with all my heart,PersonX gets it repaired,PersonX buys lottery tickets,PersonX loves PersonY with all my heart,X is careful not to drop the phone again.,X puts the tickets in the birthday card.,X asks Person Y if they studied for the final.,X notices a crack in the phone screen.,X stands in a long line.,X walks toward Person Y at school.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",D32h+y+jh2dUqwFRamnYXw==,PersonX loves the cake,l7JPa4H6duAYZUJRpxIiFQ==,PersonX finds another gear,SpqiT4tB5NNSZhGrmo65RQ==,PersonX rids the roller coaster,PersonX loves the cake,PersonX finds another gear,PersonX rids the roller coaster,wants more cake,{},can't wait to see the photo taken on the ride,ate the cake,{},waited in the line for the ride,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ocO7ZjsXShZQ+1txfbSkAQ==,PersonX is dying of cancer,l/gVhs6/Dnkz495I4Ij17g==,PersonX is bored one afternoon,d606z0HpU2r8ymReJYvY+Q==,PersonX is married for 20 years,PersonX is dying of cancer,PersonX is bored one afternoon,PersonX is married for 20 years,begins chemotherapy,finds a new job,lives a happy married life,goes to the doctor,quits his job,gets married at a young age,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",WONKa5jt+RUJ1ym0p4w4EQ==,PersonX is dating for five years,0ChdaAcLiSdD3JjXEybncQ==,PersonX redoubles PersonX's efforts,6UzoWXFIZqdD63xt/iQb/w==,PersonX feels anxious,PersonX is dating for five years,PersonX redoubles PersonX's efforts,PersonX feels anxious,{},wins the item from the auction.,PersonX approaches PersonY after class.,{},is losing at an auction.,Is going to ask PersonY out on a date.,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",N1IShK8/aCzpvFDfZdm/gA==,PersonX makes a deal,INNRdL05p+oDehnehUfORA==,PersonX receives PersonY degree,JBbkkdkJHd2Il2ia8QNAzg==,PersonX loses PersonY's balance,PersonX makes a deal,PersonX receives PersonY degree,PersonX loses PersonY's balance,buys the car,calls PersonY for an interview,goes back to the bank,finds a car,request proof of graduation,asks for PersonY's balance,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",uzGhbU+AndR69O9/gl5TIA==,PersonX walks into PersonY's room,EOhicNAf3URA43mg/8fZug==,PersonX hopes would find,M76lJgnKcr1THtPvhcS4/w==,PersonX lives along the PersonY,PersonX walks into PersonY's room,PersonX hopes would find,PersonX lives along the PersonY,asks his friend what he is doing later and if he wants to eat,is glad he knew where to check and his keys are not lsost,is happy because he knows where his friend lives now,wants to see if his friend is watching the movie,lost his keys at the car wash,walks down the street and sees his neighbor,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",vfzleHds5VdPL1cLZ6TImg==,PersonX busts PersonX's balls,k9B0im5DWCyqtEWPt+1ILg==,PersonX sees a therapist,efSJPQDyc6Q1ixTRs23vHA==,PersonX gets gas,PersonX busts PersonX's balls,PersonX sees a therapist,PersonX gets gas,says they are just joking,contemplates their discussion,drives to their destination,observes PersonY do something silly,feels emotionally distraught,sees their car is low on gas,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",6jt1AIVHFEEam3uigvV99Q==,PersonX sees the sunset,b86hBnJ84sp7vTm9MANgAw==,PersonX brings up something more universal,BZinsnv1MpD7g67zRmEzYg==,PersonX talks to a friend,PersonX sees the sunset,PersonX brings up something more universal,PersonX talks to a friend,takes a picture,offers to help,schedules a lunch date,looks out of the window,creates displeasure,goes to the library,,,
