Title,Description,Keywords,situation,source-id,Answer.nsfw,Answer.rot-1,Answer.rot-2,Answer.rot-3,Answer.rot-4,Answer.rot-5,Answer.simple
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tim stood there awkwardly until they got there.,rocstories/634ea801-1c92-49c9-b910-3e0cbafd7667/sentence5/original,,When you are in a new place alone it is normal to feel uncomfortable.,It is socially awkward to stand around and ignore everyone around you.,If you are shy it is normal to only feel comfortable around people you know.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When she excused herself to use the bathroom, she screamed.",rocstories/9eff624a-83cc-4d9c-9844-b2586f560d8f/sentence3/original,,You should always excuse yourself before you go to the bathroom.,You shouldn't scream at people.,"If you're startled, it's okay to scream.",You should always excuse yourself if you're going to leave the room.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Kara made her dad lunch for work.,rocstories/5c28e894-2779-4da3-a3cf-91d750f82a2a/sentence1/original,,It's good to do something nice for your parents every once in a while.,It's not okay to make your kids do things that you should do for yourself.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom and Sally went to the Mexican restaurant for dinner.,rocstories/e8b33f2d-6728-4720-be76-1ce1992f4359/sentence1/original,,It's good to eat cuisine from different cultures.,It's okay if you don't know what to order when you eat at a Mexican restaurant.,You should ask for recommendations when you aren't sure what kind of Mexican food to order.,It's okay if you're annoyed when you have to serve people who don't know what to order.,You should tip your server when you go out to eat at a restaurant.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Hannah went to meet her boyfriend.,rocstories/95bcf7ed-afc6-4135-ab9b-87ed73fadfb1/sentence1/original,,It's good to spend time with your partner.,It's good to let your partner come visit you.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He eat his chicken and it was great.,rocstories/c1bd1349-ce0e-49ee-b6bc-afc45345167d/sentence5/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",It wasn't long before I had $100 saved!,rocstories/b1f13f58-657b-4ced-bd0d-e89477367e9f/sentence5/original,,It's good to save money for the future to buy other things.,Accomplishing a financial goal can make you proud.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When her parents were present, they were usually busy.",rocstories/08bd3b9f-1cfa-499b-ba8e-ca1daf10cb2c/sentence2/original,,You should make time for your children.,Keeping busy is a good way to show you're not lazy.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Amanda got all their friends involved.,rocstories/31511287-8da4-4222-9247-1a2df1d466c9/sentence3/original,,It's wrong to involve your friends in your drama.,It's good to confront issues with groups of bullies.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Dan was afraid because he never encountered a shark before.,rocstories/e6afddf8-5317-4327-ba82-f0d765e59b78/sentence3/original,,It's wrong to judge something as dangerous you have never encountered before.,It's good to want to stay safe from things that could hurt you.,It's not okay to mess with wild animals.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",A potential customer pulled up and asked her what her going rate was.,rocstories/8400202a-6b06-444e-9446-28a50c0b6a23/sentence3/original,,You shouldn't prostitute your body out to people.,You shouldn't pay for prostitutes.,It's rude to ask someone on the street what their going rate is because they may not be a prostitute.,You shouldn't assume things of people.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom only had to yell at his girlfriend twice on the way to the beach.,rocstories/45c1be6f-911d-4697-ab0f-d7ecd522928e/sentence3/original,,You shouldn't yell at your partner.,You shouldn't let a partner yell at you.,You shouldn't get into arguments with people.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She noticed that water had pooled around her legs.,rocstories/c9ae30b3-0c2e-4660-ad4e-00ea9d5ab452/sentence2/original,,It's good to be aware of one's surroundings at all time to prevent mishaps.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom was trying to log onto his e-mail.,rocstories/586c7c43-3cea-47a1-b79c-549e9f22e8a2/sentence1/original,,It is bad to forget your email login.,It is expected some people might forget their login at times.,It is ok to be annoyed if you forgot your email login.,It is expected that so many passwords can be easy to forget.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He wished he could get a plane out of his small town.,rocstories/daf28e96-8820-41b5-86b2-8dae20a8ac3c/sentence2/original,,It is boring to live somewhere that is really small.,It is common to want to leave a tiny place.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They had a bowling league that they played in every year.,rocstories/210563cd-97fa-40d8-bbcd-7ad02c5ec077/sentence1/original,,When you enjoy participating in something it is expected that you will repeat that participation.,Spending money on a hobby is foolish and wasteful.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","On the bus there, she remembered fighting with her brother.",rocstories/246c7689-7c9c-4f0e-916a-50cc42188d23/sentence3/original,,It is bad to fight with your siblings.,It is ok to be upset if you fought with your sibling.,It is good to apologize if you were disrespectful to your sibling.,It is expected that siblings won't always get along.,It is good to forgive your sibling after a fight.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Paul heard a funny noise coming from one of his car tires.,rocstories/513cea3e-e24d-4bdb-9095-faa282af6a37/sentence1/original,,It's good to be observant when something could be wrong.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",A few days later Kenny hears back from them.,rocstories/98b4f064-be40-416a-9ab7-f982a991203f/sentence4/original,,It's good to get back to people.,You can't expect people to always contact you back on time.,You shouldn't wait to get back to somebody.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","His daughter had captured a burglar, locking him in the garden shed.",rocstories/663772de-de72-4416-a698-100bb9ace5aa/sentence5/original,,It's wrong to lock someone up.,It's wrong to steal.,It's wrong to go on someone's property without permission.,You should call the police when you see someone trying to commit a crime.,"It's okay to prevent the escape of someone who is breaking the law, while you're awaiting the police.",
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When she picked it up to dial, she noticed that it was dead!",rocstories/0406db9e-9961-4c45-a9a7-a2c0929eec43/sentence3/original,,Cell phones run out of power very quickly.,One should keep their phone in working order in case it's needed in an emergency.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Genevieve decided that she wanted a milkshake at Denny's.,rocstories/bc40f865-aac6-424a-999e-19474344fae5/sentence1/original,,When you go out to eat it is acceptable to indulge in fatty foods.,Forgetting about your diet while on a vacation is foolish.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",My husband decided he needed new shirts.,rocstories/fc7ebbbf-b56c-451f-b520-14a126814ac5/sentence1/original,,It's good to buy new clothes if you need it.,You should replace old things with new things.,You should buy your partner new clothes.,{},{},
