Title,Description,Keywords,head1,relation1,readable_relation1,tail1,head2,relation2,readable_relation2,tail2,head3,relation3,readable_relation3,tail3,head4,relation4,readable_relation4,tail4,head5,relation5,readable_relation5,tail5,Answer.q1_valid,Answer.q2_valid,Answer.q3_valid,Answer.q4_valid,Answer.q5_valid
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes ___ for a ride,xWant,"as a result, PersonX wants","to ___.""",PersonX is selling lemonade,xEffect,"as a result, PersonX will",be able to make a profit.,PersonX walks in the park ___,oEffect,"as a result, PersonY or others will",follow.,PersonX grabs a towel,isBefore,happens before,the cause of PersonX grabbing a towel.,PersonX puts PersonX's mind to it,oReact,"as a result, PersonY or others feel",the same way.,-2,1,1,-1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX meets the love of PersonX's life,xReact,"as a result, PersonX feels",that PersonX is now ready to settle down and have a family. PersonX,PersonX doeth all ___ well,xEffect,"as a result, PersonX will","be rewarded with ___.""",PersonX sees PersonY graduate,oEffect,"as a result, PersonY or others will",see PersonX graduate.,PersonX changes PersonX's lives,oEffect,"as a result, PersonY or others will",be affected.,PersonX has to go to a new school,xIntent,because PersonX wanted,to make a new friend. PersonX met PersonY. PersonX and Person,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX enjoys PersonX's class,xIntent,because PersonX wanted,to make a class that PersonX's class can inherit from.,PersonX has been deferred until test results are in,xNeed,"but before, PersonX needed",to be identified.,PersonX derives PersonY's name,xReact,"as a result, PersonX feels",that PersonY is a part of PersonX.,PersonX names the films PersonY is most proud of,xAttr,"so, PersonX is seen as",a compliment.,PersonX pays taxes,xAttr,"so, PersonX is seen as",a good thing.,1,1,-1,-1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes place as a result,xIntent,because PersonX wanted,to do something to help.,PersonX watches for PersonY opportunity,xEffect,"as a result, PersonX will",be able to take advantage of the opportunity.,PersonX gets it to work,oWant,"as a result, PersonY or others want",to know how they did it.,PersonX thinks would become,xEffect,"as a result, PersonX will","be, and PersonX will have been.",PersonX always makes,xEffect,"as a result, PersonX will",be the one who is always blamed.,1,1,2,-2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes things for granted,xNeed,"but before, PersonX needed",to know that the person who was going to be in charge of the project was,PersonX calls PersonY ambulance,xNeed,"but before, PersonX needed",to know that PersonY was in need of an ambulance. PersonX needed to,PersonX pleases ___ to make,xWant,"as a result, PersonX wants",to make ___.,PersonX shoves PersonY back,xEffect,"as a result, PersonX will",be charged with assault.,PersonX dates for years,xWant,"as a result, PersonX wants",to get married.,-2,2,2,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX recalls ___ PersonY be made,oEffect,"as a result, PersonY or others will","be made, and the total will be ___",PersonX wraps PersonY's arm around PersonY,xAttr,"so, PersonX is seen as",a more natural way of expressing the same idea.,PersonX wears PersonY's boots,oEffect,"as a result, PersonY or others will",think that PersonX is PersonY.,PersonX confronts PersonY's roommate,xWant,"as a result, PersonX wants",to know if PersonY's roommate is going to tell PersonY about the confrontation,PersonX finds PersonX's dad,HinderedBy,can be hindered by,"a lack of a good job, and PersonX's dad is hindered by a",-2,-1,1,1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX orders the book,isBefore,happens before,the reason why PersonX orders the book.,PersonX feels the ___ keenly,isFilledBy,blank can be filled by,"a variety of words, including:",cd holder,ObjectUse,used for,"the first time, the cd holder is automatically set to the ""open"" position",PersonX gives PersonY an f,xEffect,"as a result, PersonX will",be the owner of the f.,PersonX plays a new instrument,oReact,"as a result, PersonY or others feel",the same way.,-1,2,1,-1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX drops ___ on the floor,isFilledBy,blank can be filled by,any noun.,PersonX gets PersonX's ticket,isAfter,happens after,not a reason to give PersonX a refund.,PersonX breaks the news to PersonY,xAttr,"so, PersonX is seen as",a betrayal.,acid,ObjectUse,used for,"the treatment of chronic gout, hyperuricemia, and to reduce the",PersonX gets PersonX's nails done,xAttr,"so, PersonX is seen as",a sign of affection.,2,-1,-1,-9,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX covers every aspect,isAfter,happens after,that PersonX will start to feel like a burden.,PersonX wants to go,isAfter,happens after,that PersonX is told that PersonX can't go.,PersonX hits by lightning,xEffect,"as a result, PersonX will",be dead.,PersonX finally meet PersonY,xNeed,"but before, PersonX needed",to meet PersonZ.,chain,ObjectUse,used for,the first time in the world.,1,2,1,-1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX spills PersonX's guts,HinderedBy,can be hindered by,the fact that PersonX is still alive.,PersonX tells PersonY's friend,xAttr,"so, PersonX is seen as",a more serious offense than PersonX tells PersonY's friend that PersonY is,PersonX feels refreshed,xReact,"as a result, PersonX feels","more energetic, PersonX feels more alert, PersonX feels more alive, Person",PersonX flies to PersonY,xAttr,"so, PersonX is seen as",a single event.,PersonX starts with a clean sheet,oEffect,"as a result, PersonY or others will",be able to see the changes.,-1,1,1,-2,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",escherichia coli,AtLocation,located or found at/in/on,the intestines of healthy people. It is a normal inhabitant of the intestinal,silicone,ObjectUse,used for,the first time in the world.,PersonX calls PersonX's work,xIntent,because PersonX wanted,to know if PersonX's work was good. PersonX asked PersonX's,family photograph,AtLocation,located or found at/in/on,the house of every family. It is a very common thing to have a family,PersonX is always busy,xEffect,"as a result, PersonX will",not be able to attend the meeting.,2,-1,1,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX goes down the drain,oWant,"as a result, PersonY or others want",to know why.,PersonX gives a speech,isBefore,happens before,a pre-condition for the speech.,PersonX sheds ___ on the nature,xIntent,because PersonX wanted,"to be a ___.""",PersonX works tirelessly,oEffect,"as a result, PersonY or others will",be more likely to work hard as well.,PersonX makes ___ quickly,xReact,"as a result, PersonX feels",___ about it.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX asks PersonY to sit,xAttr,"so, PersonX is seen as","a request, not a command.",PersonX makes PersonY connection,HinderedBy,can be hindered by,the fact that PersonX is not a person.,PersonX saves PersonY's people,oEffect,"as a result, PersonY or others will",be saved as a result of PersonY's actions.,PersonX buys PersonY's wife ___,oWant,"as a result, PersonY or others want",to buy PersonY's wife too.,PersonX faces ___ today,oReact,"as a result, PersonY or others feel",the same way.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX loves PersonY to death,isAfter,happens after,that PersonX dies.,PersonX puts PersonY to use,isBefore,happens before,not a use of PersonY.,PersonX is also nervous,oWant,"as a result, PersonY or others want",to know why.,PersonX pisses money up the wall,oReact,"as a result, PersonY or others feel",the pain.,PersonX watches ___ anymore,oEffect,"as a result, PersonY or others will",follow.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX gets PersonX's feet wet,oWant,"as a result, PersonY or others want",to get their feet wet too.,PersonX announces PersonX's decision,isAfter,happens after,not a reason for PersonX's decision.,PersonX wins the championship,xReact,"as a result, PersonX feels",a sense of accomplishment.,PersonX looks up into PersonY's eyes,HinderedBy,can be hindered by,the fact that PersonX is a foot taller than PersonY.,apps,ObjectUse,used for,"the first time, the user is asked to enter a password. This password is",1,-2,2,2,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes PersonX's outside,xWant,"as a result, PersonX wants",to take PersonX's inside.,PersonX lives side by side,oWant,"as a result, PersonY or others want",to know what they are doing.,PersonX shoves PersonY back,oEffect,"as a result, PersonY or others will",be pushed back as well.,PersonX uses PersonY expression,isAfter,happens after,called a side effect.,PersonX keeps ___ at bay,xNeed,"but before, PersonX needed",to be able to do ___.,1,-2,1,-2,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX leaves PersonY's alone,xNeed,"but before, PersonX needed",to make sure that PersonY is not going to be a threat to PersonX,PersonX finds another job,isAfter,happens after,not a consequence of PersonX finding another job.,eel,HasProperty,can be characterized by being/having,a village in the Ardabil Province of Iran.,PersonX enjoys PersonY's class,xNeed,"but before, PersonX needed",to be able to use PersonY's interface.,PersonX blows through town,isAfter,happens after,not a consequence of PersonX's actions.,2,-2,-1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX lies behind PersonY,isBefore,happens before,a preposition phrase.,PersonX stays busy,isBefore,happens before,PersonX stays busy.,PersonX gets knocked out,xReact,"as a result, PersonX feels",pain.,final piece of the jigsaw,ObjectUse,used for,the final piece of the jigsaw is used for the final piece of the j,PersonX shares the food with others,isAfter,happens after,that PersonX gets sick.,-1,-1,2,-2,-9
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX understands the ___ fully,xNeed,"but before, PersonX needed",to understand the ___ first.,PersonX tries to relax,xAttr,"so, PersonX is seen as",a sign of weakness.,PersonX gives PersonY treatment,isBefore,happens before,called a pre-condition. Something that happens after PersonX gives PersonY treatment,PersonX makes it through the day,xReact,"as a result, PersonX feels",good about PersonX.,alloy,MadeUpOf,made (up) of,a combination of iron and nickel. The nickel is added to the iron to make,2,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX accidentally poured,xWant,"as a result, PersonX wants",to say:,PersonX always fought,isBefore,happens before,PersonX's fight.,choice of direction,AtLocation,located or found at/in/on,the following areas:,PersonX always fought,isAfter,happens after,that PersonX always wins.,PersonX is to the rodeo,HinderedBy,can be hindered by,the fact that the rodeo is a place where people go to watch animals get,-2,1,-2,-1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX builds muscle,oReact,"as a result, PersonY or others feel",that PersonX is a threat to their own survival.,PersonX sees PersonY's brother,xAttr,"so, PersonX is seen as",PersonX sees PersonY's brother's brother.,PersonX takes PersonY up on the offer,oWant,"as a result, PersonY or others want",to do the same.,PersonX spends all of PersonY's money,isBefore,happens before,a pre-condition. Something that happens after PersonX spends all of PersonY,PersonX gets PersonX's makeup done,xReact,"as a result, PersonX feels",more confident and PersonX's self-esteem increases.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX visits PersonY's cousin,oEffect,"as a result, PersonY or others will",be able to see that PersonX visited PersonY's cousin.,PersonX makes my day,xWant,"as a result, PersonX wants",to know how I feel about it.,PersonX presents the ___ in a manner,xReact,"as a result, PersonX feels","that PersonX is entitled to ___.""",PersonX gives ___ a small smile,oReact,"as a result, PersonY or others feel",that PersonX is ___ and ___.,PersonX passes around PersonY,xAttr,"so, PersonX is seen as",a violation of the Law of Demeter.,2,2,1,1,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX gets there early,xWant,"as a result, PersonX wants",to get the first seat.,PersonX gets PersonY's driver 's license,oWant,"as a result, PersonY or others want",to know why PersonX is driving PersonY's car.,tofu,HasProperty,can be characterized by being/having,"a great source of protein, and it’s also a good source of",PersonX thinks a lot,oReact,"as a result, PersonY or others feel",that PersonX is a person who is very thoughtful.,PersonX shrugs PersonY's shoulders,xReact,"as a result, PersonX feels",a little bit better.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX waits at the bus stop,xNeed,"but before, PersonX needed",to get to the bus stop. PersonX needed to get to the bus stop,PersonX brings PersonY into conflict,oEffect,"as a result, PersonY or others will",be affected.,PersonX measures ___ directly,xEffect,"as a result, PersonX will",be able to ___ and ___.,PersonX wins every ___,oEffect,"as a result, PersonY or others will",be more likely to play with PersonX.,PersonX sends money ___,isFilledBy,blank can be filled by,any amount of money.,2,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX presents the ___ in a manner,oEffect,"as a result, PersonY or others will","___.""",PersonX takes the new job,xIntent,because PersonX wanted,to move to the new city.,PersonX wins the match,isAfter,happens after,that they will be given a trophy. This trophy is a reward for winning the,PersonX wants to play baseball,isAfter,happens after,that PersonX is a good baseball player.,PersonX hams it up,isBefore,happens before,that PersonX is given a script.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX walks PersonY,oReact,"as a result, PersonY or others feel",that PersonX is a good person.,PersonX plans the trip,oReact,"as a result, PersonY or others feel",that PersonX is the one who is responsible for the trip.,PersonX wears gloves,xNeed,"but before, PersonX needed",to wash hands.,PersonX covers PersonX's nakedness,isAfter,happens after,not a result of PersonX's nakedness.,PersonX owes PersonY,xEffect,"as a result, PersonX will",be able to spend the money in PersonY's account.,2,2,1,-1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX falls ill,xEffect,"as a result, PersonX will",be unable to work for a period of time.,PersonX studies for an exam,xNeed,"but before, PersonX needed",to study for an exam.,comfort,ObjectUse,used for,the first time in the series.,PersonX leaves the ___ alone,oReact,"as a result, PersonY or others feel",___ and ___.,PersonX meets someone,xAttr,"so, PersonX is seen as",a sign of good luck.,1,2,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX starves the ___ into submission,oEffect,"as a result, PersonY or others will",be more likely to submit to PersonX in the future.,PersonX loses the first game,HinderedBy,can be hindered by,the fact that PersonX is not a good player.,PersonX tries sushi before,xIntent,because PersonX wanted,to try sushi again.,PersonX is PersonY's maid of honor,isBefore,happens before,a prepositional phrase.,PersonX uses ___ anymore,xEffect,"as a result, PersonX will",be able to ____.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX drops it on the floor,HinderedBy,can be hindered by,the fact that the floor is slippery.,PersonX helps PersonY stay awake,oWant,"as a result, PersonY or others want",to know why PersonX is helping PersonY stay awake.,PersonX enters an art contest,isAfter,happens after,that PersonX wins the art contest.,PersonX accidentally ran,xWant,"as a result, PersonX wants",to run again.,PersonX breaks PersonX's hip,HinderedBy,can be hindered by,the fact that PersonX is a person.,-1,1,-1,1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX moves the car,xNeed,"but before, PersonX needed",to have a valid driver's license.,goalie,AtLocation,located or found at/in/on,the top 10 of the NHL draft.,PersonX finds a good one,oWant,"as a result, PersonY or others want",to know about it.,PersonX buys PersonX's wife ___,xAttr,"so, PersonX is seen as",a form of prostitution.,PersonX owes PersonY,oReact,"as a result, PersonY or others feel",that PersonY is indebted to PersonX.,2,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX wants to be an actor,xEffect,"as a result, PersonX will",be an actor.,PersonX passes ___ around,isFilledBy,blank can be filled by,any of the following:,PersonX offers ___ on this book when ordered,xWant,"as a result, PersonX wants",to know if the book is still available.,PersonX abuses PersonX's power,xIntent,because PersonX wanted,to be able to do something about it.,PersonX pulls PersonY's car over,xWant,"as a result, PersonX wants","to know if PersonY was armed. If PersonY was armed, PersonX",1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes PersonY decision,xAttr,"so, PersonX is seen as",a violation of the principle of autonomy.,PersonX gives PersonY an f,oWant,"as a result, PersonY or others want",to know why PersonX gave PersonY an f.,PersonX is going on a camping trip,HinderedBy,can be hindered by,the fact that PersonX is not going on a camping trip.,PersonX visits PersonX's mother 's ___,xAttr,"so, PersonX is seen as",a sign of respect.,PersonX has many friends,oEffect,"as a result, PersonY or others will",be able to see the list of friends.,2,2,-2,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",mohair,ObjectUse,used for,"the body of the sweater, and the sleeves are made from a wool/m",PersonX chases rainbows,HinderedBy,can be hindered by,the fact that the person is not a rainbow chaser.,PersonX has PersonX's fingers in many pies,isAfter,happens after,that PersonX's fingers get burned.,PersonX prevents ___ from entering,xReact,"as a result, PersonX feels","___.""",PersonX looks both ways,xNeed,"but before, PersonX needed",to look at the other side of the street.,1,1,1,1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX puts ___ together,xReact,"as a result, PersonX feels","___ about ___.""",PersonX studies ___ in college,xEffect,"as a result, PersonX will",be able to ___ in the future.,PersonX expects another ___,oEffect,"as a result, PersonY or others will",be disappointed.,PersonX impedes PersonY's progress,HinderedBy,can be hindered by,PersonY.,PersonX gets ___ as a result,oWant,"as a result, PersonY or others want",to know why.,-9,1,1,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX bestows ___ upon PersonY,xReact,"as a result, PersonX feels",___ and PersonY feels ___.,PersonX sits on PersonY's bed,isAfter,happens after,that PersonY's bed is now dirty.,PersonX gets the shot,xAttr,"so, PersonX is seen as",a sign of their superiority.,PersonX comes to PersonY house,isAfter,happens after,that PersonY is going to be very happy.,PersonX takes things for granted,xReact,"as a result, PersonX feels",that PersonY is not appreciative of PersonX.,1,1,-9,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX asks PersonY to bring,xReact,"as a result, PersonX feels",that PersonY is obliged to bring.,PersonX opens the lid,HinderedBy,can be hindered by,the fact that the lid is already open.,PersonX looks at PersonY like that,xIntent,because PersonX wanted,to kill PersonY.,PersonX hands PersonY a glass,xReact,"as a result, PersonX feels",a sense of satisfaction.,PersonX tells PersonX's jokes,HinderedBy,can be hindered by,the fact that PersonX is not present.,1,1,-1,1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX chooses one 's ___,oWant,"as a result, PersonY or others want",to do the same.,PersonX loves PersonY's ___ well,isFilledBy,blank can be filled by,any number of things.,PersonX plays PersonY's favorite song,isBefore,happens before,a pre-condition.,PersonX gets PersonY hands on,xAttr,"so, PersonX is seen as",a threat to the relationship.,PersonX nurses it back to health,xNeed,"but before, PersonX needed",to get it to the vet.,1,-2,-2,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX uses the restroom,oReact,"as a result, PersonY or others feel",uncomfortable.,PersonX waits for PersonY answer,xReact,"as a result, PersonX feels",that PersonY is not a good team player.,PersonX sees what happened,oWant,"as a result, PersonY or others want","to know what happened, and they would want to know what happened to PersonX",PersonX cracks the eggs,HinderedBy,can be hindered by,the fact that the eggs are in a bowl.,PersonX finally got ___,oWant,"as a result, PersonY or others want",to get ___ too.,-1,1,1,-1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX gets right back,xIntent,because PersonX wanted,to get back to PersonY.,PersonX dyes PersonX's hair pink,xAttr,"so, PersonX is seen as",a transgression against PersonX's gender identity.,PersonX eats crackers,isAfter,happens after,that PersonX gets hungry.,PersonX buys PersonX's wife ___,xWant,"as a result, PersonX wants","to buy PersonX's wife's sister ___, and PersonX's wife's",PersonX becomes PersonY engineer,isAfter,happens after,that they start to think about the world differently. They start to think about the,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX peers inside,xWant,"as a result, PersonX wants",to know if PersonY is a person or a robot. PersonX would then,PersonX asks PersonY to speak,isAfter,happens after,not a reason for PersonY to speak.,medical tools,ObjectUse,used for,"the purpose of the medical treatment of the person, the person is not required to",PersonX pulls open the ___,xIntent,because PersonX wanted,"to see the ___, and PersonX saw the ___.",PersonX works really well,oEffect,"as a result, PersonY or others will",be more interested in the product.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX inflicts ___ on others,xIntent,because PersonX wanted,to be punished.,PersonX says goodnight,oEffect,"as a result, PersonY or others will","say goodnight, too.",PersonX wants PersonY to come,oReact,"as a result, PersonY or others feel",left out.,PersonX goes about PersonX's work,xWant,"as a result, PersonX wants",to know what PersonX has done. PersonX would want to know what Person,PersonX buys one,oWant,"as a result, PersonY or others want",to buy one too.,1,2,-1,-2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX says sure,xNeed,"but before, PersonX needed",to know that PersonY was not going to use the information to harm PersonX,PersonX builds castles in the air,xAttr,"so, PersonX is seen as",a sign of madness.,PersonX sits next to PersonY in class,isAfter,happens after,that PersonX is now sitting next to PersonY.,PersonX gives PersonY PersonX's name,xAttr,"so, PersonX is seen as",a way of saying that PersonX is a person.,PersonX falls on PersonY,xReact,"as a result, PersonX feels",pain.,1,1,-1,-2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX gets PersonX's juices flowing,isBefore,happens before,not a cause of PersonX's getting PersonX's juices flowing.,PersonX loves the cake,oWant,"as a result, PersonY or others want",to eat it too.,PersonX takes ___ of things,xIntent,because PersonX wanted,"to do ___, but PersonX did not do ___ because of ___.",PersonX wants a car,oWant,"as a result, PersonY or others want",a car too.,PersonX makes ___ the other day,isFilledBy,blank can be filled by,a variety of people.,-2,2,-2,-1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX drops money off at home,isAfter,happens after,that PersonX goes to the store.,hungry,HasSubEvent,includes the event/action,to go to the grocery store and buy a bunch of food. You might buy,stonemason,CapableOf,is/are capable of,be used to create a new instance of the class.,PersonX becomes ill,xAttr,"so, PersonX is seen as",a sign of the illness.,PersonX follows the ___ far,isFilledBy,blank can be filled by,the following:,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX rids horses,isAfter,happens after,that PersonX is no longer a horse.,PersonX gets worn out,HinderedBy,can be hindered by,the fact that the person is not a person but a person-shaped hole.,PersonX treats ___ in children,xAttr,"so, PersonX is seen as",a sign of ___ in adults.,PersonX makes PersonY assault,xNeed,"but before, PersonX needed",to have a reason to assault PersonY.,PersonX leaves PersonX's husband,HinderedBy,can be hindered by,the fact that the husband is a person.,1,1,1,1,1
