Title,Description,Keywords,situation,question,type
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I put my fluffy cat in the dryer on higher,Why did you put your cat in the dryer?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Robert declines his friends offer for indian food and orders pizza,Why did he decline?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",feeling defeated.,Why are you feeling defeated?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being upset if your spouse tried something new that put your relationship at risk,What did your spouse try?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",joking about AI becoming overlords in the future.,Who are you joking with?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",breaking societies norms.,What norms are you breaking?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I boiled the head of cabbage in my large pot on my stove,What was the cabbage used for?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I sealed the documents in court,What documents are you sealing?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",accepting help from people.,What kind of help?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","As a cashier, I always remember to count the change quickly and intentfully before giving it to the customer",Why are you counting the change?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","calling the authorities on thieves, no matter who they are.",Who are the thieves?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I put extra protein powder in my daughter's shake after her run,What kind of protein powder did you put in?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",showing solidarity with family members in the face of adversity.,What kind of adversity?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",telling your partner if they are bothering you.,Why are they bothering you?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","As the kids watched cartoons, I rushed to the attic",Did you clean up the attic?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",practicing religion however you feel comfortable.,What religion do you practice?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",pressuring your boyfriend into proposing when they aren't ready yet.,Why are you pressing them into proposing?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I stood in line at the public restroom,What did you do in the restroom?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I bribed my lawyer to do a better job,What did your lawyer do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not liking any of someone's ideas.,What ideas are they talking about?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",prejudging someone just because they are struggling with mental health issues.,What kind of mental health issues?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting a job when you don't have money,How much money do you have?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",keeping to one lane of traffic.,How do you feel about this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I attended my best friend's wedding over the summer,What did your friend think about you?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",finding a better teacher,What do you need a better teacher for?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I watered my neighbor's vegetable garden,What vegetable was growing in the garden?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",avoiding people that make you uncomfortable.,Why are you avoiding them?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",commenting on someone's weight.,Why are you commenting on their weight?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I could only grab one thing before the tornado hit, so I grabbed my puppy and left my Picasso",Did you leave your Picasso behind?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being different,What makes you different?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Zack takes a short nap and then heads to the client meeting,Why did Zack take a nap?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I told her she looked pretty in her new dress,Did she take your compliment?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",saying no to a marriage proposal.,Why did you say no?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I reached for my brother's hand and blew my snot into it,Why did you blow your snot into his hand?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",marrying your partner.,Do you have the right partner?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",making sure a friend doesn't do something they will regret.,What will they regret?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Mike goes to see Haley in the choir and watches a repeat of the documentary later,How did Haley react?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Joe talks about himself and his favorite subjects that disinterest Sarah,What are his favorite subjects?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Priya picks out some of the popular children's gifts of the season that include actions figures and plastic building blocks,What kind of gifts?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",letting others know how you feel.,How do you let others know?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I pulled out her weeds and left them in the trash so she was forced to acknoledge my skill at gardening,Did she like it?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",avoiding a friend.,What is your friend doing?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I took advantage of refugees at a refugee camp,What did you do to take advantage of refugees?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I carefully used the Bunsen burners in the science lab,What kind of burners did you use?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Dr. Doom recommends other treatments for the issues if the patient doesn't want surgery,What are the other treatments?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not wanting to get rid of a pet you are attached to.,How old is the pet?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Confessing your feelings to someone you like.,How do you feel about this person?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","As my grandparents slept, I wiped the ceiling fan",Why did you wipe the ceiling fan?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","My granny's eyesight is failing, so I move her rocker closer to the TV when her favorite show comes on",How close is she to the TV?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",sacrificing yourself in order to please your family.,What do you want your family to think about?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",wanting fresh meat.,How much fresh meat do you want?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I saw a book at the bookstore that I wanted so I bought it,Did you enjoy the book?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I made my stepdad's Koolaid with half the sugar since he is diabetic,Why did you make it with half the sugar?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",saving up money when you're able to.,How much money are you saving up?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being excited about your first day of work.,What is the job?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Greg works for four hours a day, six days a week, and earns $300 a week to put into his retirement account",What is Greg's job?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Frank waves his arms wildly in the air until his friend sees him, then motions for him to come over",What did Frank's friend do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Gordon takes all the chicken on the platter and puts it onto his plate,How much chicken was on the platter?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",James tries to 'neg' his date by insulting her weight in an effort to seduce her,Why did James insult her weight?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",damaging someone else's property on purpose.,Why did you damage their property?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",defending you parents actions.,What did your parents do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jack goes to his girlfriend's home the next day and gives her a gift,What was the gift?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I took her picture and asked her to sing for me,Why did you ask her to sing for you?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I like to make skirts out of flannel reclaimed from old curtains,Why do you like to make skirts out of flannel?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting your hair cut if it's really long.,What are you going to do with your hair?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",micromanaging your partner's life,Why do you need to micromanage your partner's life?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",James stops playing video games and starts ordering takeout for every meal,What kind of takeout does James order?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",keeping your head about you in chaos.,How can you calm yourself?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Ronnie punches his girlfriend for breaking his sculpture,How did Ronnie's girlfriend react?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I spread disinfectant all over the virus,What is the virus?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",helping out your parents.,What kind of help?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",acting on revenge.,What did you do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Leon approaches his friend and acknowledges the error of his ways,What was the error of his ways?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",exploring a different lifestyle.,What lifestyle are you exploring?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I helped clean the school's toilets when the janitor was sick,Did you help clean the toilets?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I brought my neighbor's jewelry to the pawn shop,Did you borrow the jewelry?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I brought my sister's pet chicken into the kitchen to put it in boiling water,What kind of chicken?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being a responsible employee.,What do you do for work?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I decided to visit my elderly relatives in the nursing home while I had the flu,What did your relatives think about this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",making a big deal about petty things.,What are the petty things?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jill suddenly cuts off all contact with Yolanda and disappears,Why did Jill cut off all contact with Yolanda?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I poked holes in all the condoms at the drugstore,Why did you poke holes in the condoms?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",talking to a therapist if you are afraid of commitment.,What is making you afraid of commitment?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",John picks up the phone and talks to Tony thereby stopping it from continuing to ring,Why is John picking up the phone?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Ray asks people to come visit him during his last days,What are the people visiting him for?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",feeling anxious when people say your name.,What do you do when people say your name?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",John steps a good distance away from his roommate before lighting up,What did John smoke?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",a friend treating another friend like a therapist,What is your friend's reaction to this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","When my friends tell me secrets, I post them all over social media",What secrets are you sharing?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being obsessive over another person.,What is your relationship to the person?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",always talking down about yourself,What are you talking about?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I went grocery shopping, leaving my 2 year old daughter home by herself",How old is your daughter?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Tyler, feeling less inhibitions because of the alcohol, makes some suggestive comments to his friend's spouse",How did his friend react?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","When I saw a painting I disliked at the art gallery, I tried to understand it",What did you dislike about the painting?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",trying out all different types of things in order to find hobbies.,What hobbies are you trying out?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Leticia informs Helene's parents that Helene has been having unprotected sex and has contracted an STD,Why does Leticia inform Helene's parents?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",feeling guilty when you ruin the packet your teacher gave you.,How did you ruin the packet?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I stayed extra hours at the office to sleep with my manager,Why did you need to sleep with your manager?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",bringing your own meal to a dinner.,What kind of food are you bringing?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I watched with lust as the young boy swam in the pool,Why did you watch?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I dumped my boyfriend and consequently he became extremely sad for a month,Why did you dump your boyfriend?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",rejecting people.,What is your reason for rejecting them?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Rev posts something embarassing on Rae's social media account, getting revenge",What did Rae do?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting your teammates fired.,What did they do?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jackson orders one large pizza and a drink for himself,What does Jackson eat?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I took both of my kids by their hands and ran away from the burning house,Why did you run away?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",wearing hats when you hate them.,What makes you hate them?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I ran to swipe the old man's bags,What did you do to the old man's bags?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",discriminating against trans people.,Why are you discriminating against trans people?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Matthew smacks Derek hoping the shock will return him to normal,What did Derek do to Matthew?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","While my parents were fast asleep, I mowed their yard",Why did you mow their yard?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not spending all your time at your house.,Why do you want to stay home?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",taking advantage of others for a profit.,What is your business?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I signed up on a dating website because my girlfriend isn't enough,Why aren't you enough?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Dan criticizes the family’s habits during the dinner and makes fun of their personal hygiene,What is Dan's family's personal hygiene?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I acted like I put lots of hay on the barn floor before letting my cousins jump from the loft,What did your cousins do?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",insulting friends,Why are you insulting them?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",John drives himself home despite being heavily intoxicated,How drunk was John?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",talking through problems with partner.,What problems are you talking about?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Jennifer tells her classmate that she is busy, but appreciates his gesture",What gesture did he make?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Julie bends down to pick up the money, and she sticks it in her pocket",How much money was there?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",asking a friend for advice about whether your attire is appropriate for an event or not,What kind of advice would you get?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I had to hide because they were playing hide and seek,What was the situation?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Tom physically assaults his neighbor in retaliation for the robbery,How did the neighbor react?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not wanting to apologize for something that wasn't intentional,What didn't you intend?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Ben tells Maggie that he's traveling alone,Why does Ben want Maggie to travel alone?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",discussing your expectations in a relationship.,What are your expectations?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I handed my small baby a green rattle to play with,Why did you give your baby a rattle?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Timmy invites a female coworker on a date with him to the movies,How does his coworker feel about that?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I was careful to overfeed the baby and so he got sick,How did you overfeed the baby?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Improving yourself as a person to become more desirable.,What are you doing to become more desirable?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being faithful in a relationship.,How long have you been in the relationship?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","As my parents slept, I played basketball",What did you do?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I physically assault a woman I suspect my husband is secretly cheating with,Why are you assaulting her?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jed orders a double bacon cheeseburger and a double order of fries at the restaurant,What was the price of the food?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",always helping your kids out when they are having problems.,What kind of help?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Martha asks Kayla about her boyfriend that evening at dinner,Did Kayla like the conversation?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Randy ignores his friends and goes to college,Why is Randy ignoring his friends?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",tracking sand into the house.,What is the situation?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",showing your license and insurance if asked,Why do you need to show your license and insurance?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Joe gradually spends more time with his more responsible friends,How does Joe feel about this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being accepting of the person in your circle who does things a little differently.,What does the person do differently?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",leaving your partner if they make you unhappy.,Why are you unhappy with your partner?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Chris ignores his dog and gazes at the scenery around him, waiting for the dog to be done with his business",Why is Chris ignoring his dog?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I was feeding the bird with a new peanut while laughing,What kind of peanut did you give the bird?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",having a career goal.,What is your career goal?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",respecting someone wishes if they don't celebrate a birthday.,What is the reason they don't celebrate their birthday?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I stepped on the chicken eggs at the farm, breaking all of them",How did you break them?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",always eating what you cook so you don't waste food.,What do you cook?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Biff plans safe riding routes with his friends and then shows off how fast it can go,How does Biff know the routes are safe?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",recouping money by selling old furniture.,What kind of furniture are you selling?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Azure drives to a nearby gas station to ask the attendant for help,What kind of help did the attendant provide?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",exchanging pleasantries upon seeing one another.,What kind of pleasantries?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","No one wants to eat my food so I was like ""oh-well"" and just shove it down their throats",What kind of food?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",discriminating against autistic people.,Why are you discriminating against autistic people?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",sometimes doing things you normally wouldn't to get things done.,What are you doing to get things done?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting some help if you're an introvert and lonely.,What kind of help would you like?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I put my dirty jeans in the washer at the laundromat,How dirty were the jeans?,ppo_0.6
