Title,Description,Keywords,obs1,obs2,generatedHyp,model,Answer.grammatical,Answer.understandable,Answer.o1_h_coherence,Answer.h_o2_coherence,Answer.overall_coherence,Answer.overall_informativeness,Answer.not-understandable-reason
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Kelly opened up a gift from her grandmother.," But to be nice, she told her grandmother she liked it.","It was a small, white box.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Kelly opened up a gift from her grandmother.," But to be nice, she told her grandmother she liked it.","It was a small, white box.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Kelly opened up a gift from her grandmother.," But to be nice, she told her grandmother she liked it.","It was a small, white box.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,-1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tom was looking for Kenya on the globe.,It turns out it was in Africa.,He found a map of Kenya.,delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tom was looking for Kenya on the globe.,It turns out it was in Africa.,He found a map of Kenya.,delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tom was looking for Kenya on the globe.,It turns out it was in Africa.,He found a map of Kenya.,delorean_x_only,2,2,1,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Abby and Beck always read before bed.," On the way up, they woke up, this is the last time she reads for them.",I'm not sure if they read before bed because they're so tired.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,1,-2,-2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Abby and Beck always read before bed.," On the way up, they woke up, this is the last time she reads for them.",I'm not sure if they read before bed because they're so tired.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Abby and Beck always read before bed.," On the way up, they woke up, this is the last time she reads for them.",I'm not sure if they read before bed because they're so tired.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ray hung a tire on a rope to make his daughter a swing.,Ray ran to his daughter to make sure she was okay.,Ray hung a tire on a rope to make his daughter a swing.,delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ray hung a tire on a rope to make his daughter a swing.,Ray ran to his daughter to make sure she was okay.,Ray hung a tire on a rope to make his daughter a swing.,delorean_x_only,2,2,-1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ray hung a tire on a rope to make his daughter a swing.,Ray ran to his daughter to make sure she was okay.,Ray hung a tire on a rope to make his daughter a swing.,delorean_x_only,2,2,1,-1,1,-2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Amy had heart palpitations after a lot of caffeine.,By the time she arrived her heart felt much better.,She felt like she was going to pass out.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Amy had heart palpitations after a lot of caffeine.,By the time she arrived her heart felt much better.,She felt like she was going to pass out.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Amy had heart palpitations after a lot of caffeine.,By the time she arrived her heart felt much better.,She felt like she was going to pass out.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Nicole was spinning around in a circle with her classmates.,All the kids started laughing.,"She was in the middle of a circle of girls, and she was wearing a white dress.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Nicole was spinning around in a circle with her classmates.,All the kids started laughing.,"She was in the middle of a circle of girls, and she was wearing a white dress.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Nicole was spinning around in a circle with her classmates.,All the kids started laughing.,"She was in the middle of a circle of girls, and she was wearing a white dress.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Jan plays tennis.,She will continue to work on her backhand.,"""I'm a tennis player,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Jan plays tennis.,She will continue to work on her backhand.,"""I'm a tennis player,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Jan plays tennis.,She will continue to work on her backhand.,"""I'm a tennis player,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Nicole was spinning around in a circle with her classmates.,All the kids started laughing.,She was in the middle of a lesson when a boy came up to her and asked her to dance.,delorean_x_only,2,2,2,2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Nicole was spinning around in a circle with her classmates.,All the kids started laughing.,She was in the middle of a lesson when a boy came up to her and asked her to dance.,delorean_x_only,2,2,2,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Nicole was spinning around in a circle with her classmates.,All the kids started laughing.,She was in the middle of a lesson when a boy came up to her and asked her to dance.,delorean_x_only,2,2,-1,1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Peyton played football professionally.,He was forced to quit playing.,He played for the University of Tennessee quit football and went to work for the Tennessee Valley Authority.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Peyton played football professionally.,He was forced to quit playing.,He played for the University of Tennessee quit football and went to work for the Tennessee Valley Authority.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Peyton played football professionally.,He was forced to quit playing.,He played for the University of Tennessee quit football and went to work for the Tennessee Valley Authority.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",My favorite movie is the Wizard of Oz.," One day, I decided to buy the movie.",I love the movie.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",My favorite movie is the Wizard of Oz.," One day, I decided to buy the movie.",I love the movie.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",My favorite movie is the Wizard of Oz.," One day, I decided to buy the movie.",I love the movie.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,-1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I moved the razor over my face.,Five more swipe made my face smooth.,I was surprised to find that it was not a very smooth shave.,delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I moved the razor over my face.,Five more swipe made my face smooth.,I was surprised to find that it was not a very smooth shave.,delorean_x_only,-2,-2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I moved the razor over my face.,Five more swipe made my face smooth.,I was surprised to find that it was not a very smooth shave.,delorean_x_only,2,2,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Becs sat down to start her novel on Sunday morning.," For the next 6 hours, she wrote without stopping.","She had just finished reading the first chapter, and was about to start the second.",delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Becs sat down to start her novel on Sunday morning.," For the next 6 hours, she wrote without stopping.","She had just finished reading the first chapter, and was about to start the second.",delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Becs sat down to start her novel on Sunday morning.," For the next 6 hours, she wrote without stopping.","She had just finished reading the first chapter, and was about to start the second.",delorean_x_only,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sam thought he was the strongest one in the gym.,He lifted more than Sam with one hand and took his money.,He was the strongest one in the gym.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sam thought he was the strongest one in the gym.,He lifted more than Sam with one hand and took his money.,He was the strongest one in the gym.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sam thought he was the strongest one in the gym.,He lifted more than Sam with one hand and took his money.,He was the strongest one in the gym.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Iris really needed a new hair treatment.,When it was done it was great.,"She had been using the same hair product for years, and it was starting to get on her skin.",delorean_x_only,1,1,1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Iris really needed a new hair treatment.,When it was done it was great.,"She had been using the same hair product for years, and it was starting to get on her skin.",delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Iris really needed a new hair treatment.,When it was done it was great.,"She had been using the same hair product for years, and it was starting to get on her skin.",delorean_x_only,1,1,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I bought a great pair of red shoe at the shoe store.,I ended up getting a white pair with no heels.,"I was going to buy a pair of black shoes, but I decided to go with red shoes because I like red shoes.",delorean_x_only,1,2,1,1,1,-1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I bought a great pair of red shoe at the shoe store.,I ended up getting a white pair with no heels.,"I was going to buy a pair of black shoes, but I decided to go with red shoes because I like red shoes.",delorean_x_only,1,1,1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I bought a great pair of red shoe at the shoe store.,I ended up getting a white pair with no heels.,"I was going to buy a pair of black shoes, but I decided to go with red shoes because I like red shoes.",delorean_x_only,2,2,1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Abby and Beck always read before bed.," On the way up, they woke up, this is the last time she reads for them.",They are both avid readers and they have a very for books.,delorean_x_only,-2,-1,1,-2,-2,,"It isn't clear what ""a very for books"" means."
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Abby and Beck always read before bed.," On the way up, they woke up, this is the last time she reads for them.",They are both avid readers and they have a very for books.,delorean_x_only,1,-1,-1,-2,-2,,they have a very for books is an incomplete thought
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Abby and Beck always read before bed.," On the way up, they woke up, this is the last time she reads for them.",They are both avid readers and they have a very for books.,delorean_x_only,-1,-1,1,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",A scuba diver went to a lake to look at the fish.,He found a wallet in the car and nothing else.,He was attacked by a shark.,delorean_x_only,2,2,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",A scuba diver went to a lake to look at the fish.,He found a wallet in the car and nothing else.,He was attacked by a shark.,delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",A scuba diver went to a lake to look at the fish.,He found a wallet in the car and nothing else.,He was attacked by a shark.,delorean_x_only,2,2,1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob needed a new pair of socks.,Bob returned everything the next day.,"He went to the store, and the clerk said, 'I don't have any socks.'",delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob needed a new pair of socks.,Bob returned everything the next day.,"He went to the store, and the clerk said, 'I don't have any socks.'",delorean_x_only,2,2,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob needed a new pair of socks.,Bob returned everything the next day.,"He went to the store, and the clerk said, 'I don't have any socks.'",delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Micah was at work.,He was never able to find it.,He was at work.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Micah was at work.,He was never able to find it.,He was at work.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Micah was at work.,He was never able to find it.,He was at work.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I am visiting my mother-in-law this weekend.,I ordered a big number alarm clock that has good reviews.,I am going to be spending the weekend at a friend's house.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I am visiting my mother-in-law this weekend.,I ordered a big number alarm clock that has good reviews.,I am going to be spending the weekend at a friend's house.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",I am visiting my mother-in-law this weekend.,I ordered a big number alarm clock that has good reviews.,I am going to be spending the weekend at a friend's house.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Amy was in the park walking her dog Spot.,Amy gave the mime a $5 to make up for being scared by Spot.,She was wearing a white shirt and black pants.,delorean_x_only,2,2,2,-2,-2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Amy was in the park walking her dog Spot.,Amy gave the mime a $5 to make up for being scared by Spot.,She was wearing a white shirt and black pants.,delorean_x_only,2,2,2,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Amy was in the park walking her dog Spot.,Amy gave the mime a $5 to make up for being scared by Spot.,She was wearing a white shirt and black pants.,delorean_x_only,2,2,2,-2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Iris really needed a new hair treatment.,When it was done it was great.,"She was having a lot of hair done, and she was wearing a very short skirt.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,2,2,2,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Iris really needed a new hair treatment.,When it was done it was great.,"She was having a lot of hair done, and she was wearing a very short skirt.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-1,1,-1,1,1,-1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Iris really needed a new hair treatment.,When it was done it was great.,"She was having a lot of hair done, and she was wearing a very short skirt.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,1,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Charly signaled to her companion to be silent.," They breathed a sigh of relief, and resumed their morning jog.",The two of them were in the middle of a conversation.,delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Charly signaled to her companion to be silent.," They breathed a sigh of relief, and resumed their morning jog.",The two of them were in the middle of a conversation.,delorean_x_only,2,2,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Charly signaled to her companion to be silent.," They breathed a sigh of relief, and resumed their morning jog.",The two of them were in the middle of a conversation.,delorean_x_only,2,2,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Matt had taken six different babysitting jobs in one day.," By the end of the day, Matt was so tired he slept around 8 PM.","He 'I was like little kid, and I was like, 'I'm going to be a babysitter,'' Matt said.",delorean_x_only,-1,1,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Matt had taken six different babysitting jobs in one day.," By the end of the day, Matt was so tired he slept around 8 PM.","He 'I was like little kid, and I was like, 'I'm going to be a babysitter,'' Matt said.",delorean_x_only,-2,-2,-1,1,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Matt had taken six different babysitting jobs in one day.," By the end of the day, Matt was so tired he slept around 8 PM.","He 'I was like little kid, and I was like, 'I'm going to be a babysitter,'' Matt said.",delorean_x_only,-2,-2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ella had packed a picnic for her family.,Ella was happy that the picnic wasn't ruined.,"She was going to take a walk with her two young daughters, but she was stopped by a police officer.",delorean_x_only,2,2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ella had packed a picnic for her family.,Ella was happy that the picnic wasn't ruined.,"She was going to take a walk with her two young daughters, but she was stopped by a police officer.",delorean_x_only,1,1,1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Ella had packed a picnic for her family.,Ella was happy that the picnic wasn't ruined.,"She was going to take a walk with her two young daughters, but she was stopped by a police officer.",delorean_x_only,2,2,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tom was looking for Kenya on the globe.,It turns out it was in Africa.,"""I was looking for Kenya on Africa's map, and I found it,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,2,2,2,-1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tom was looking for Kenya on the globe.,It turns out it was in Africa.,"""I was looking for Kenya on Africa's map, and I found it,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,1,-1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Tom was looking for Kenya on the globe.,It turns out it was in Africa.,"""I was looking for Kenya on Africa's map, and I found it,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Judy was sad because she scored poorly on a her vision test.,Judy was glad she got glasses.,She was also sad because she got a glasses prescription for her daughter.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Judy was sad because she scored poorly on a her vision test.,Judy was glad she got glasses.,She was also sad because she got a glasses prescription for her daughter.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Judy was sad because she scored poorly on a her vision test.,Judy was glad she got glasses.,She was also sad because she got a glasses prescription for her daughter.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,-2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Dave was friends with all the cool kids in school.," Dave said no to Mike, and no one seemed to care.","He was a popular kid, and he was popular good athlete.",delorean_x_only,2,2,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Dave was friends with all the cool kids in school.," Dave said no to Mike, and no one seemed to care.","He was a popular kid, and he was popular good athlete.",delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Dave was friends with all the cool kids in school.," Dave said no to Mike, and no one seemed to care.","He was a popular kid, and he was popular good athlete.",delorean_x_only,1,2,1,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Susan loves to ride her horse on the nearby trails.,Susan needed stitches to close the cut on her head.,"She loves to walk her dog, Liza cutie, and she loves to cook.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Susan loves to ride her horse on the nearby trails.,Susan needed stitches to close the cut on her head.,"She loves to walk her dog, Liza cutie, and she loves to cook.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Susan loves to ride her horse on the nearby trails.,Susan needed stitches to close the cut on her head.,"She loves to walk her dog, Liza cutie, and she loves to cook.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,1,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",My favorite movie is the Wizard of Oz.," One day, I decided to buy the movie.",I love the way it uses the color red to make the story and the characters come alive.,delorean_x_only,2,1,2,-2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",My favorite movie is the Wizard of Oz.," One day, I decided to buy the movie.",I love the way it uses the color red to make the story and the characters come alive.,delorean_x_only,2,2,1,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",My favorite movie is the Wizard of Oz.," One day, I decided to buy the movie.",I love the way it uses the color red to make the story and the characters come alive.,delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Anne went on a guided jungle trek.,Anna had a wonderful time on her jungle trek.,"The first time she went on a guided jungle trek, she was a little nervous.",delorean_x_only,2,2,2,2,2,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Anne went on a guided jungle trek.,Anna had a wonderful time on her jungle trek.,"The first time she went on a guided jungle trek, she was a little nervous.",delorean_x_only,2,2,2,2,2,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Anne went on a guided jungle trek.,Anna had a wonderful time on her jungle trek.,"The first time she went on a guided jungle trek, she was a little nervous.",delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Raya went to visit her family in Iran.,She was glad to return home to America.,She was in Iran for a few months and then came back to the US.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Raya went to visit her family in Iran.,She was glad to return home to America.,She was in Iran for a few months and then came back to the US.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Raya went to visit her family in Iran.,She was glad to return home to America.,She was in Iran for a few months and then came back to the US.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Terry was drafted at 18.,The small amount was enough to help him get a taste for it.,"He was the first pick of help from the draft, and he's been a big part of the team's success.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Terry was drafted at 18.,The small amount was enough to help him get a taste for it.,"He was the first pick of help from the draft, and he's been a big part of the team's success.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Terry was drafted at 18.,The small amount was enough to help him get a taste for it.,"He was the first pick of help from the draft, and he's been a big part of the team's success.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,-1,1,-2,-1,,the first pick of help is odd
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Susan loves to ride her horse on the nearby trails.,Susan needed stitches to close the cut on her head.,She loves to walk for a walk in the woods and to play with her dog.,delorean_x_only,2,2,1,-2,-2,,{}
