Title,Description,Keywords,e1_0,e2_0,relation_0,score_0,gold_triple_idx_0,readable_relation_0,e1_1,e2_1,relation_1,score_1,gold_triple_idx_1,readable_relation_1,e1_2,e2_2,relation_2,score_2,gold_triple_idx_2,readable_relation_2,e1_3,e2_3,relation_3,score_3,gold_triple_idx_3,readable_relation_3,e1_4,e2_4,relation_4,score_4,gold_triple_idx_4,readable_relation_4,e1_5,e2_5,relation_5,score_5,gold_triple_idx_5,readable_relation_5,e1_6,e2_6,relation_6,score_6,gold_triple_idx_6,readable_relation_6,e1_7,e2_7,relation_7,score_7,gold_triple_idx_7,readable_relation_7,e1_8,e2_8,relation_8,score_8,gold_triple_idx_8,readable_relation_8,e1_9,e2_9,relation_9,score_9,gold_triple_idx_9,readable_relation_9
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX takes PersonY to the circus,PersonX smiles,xEffect,0.71329105,19,effect on PersonX,PersonX takes PersonY to the circus,is thanked,xEffect,0.6884135,19,effect on PersonX,PersonX takes PersonY to the circus,thanked,xEffect,0.68610466,19,effect on PersonX,PersonX takes PersonY to the circus,yelled at,xEffect,0.5698985,19,effect on PersonX,PersonX takes PersonY to the circus,gets tired,xEffect,0.4938918,19,effect on PersonX,PersonX takes PersonY to the circus,gets yelled at,xEffect,0.49053147,19,effect on PersonX,PersonX takes PersonY to the circus,no effect,xEffect,0.4667294,19,effect on PersonX,PersonX takes PersonY to the circus,laughs,xEffect,0.43571535,19,effect on PersonX,PersonX takes PersonY to the circus,goes home,xEffect,0.38208273,19,effect on PersonX,PersonX takes PersonY to the circus,receives thanks,xEffect,0.37922424,19,effect on PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX takes the field,practice,xNeed,0.52073556,220,"before the event, PersonX might need to",PersonX takes the field,to practice,xNeed,0.5114565,220,"before the event, PersonX might need to",PersonX takes the field,money,xNeed,0.49434328,220,"before the event, PersonX might need to",PersonX takes the field,to go to the store,xNeed,0.470943,220,"before the event, PersonX might need to",PersonX takes the field,a car,xNeed,0.46498945,220,"before the event, PersonX might need to",PersonX takes the field,shoes,xNeed,0.46080112,220,"before the event, PersonX might need to",PersonX takes the field,to make a plan,xNeed,0.38762864,220,"before the event, PersonX might need to",PersonX takes the field,to be knowing y,xNeed,0.3769476,220,"before the event, PersonX might need to",PersonX takes the field,each other,xNeed,0.34713516,220,"before the event, PersonX might need to",PersonX takes the field,to get in the car,xNeed,0.34295052,220,"before the event, PersonX might need to"
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX signs  up for lessons,curious,oReact,0.49917963,20,reaction of others besides PersonX,PersonX signs  up for lessons,informed,oReact,0.4719253,20,reaction of others besides PersonX,PersonX signs  up for lessons,excited,oReact,0.44093767,20,reaction of others besides PersonX,PersonX signs  up for lessons,interested,oReact,0.4267206,20,reaction of others besides PersonX,PersonX signs  up for lessons,hopeful,oReact,0.40108693,20,reaction of others besides PersonX,PersonX signs  up for lessons,helpful,oReact,0.38272062,20,reaction of others besides PersonX,PersonX signs  up for lessons,friendly,oReact,0.36480474,20,reaction of others besides PersonX,PersonX signs  up for lessons,grateful,oReact,0.35125798,20,reaction of others besides PersonX,PersonX signs  up for lessons,nervous,oReact,0.30986738,20,reaction of others besides PersonX,PersonX signs  up for lessons,none,oReact,0.3057355,20,reaction of others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX sends  to a conference,none,oWant,0.5004526,547,others besides PersonX might now want to,PersonX sends  to a conference,to understand what PersonX is saying,oWant,0.3568904,547,others besides PersonX might now want to,PersonX sends  to a conference,to ask questions,oWant,0.35040858,547,others besides PersonX might now want to,PersonX sends  to a conference,ask questions,oWant,0.34626395,547,others besides PersonX might now want to,PersonX sends  to a conference,to wait for PersonX,oWant,0.30942208,547,others besides PersonX might now want to,PersonX sends  to a conference,to listen to PersonX,oWant,0.30887625,547,others besides PersonX might now want to,PersonX sends  to a conference,to hope for the best,oWant,0.29179448,547,others besides PersonX might now want to,PersonX sends  to a conference,i breath deeply in relief,oWant,0.27679288,547,others besides PersonX might now want to,PersonX sends  to a conference,to ignore PersonX,oWant,0.2727131,547,others besides PersonX might now want to,PersonX sends  to a conference,them out of the apartment,oWant,0.26813045,547,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX takes PersonX for the team,none,oEffect,0.8449467,21,effect on others besides PersonX,PersonX takes PersonX for the team,no effect,oEffect,0.43392783,21,effect on others besides PersonX,PersonX takes PersonX for the team,PersonY thanks PersonX,oEffect,0.3983899,21,effect on others besides PersonX,PersonX takes PersonX for the team,wins,oEffect,0.3247172,21,effect on others besides PersonX,PersonX takes PersonX for the team,thanks PersonX,oEffect,0.30306658,21,effect on others besides PersonX,PersonX takes PersonX for the team,PersonY yells at PersonX,oEffect,0.28344232,21,effect on others besides PersonX,PersonX takes PersonX for the team,sweats,oEffect,0.27602494,21,effect on others besides PersonX,PersonX takes PersonX for the team,i breath deeply in relief,oEffect,0.2689436,21,effect on others besides PersonX,PersonX takes PersonX for the team,x has to update y on the changes in the system,oEffect,0.2574492,21,effect on others besides PersonX,PersonX takes PersonX for the team,PersonY smiles,oEffect,0.2541448,21,effect on others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX names names,gets yelled at,xEffect,0.3904378,221,effect on PersonX,PersonX names names,PersonX sweats from nervousness,xEffect,0.37155786,221,effect on PersonX,PersonX names names,none,xEffect,0.31740674,221,effect on PersonX,PersonX names names,PersonX smiles,xEffect,0.3060005,221,effect on PersonX,PersonX names names,yelled at,xEffect,0.2755432,221,effect on PersonX,PersonX names names,PersonX is yelled at,xEffect,0.2670882,221,effect on PersonX,PersonX names names,punished,xEffect,0.24415383,221,effect on PersonX,PersonX names names,i breath deeply in relief,xEffect,0.23593384,221,effect on PersonX,PersonX names names,gets a headache,xEffect,0.21611479,221,effect on PersonX,PersonX names names,thanked,xEffect,0.2115776,221,effect on PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX decides to get a new haircut,none,oReact,0.9798493,549,reaction of others besides PersonX,PersonX decides to get a new haircut,buckles seatbelt,oReact,0.25564465,549,reaction of others besides PersonX,PersonX decides to get a new haircut,their virginity,oReact,0.24389036,549,reaction of others besides PersonX,PersonX decides to get a new haircut,buckle seat belt,oReact,0.22073072,549,reaction of others besides PersonX,PersonX decides to get a new haircut,PersonY's love,oReact,0.21262303,549,reaction of others besides PersonX,PersonX decides to get a new haircut,switching to new mobile,oReact,0.20545982,549,reaction of others besides PersonX,PersonX decides to get a new haircut,their makeup,oReact,0.19023208,549,reaction of others besides PersonX,PersonX decides to get a new haircut,curious,oReact,0.1877859,549,reaction of others besides PersonX,PersonX decides to get a new haircut,buckle their seatbelt,oReact,0.18477076,549,reaction of others besides PersonX,PersonX decides to get a new haircut,their dress,oReact,0.18140563,549,reaction of others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX wants a job,none,oWant,0.95431674,22,others besides PersonX might now want to,PersonX wants a job,i breath deeply in relief,oWant,0.25719804,22,others besides PersonX might now want to,PersonX wants a job,their virginity,oWant,0.22561297,22,others besides PersonX might now want to,PersonX wants a job,goes to his friend,oWant,0.20683466,22,others besides PersonX might now want to,PersonX wants a job,to praise PersonX,oWant,0.19336018,22,others besides PersonX might now want to,PersonX wants a job,b,oWant,0.19101141,22,others besides PersonX might now want to,PersonX wants a job,the next test date,oWant,0.17981026,22,others besides PersonX might now want to,PersonX wants a job,their dress,oWant,0.1741441,22,others besides PersonX might now want to,PersonX wants a job,to ignore PersonX,oWant,0.17413093,22,others besides PersonX might now want to,PersonX wants a job,to encourage PersonX,oWant,0.17161798,22,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX begins the process,i breath deeply in relief,xIntent,0.4244737,553,intent of PersonX,PersonX begins the process,to be prepared,xIntent,0.3296857,553,intent of PersonX,PersonX begins the process,something on their face,xIntent,0.2887669,553,intent of PersonX,PersonX begins the process,each other,xIntent,0.2794827,553,intent of PersonX,PersonX begins the process,anything they want,xIntent,0.27860186,553,intent of PersonX,PersonX begins the process,to succeed,xIntent,0.27753246,553,intent of PersonX,PersonX begins the process,a lot of things,xIntent,0.25157478,553,intent of PersonX,PersonX begins the process,the crowd,xIntent,0.24649659,553,intent of PersonX,PersonX begins the process,their makeup,xIntent,0.24592526,553,intent of PersonX,PersonX begins the process,the taxi driver has to get up from his nap to pick up x,xIntent,0.24183132,553,intent of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX walks  to school,accomplished,xReact,0.6833638,23,reaction of PersonX,PersonX walks  to school,responsible,xReact,0.491591,23,reaction of PersonX,PersonX walks  to school,determined,xReact,0.49011016,23,reaction of PersonX,PersonX walks  to school,prepared,xReact,0.48963225,23,reaction of PersonX,PersonX walks  to school,ready,xReact,0.48543262,23,reaction of PersonX,PersonX walks  to school,stressed,xReact,0.466056,23,reaction of PersonX,PersonX walks  to school,content,xReact,0.3581496,23,reaction of PersonX,PersonX walks  to school,energized,xReact,0.35681647,23,reaction of PersonX,PersonX walks  to school,eager,xReact,0.35390496,23,reaction of PersonX,PersonX walks  to school,relaxed,xReact,0.3360532,23,reaction of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX lights  on fire,each other,xNeed,0.46135077,222,"before the event, PersonX might need to",PersonX lights  on fire,get close to PersonY,xNeed,0.3614551,222,"before the event, PersonX might need to",PersonX lights  on fire,to approach someone,xNeed,0.3473354,222,"before the event, PersonX might need to",PersonX lights  on fire,the crowd,xNeed,0.32523108,222,"before the event, PersonX might need to",PersonX lights  on fire,i breath deeply in relief,xNeed,0.3248141,222,"before the event, PersonX might need to",PersonX lights  on fire,find PersonY,xNeed,0.31940266,222,"before the event, PersonX might need to",PersonX lights  on fire,a lot of things,xNeed,0.31104544,222,"before the event, PersonX might need to",PersonX lights  on fire,to go near him,xNeed,0.30849573,222,"before the event, PersonX might need to",PersonX lights  on fire,the taxi driver has to get up from his nap to pick up x,xNeed,0.30755347,222,"before the event, PersonX might need to",PersonX lights  on fire,themselves,xNeed,0.29665697,222,"before the event, PersonX might need to"
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX provides  to persons,no effect,oEffect,0.70308286,557,effect on others besides PersonX,PersonX provides  to persons,smiles,oEffect,0.68960637,557,effect on others besides PersonX,PersonX provides  to persons,gets thanked,oEffect,0.63206035,557,effect on others besides PersonX,PersonX provides  to persons,becomes grateful towards PersonX,oEffect,0.57164776,557,effect on others besides PersonX,PersonX provides  to persons,thanks PersonX,oEffect,0.5278155,557,effect on others besides PersonX,PersonX provides  to persons,is thanked,oEffect,0.5276028,557,effect on others besides PersonX,PersonX provides  to persons,none,oEffect,0.5029388,557,effect on others besides PersonX,PersonX provides  to persons,is grateful to PersonX,oEffect,0.45116052,557,effect on others besides PersonX,PersonX provides  to persons,PersonY thanks PersonX,oEffect,0.45032296,557,effect on others besides PersonX,PersonX provides  to persons,thanked,oEffect,0.42445102,557,effect on others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX wins the match,accomplished,xReact,0.6942009,24,reaction of PersonX,PersonX wins the match,powerful,xReact,0.66235167,24,reaction of PersonX,PersonX wins the match,like a winner,xReact,0.59433484,24,reaction of PersonX,PersonX wins the match,happy,xReact,0.5741596,24,reaction of PersonX,PersonX wins the match,proud,xReact,0.54058,24,reaction of PersonX,PersonX wins the match,successful,xReact,0.46408832,24,reaction of PersonX,PersonX wins the match,heroic,xReact,0.45105392,24,reaction of PersonX,PersonX wins the match,triumphant,xReact,0.44005546,24,reaction of PersonX,PersonX wins the match,outdated,xReact,0.43759477,24,reaction of PersonX,PersonX wins the match,PersonX back,xReact,0.4302321,24,reaction of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX keeps the  to a minimum,none,xNeed,0.5023595,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,i breath deeply in relief,xNeed,0.31678307,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,something on their face,xNeed,0.28012618,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,each other,xNeed,0.28007084,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,to approach someone,xNeed,0.27504387,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,to assess the situation,xNeed,0.25087023,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,every moment,xNeed,0.24443229,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,b,xNeed,0.23778762,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,their makeup,xNeed,0.23757355,223,"before the event, PersonX might need to",PersonX keeps the  to a minimum,their dress,xNeed,0.2191891,223,"before the event, PersonX might need to"
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX finally saved up enough,none,oWant,0.6484335,562,others besides PersonX might now want to,PersonX finally saved up enough,to celebrate,oWant,0.34240955,562,others besides PersonX might now want to,PersonX finally saved up enough,to pay PersonX,oWant,0.33821586,562,others besides PersonX might now want to,PersonX finally saved up enough,to hope for the best,oWant,0.32365268,562,others besides PersonX might now want to,PersonX finally saved up enough,to reward PersonX,oWant,0.30443814,562,others besides PersonX might now want to,PersonX finally saved up enough,thank PersonX,oWant,0.2920614,562,others besides PersonX might now want to,PersonX finally saved up enough,i breath deeply in relief,oWant,0.28791165,562,others besides PersonX might now want to,PersonX finally saved up enough,to thank PersonX,oWant,0.24178247,562,others besides PersonX might now want to,PersonX finally saved up enough,go home,oWant,0.2417225,562,others besides PersonX might now want to,PersonX finally saved up enough,their life back,oWant,0.23079765,562,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX loses PersonY's key,clumsy,xReact,0.6551523,25,reaction of PersonX,PersonX loses PersonY's key,careless,xReact,0.620325,25,reaction of PersonX,PersonX loses PersonY's key,underdog,xReact,0.56067115,25,reaction of PersonX,PersonX loses PersonY's key,terrible,xReact,0.5529041,25,reaction of PersonX,PersonX loses PersonY's key,stupid,xReact,0.52105415,25,reaction of PersonX,PersonX loses PersonY's key,paranoid,xReact,0.5177406,25,reaction of PersonX,PersonX loses PersonY's key,sad,xReact,0.505635,25,reaction of PersonX,PersonX loses PersonY's key,ashamed,xReact,0.49134567,25,reaction of PersonX,PersonX loses PersonY's key,scared,xReact,0.47315845,25,reaction of PersonX,PersonX loses PersonY's key,forgetful,xReact,0.46503848,25,reaction of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX goes to the mall with PersonX's mom,to help PersonY,xIntent,0.29086632,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,to relax,xIntent,0.27549946,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,each other,xIntent,0.2617949,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,i breath deeply in relief,xIntent,0.26141855,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,their watch back,xIntent,0.25828552,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,clicks picture,xIntent,0.24361348,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,anything they want,xIntent,0.22344272,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,to be a good friend,xIntent,0.22307152,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,views photo,xIntent,0.22052543,224,intent of PersonX,PersonX goes to the mall with PersonX's mom,take shopping bag,xIntent,0.21322684,224,intent of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX opens PersonY's doors,to thank PersonX,oWant,0.6667776,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to talk to PersonX,oWant,0.5202937,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to greet PersonX,oWant,0.4714696,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to interact,oWant,0.4559468,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to understand what PersonX is saying,oWant,0.45510224,569,others besides PersonX might now want to,PersonX opens PersonY's doors,thank PersonX,oWant,0.4501499,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to hug PersonX,oWant,0.44221517,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to listen to PersonX,oWant,0.42795572,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to get away from PersonX,oWant,0.40359032,569,others besides PersonX might now want to,PersonX opens PersonY's doors,to say hello,oWant,0.40276432,569,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX fits the  best,thoughtful,xAttr,0.35621896,26,attributes of PersonX,PersonX fits the  best,skilled,xAttr,0.34624422,26,attributes of PersonX,PersonX fits the  best,sure of themselves,xAttr,0.3149455,26,attributes of PersonX,PersonX fits the  best,copyies,xAttr,0.2981126,26,attributes of PersonX,PersonX fits the  best,capable,xAttr,0.28617856,26,attributes of PersonX,PersonX fits the  best,outgoing,xAttr,0.25825506,26,attributes of PersonX,PersonX fits the  best,committed,xAttr,0.25268558,26,attributes of PersonX,PersonX fits the  best,competent,xAttr,0.24551609,26,attributes of PersonX,PersonX fits the  best,expressive,xAttr,0.24319027,26,attributes of PersonX,PersonX fits the  best,caring,xAttr,0.24075834,26,attributes of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX loses PersonY's key,punished,xEffect,0.6364268,225,effect on PersonX,PersonX loses PersonY's key,gets arrested,xEffect,0.5792556,225,effect on PersonX,PersonX loses PersonY's key,yelled at,xEffect,0.5704849,225,effect on PersonX,PersonX loses PersonY's key,is yelled at,xEffect,0.50140315,225,effect on PersonX,PersonX loses PersonY's key,gets in trouble,xEffect,0.45646077,225,effect on PersonX,PersonX loses PersonY's key,x has to update y on the changes in the system,xEffect,0.43598822,225,effect on PersonX,PersonX loses PersonY's key,bleeds,xEffect,0.4024511,225,effect on PersonX,PersonX loses PersonY's key,i breath deeply in relief,xEffect,0.39935642,225,effect on PersonX,PersonX loses PersonY's key,gets punished,xEffect,0.39640766,225,effect on PersonX,PersonX loses PersonY's key,gets hurt,xEffect,0.3847233,225,effect on PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX reads the instructions,none,oReact,0.950882,570,reaction of others besides PersonX,PersonX reads the instructions,their makeup,oReact,0.29375124,570,reaction of others besides PersonX,PersonX reads the instructions,informed,oReact,0.27766117,570,reaction of others besides PersonX,PersonX reads the instructions,each other,oReact,0.22581509,570,reaction of others besides PersonX,PersonX reads the instructions,the crowd,oReact,0.21889724,570,reaction of others besides PersonX,PersonX reads the instructions,their virginity,oReact,0.21736065,570,reaction of others besides PersonX,PersonX reads the instructions,goes to his friend,oReact,0.2104376,570,reaction of others besides PersonX,PersonX reads the instructions,PersonY's love,oReact,0.20859061,570,reaction of others besides PersonX,PersonX reads the instructions,every moment,oReact,0.19522476,570,reaction of others besides PersonX,PersonX reads the instructions,curious,oReact,0.19517753,570,reaction of others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX does n't know how to play,careless,xAttr,0.6941857,27,attributes of PersonX,PersonX does n't know how to play,lazy,xAttr,0.6741022,27,attributes of PersonX,PersonX does n't know how to play,reckless,xAttr,0.50849736,27,attributes of PersonX,PersonX does n't know how to play,stupid,xAttr,0.5070039,27,attributes of PersonX,PersonX does n't know how to play,irresponsible,xAttr,0.468937,27,attributes of PersonX,PersonX does n't know how to play,unmotivated,xAttr,0.46216565,27,attributes of PersonX,PersonX does n't know how to play,adventurous,xAttr,0.44922093,27,attributes of PersonX,PersonX does n't know how to play,distracted,xAttr,0.4485233,27,attributes of PersonX,PersonX does n't know how to play,timid,xAttr,0.44147754,27,attributes of PersonX,PersonX does n't know how to play,clumsy,xAttr,0.437658,27,attributes of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX puts  on the grill,determined,xAttr,0.66242886,226,attributes of PersonX,PersonX puts  on the grill,prepared,xAttr,0.5498512,226,attributes of PersonX,PersonX puts  on the grill,eager,xAttr,0.5407157,226,attributes of PersonX,PersonX puts  on the grill,active,xAttr,0.53702134,226,attributes of PersonX,PersonX puts  on the grill,decisive,xAttr,0.44956785,226,attributes of PersonX,PersonX puts  on the grill,ready,xAttr,0.4172447,226,attributes of PersonX,PersonX puts  on the grill,each other,xAttr,0.40439984,226,attributes of PersonX,PersonX puts  on the grill,adventurous,xAttr,0.3889475,226,attributes of PersonX,PersonX puts  on the grill,motivated,xAttr,0.37645715,226,attributes of PersonX,PersonX puts  on the grill,quick,xAttr,0.36890566,226,attributes of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX sends PersonX's  to schools,to help,xIntent,0.38061932,571,intent of PersonX,PersonX sends PersonX's  to schools,to help PersonY,xIntent,0.31333092,571,intent of PersonX,PersonX sends PersonX's  to schools,each other,xIntent,0.28018528,571,intent of PersonX,PersonX sends PersonX's  to schools,anything they want,xIntent,0.27947426,571,intent of PersonX,PersonX sends PersonX's  to schools,to relax,xIntent,0.2767236,571,intent of PersonX,PersonX sends PersonX's  to schools,to be helpful,xIntent,0.25104836,571,intent of PersonX,PersonX sends PersonX's  to schools,every moment,xIntent,0.24974376,571,intent of PersonX,PersonX sends PersonX's  to schools,a lot of things,xIntent,0.2469692,571,intent of PersonX,PersonX sends PersonX's  to schools,their own bike,xIntent,0.24178718,571,intent of PersonX,PersonX sends PersonX's  to schools,their makeup,xIntent,0.2351244,571,intent of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX buys all of the ingredients,greedy,xAttr,0.6600916,227,attributes of PersonX,PersonX buys all of the ingredients,hungry,xAttr,0.6306046,227,attributes of PersonX,PersonX buys all of the ingredients,skilled,xAttr,0.5941379,227,attributes of PersonX,PersonX buys all of the ingredients,competent,xAttr,0.56873477,227,attributes of PersonX,PersonX buys all of the ingredients,talented,xAttr,0.5600764,227,attributes of PersonX,PersonX buys all of the ingredients,creative,xAttr,0.5399498,227,attributes of PersonX,PersonX buys all of the ingredients,helpful,xAttr,0.5110062,227,attributes of PersonX,PersonX buys all of the ingredients,famished,xAttr,0.5107271,227,attributes of PersonX,PersonX buys all of the ingredients,thoughtful,xAttr,0.5092942,227,attributes of PersonX,PersonX buys all of the ingredients,decisive,xAttr,0.4932993,227,attributes of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX makes spaghetti,to go to the store,xNeed,0.72703487,28,"before the event, PersonX might need to",PersonX makes spaghetti,money,xNeed,0.47834685,28,"before the event, PersonX might need to",PersonX makes spaghetti,go to the store,xNeed,0.42828143,28,"before the event, PersonX might need to",PersonX makes spaghetti,each other,xNeed,0.41339183,28,"before the event, PersonX might need to",PersonX makes spaghetti,to be hungry,xNeed,0.40309998,28,"before the event, PersonX might need to",PersonX makes spaghetti,to buy ingredients,xNeed,0.38272625,28,"before the event, PersonX might need to",PersonX makes spaghetti,go in kitchen,xNeed,0.3817516,28,"before the event, PersonX might need to",PersonX makes spaghetti,buy ingredients,xNeed,0.342095,28,"before the event, PersonX might need to",PersonX makes spaghetti,to go to the kitchen,xNeed,0.33502677,28,"before the event, PersonX might need to",PersonX makes spaghetti,to buy food,xNeed,0.32519993,28,"before the event, PersonX might need to"
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX prevents the  from gaining,to assess the situation,xNeed,0.59714776,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,to approach someone,xNeed,0.57534295,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,to make a plan,xNeed,0.4239552,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,to be knowing y,xNeed,0.39468342,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,i breath deeply in relief,xNeed,0.39435497,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,to approach PersonY,xNeed,0.38813823,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,each other,xNeed,0.37033725,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,to be in charge,xNeed,0.3516187,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,to understand the situation,xNeed,0.35073477,228,"before the event, PersonX might need to",PersonX prevents the  from gaining,fabric supply stores may send email or other advertisements to PersonX to promote the selling of materials that PersonX needs to buy in order to make clothes,xNeed,0.34065834,228,"before the event, PersonX might need to"
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX eats  for dessert,to eat,xWant,0.5939924,29,PersonX might now want to,PersonX eats  for dessert,to drink water,xWant,0.46804595,29,PersonX might now want to,PersonX eats  for dessert,drink water,xWant,0.43623132,29,PersonX might now want to,PersonX eats  for dessert,clean up,xWant,0.40267876,29,PersonX might now want to,PersonX eats  for dessert,get a drink,xWant,0.37907895,29,PersonX might now want to,PersonX eats  for dessert,to rest,xWant,0.33676,29,PersonX might now want to,PersonX eats  for dessert,each other,xWant,0.31792212,29,PersonX might now want to,PersonX eats  for dessert,to sleep,xWant,0.30586672,29,PersonX might now want to,PersonX eats  for dessert,to relax,xWant,0.29960617,29,PersonX might now want to,PersonX eats  for dessert,to eat something,xWant,0.2967187,29,PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX expresses PersonX's admiration,i breath deeply in relief,xIntent,0.31358168,573,intent of PersonX,PersonX expresses PersonX's admiration,each other,xIntent,0.28535756,573,intent of PersonX,PersonX expresses PersonX's admiration,to help,xIntent,0.2367901,573,intent of PersonX,PersonX expresses PersonX's admiration,express emotion,xIntent,0.23136106,573,intent of PersonX,PersonX expresses PersonX's admiration,none,xIntent,0.21142192,573,intent of PersonX,PersonX expresses PersonX's admiration,the crowd,xIntent,0.20564064,573,intent of PersonX,PersonX expresses PersonX's admiration,their life,xIntent,0.19972318,573,intent of PersonX,PersonX expresses PersonX's admiration,every moment,xIntent,0.19879079,573,intent of PersonX,PersonX expresses PersonX's admiration,PersonY's love,xIntent,0.18825653,573,intent of PersonX,PersonX expresses PersonX's admiration,b,xIntent,0.1862037,573,intent of PersonX
